- Total Unallocated,- Total Unallocated
* Required,* Υποχρεωτικό
{0} (Qty: {1}),{0} (Ποσότητα: {1})
{0} actions,{0} ενέργειες
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Το {0} έχει μόνο {1} σε απόθεμα.
{0} offline invoice{1} pending,Ζητήσατε {2}.
{0} offline invoice{1} saved as draft,Προσαρμόστε την ποσότητα ή ανανεώστε το απόθεμα.
{0} offline invoice{1} synced,{0} τιμολόγιο εκτός σύνδεσης{1} σε εκκρεμότητα
{0}: {1} {2},Το {0} τιμολόγιο εκτός σύνδεσης{1} αποθηκεύτηκε ως πρόχειρο
{0}d ago,{0} τιμολόγιο εκτός σύνδεσης{1} συγχρονίστηκε
{0}h ago,{0}: {1} {2}
{0}m ago,πριν από {0}ημ
A POS supervisor is required for this action.,Πριν από {0} ώρες
About,πριν από {0}μ
Access,Απαιτείται επόπτης POS για αυτήν την ενέργεια.
Account,Περίπου
Account is overdrawn,Πρόσβαση
Acknowledge the error to resume scanning,Λογαριασμός
Acknowledge the error to resume scanning.,Ο λογαριασμός είναι υπερανάληψη
Across,Αναγνωρίστε το σφάλμα για να συνεχιστεί η σάρωση
Action,Αναγνωρίστε το σφάλμα για να συνεχιστεί η σάρωση.
Actions,Απέναντι
Active sale,Δράση
add,Δράσεις
Add items from the selector to start building this sale.,Ενεργή πώληση
Add more value to an existing gift card,προσθέστε
Add New Address,Προσθέστε στοιχεία από τον επιλογέα για να ξεκινήσετε τη δημιουργία αυτής της πώλησης.
Add new customer,Προσθέστε περισσότερη αξία σε μια υπάρχουσα δωροκάρτα
Add on New Line,Προσθήκη νέας διεύθυνσης
Add Payment,Προσθήκη νέου πελάτη
Add payment to invoice,Προσθήκη στη νέα γραμμή
Add/Edit Coupon Conditions,Προσθήκη πληρωμής
Additional Discount,Προσθήκη πληρωμής στο τιμολόγιο
Additional Discount %,Προσθήκη/Επεξεργασία Προϋποθέσεων Κουπονιού
Address Line 1,Πρόσθετη Έκπτωση
Address not found,Επιπλέον έκπτωση %
Adjust the quantity or enable negative stock to continue.,Γραμμή διεύθυνσης 1
Adjustment,Η διεύθυνση δεν βρέθηκε
After returns,Προσαρμόστε την ποσότητα ή ενεργοποιήστε το αρνητικό απόθεμα για να συνεχιστεί.
Against,Προσαρμογή
Against Name,Μετά τις επιστροφές
Age Bracket,Κατά
All,Ενάντια στο όνομα
All Caught Up!,Ηλικιακός βραχίονας
All invoices are synchronized,Όλα
All pending invoices are up to date,Όλα Πιασμένα!
All Profiles,Όλα τα τιμολόγια είναι συγχρονισμένα
All Synchronized,Όλα τα εκκρεμή τιμολόγια είναι ενημερωμένα
All visible invoices are fully settled.,Όλα τα Προφίλ
All Warehouses,Όλα συγχρονισμένα
Allowed UOM is {0},Όλα τα ορατά τιμολόγια έχουν εξοφληθεί πλήρως.
Always fetch items from server (ignore local cache),Όλες οι Αποθήκες
Amount,Το επιτρεπόμενο UOM είναι {0}
Amount already received,Πάντα ανάκτηση στοιχείων από τον διακομιστή (αγνοήστε την τοπική προσωρινή μνήμη)
Amount exceeds profile cash movement max amount.,Ποσό
Amount must be greater than zero.,Ποσό που έχει ήδη ληφθεί
Amount received from customer,Το ποσό υπερβαίνει το μέγιστο ποσό κίνησης μετρητών προφίλ.
App information,Το ποσό πρέπει να είναι μεγαλύτερο από το μηδέν.
Appearance and user-level preferences for the current session.,Ποσό που ελήφθη από τον πελάτη
Applied,Πληροφορίες εφαρμογής
Apply,Εμφάνιση και προτιμήσεις σε επίπεδο χρήστη για την τρέχουσα περίοδο λειτουργίας.
Apply Gift Card,Εφαρμόστηκε
Apply Offer,Εφαρμογή
Apply On,Εφαρμογή δωροκάρτας
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Εφαρμογή Προσφοράς
Apply Redemption,Εφαρμογή Ενεργοποίηση
Applying,Εφαρμόστε μόνο το ποσό που θέλετε να εξαργυρώσετε σε αυτό το τιμολόγιο.
Apps,Το υπόλοιπο παραμένει στην κάρτα.
Are you sure you want to close? All entered data will be lost.,Εφαρμόστε το Redemption
Attributes (Size/Color),Εφαρμογή
Auto Allocate Payment Amount,Εφαρμογές
Auto Reconcile,Είστε βέβαιοι ότι θέλετε να κλείσετε;
Auto reconciliation completed after payment submit.,Όλα τα καταχωρημένα δεδομένα θα χαθούν.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Χαρακτηριστικά (Μέγεθος/Χρώμα)
