- Total Unallocated,- Total Unallocated
* Required,* Obavezno
{0} (Qty: {1}),{0} (kol.: {1})
{0} actions,{0} radnji
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ima samo {1} na zalihi.
{0} offline invoice{1} pending,Zatražili ste {2}.
{0} offline invoice{1} saved as draft,Prilagodite količinu ili obnovite zalihe.
{0} offline invoice{1} synced,{0} izvanmrežna faktura{1} na čekanju
{0}: {1} {2},{0} izvanmrežna faktura{1} spremljena kao skica
{0}d ago,{0} izvanmrežna faktura{1} sinkronizirana
{0}h ago,{0}: {1} {2}
{0}m ago,Prije {0} d
A POS supervisor is required for this action.,prije {0}h
About,prije {0} min
Access,Za ovu radnju potreban je POS nadzornik.
Account,O
Account is overdrawn,Pristup
Acknowledge the error to resume scanning,Račun
Acknowledge the error to resume scanning.,Račun je prekoračen
Across,Potvrdite pogrešku za nastavak skeniranja
Action,Potvrdite pogrešku za nastavak skeniranja.
Actions,Preko
Active sale,Akcija
add,Radnje
Add items from the selector to start building this sale.,Aktivna prodaja
Add more value to an existing gift card,dodati
Add New Address,Dodajte artikle iz izbornika da biste započeli s izradom ove rasprodaje.
Add new customer,Dodajte veću vrijednost postojećoj darovnoj kartici
Add on New Line,Dodaj novu adresu
Add Payment,Dodajte novog kupca
Add payment to invoice,Dodaj u novi redak
Add/Edit Coupon Conditions,Dodaj plaćanje
Additional Discount,Dodaj uplatu na fakturu
Additional Discount %,Dodavanje/uređivanje uvjeta kupona
Address Line 1,Dodatni popust
Address not found,% dodatnog popusta
Adjust the quantity or enable negative stock to continue.,1. redak adrese
Adjustment,Adresa nije pronađena
After returns,Prilagodite količinu ili omogućite negativnu zalihu za nastavak.
Against,Prilagodba
Against Name,Nakon povratka
Age Bracket,Protiv
All,Protiv imena
All Caught Up!,Dobna granica
All invoices are synchronized,sve
All pending invoices are up to date,Sve uhvaćeno!
All Profiles,Svi računi su sinkronizirani
All Synchronized,Sve fakture na čekanju su ažurne
All visible invoices are fully settled.,Svi profili
All Warehouses,Sve Sinkronizirano
Allowed UOM is {0},Sve vidljive fakture su u potpunosti podmirene.
Always fetch items from server (ignore local cache),Sva Skladišta
Amount,Dopušteni UOM je {0}
Amount already received,Uvijek dohvati stavke s poslužitelja (ignoriraj lokalnu predmemoriju)
Amount exceeds profile cash movement max amount.,Iznos
Amount must be greater than zero.,Iznos je već primljen
Amount received from customer,Iznos premašuje maksimalni iznos kretanja gotovine profila.
App information,Iznos mora biti veći od nule.
Appearance and user-level preferences for the current session.,Iznos primljen od kupca
Applied,Informacije o aplikaciji
Apply,Izgled i postavke na razini korisnika za trenutnu sesiju.
Apply Gift Card,Primijenjeno
Apply Offer,primijeniti
Apply On,Primijeni darovnu karticu
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Primijeni ponudu
Apply Redemption,Primijeni na
Applying,Na ovu fakturu nanesite samo iznos koji želite otkupiti.
Apps,Preostali iznos ostaje na kartici.
Are you sure you want to close? All entered data will be lost.,Primijeni Redemption
Attributes (Size/Color),Primjena
Auto Allocate Payment Amount,aplikacije
Auto Reconcile,Jeste li sigurni da želite zatvoriti?
Auto reconciliation completed after payment submit.,Svi uneseni podaci bit će izgubljeni.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributi (veličina/boja)
Available Actions,Automatski dodijeli iznos plaćanja
Available QTY,Automatsko usklađivanje
Available:,Automatsko usklađivanje dovršeno nakon podnošenja plaćanja.
Average Basket,Automatsko usklađivanje dovršeno.
Average Bill,Dodijeljeno: {0}{1}.
Average Ticket,Preostalo: {0}{2}.
Avg Bill,Dostupne radnje
Avg Invoice,Dostupno KOL
Avg Invoice Profit,Dostupno:
Avg Invoice Value,Prosječna košarica
Avg Purchase Frequency,Prosječni račun
Awesome,Prosječna ulaznica
Awesome Dashboard,Prosj. račun
Awesome Dashboard is disabled for the selected POS Profile.,Prosj. faktura
Awesome Dashboard is unavailable for the selected scope.,Prosj. fakturirani profit
Awesome Dashboard is visible only to POS supervisors.,Prosječna vrijednost fakture
Back,Prosječna učestalost kupnje
Back Office Cash Account,super
Back Office Cash Account (Optional Override),Sjajna nadzorna ploča
Back office cash account is required.,Awesome Dashboard je onemogućen za odabrani POS profil.
Back to {0},Awesome nadzorna ploča nije dostupna za odabrani opseg.
Background processing did not finish in time.,Awesome Dashboard vidljiv je samo nadzornicima POS-a.
Background processing failed for Invoice {0}: {1},natrag
Background Submission Failed,Račun gotovine u pozadinskom uredu
Background sync interval (seconds),Račun gotovine u pozadinskom uredu (izborno nadjačavanje)
Balance,Potreban je gotovinski račun u uredu.
Balance will be updated when connection is restored,Natrag na {0}
Balances still pending,Pozadinska obrada nije završila na vrijeme.
Barcode,Obrada u pozadini nije uspjela za fakturu {0}: {1}
Barcode / QR Ready,Podnošenje pozadine nije uspjelo
Barcode Label Printing,Interval sinkronizacije u pozadini (sekunde)
Base Paid:,Ravnoteža
Base Recv:,Stanje će se ažurirati kada se veza uspostavi
Base:,Stanja još uvijek na čekanju
Basic Information,Crtični kod
Batch,Barkod / QR spreman
Batch Information,Ispis naljepnica s crtičnim kodom
Before any return workflow,Osnovno plaćeno:
Before returns,Osnovni prijem:
Best Day,Baza:
Best Seller,Osnovne informacije
Book expense or deposit from active shift.,Serija
Branch / Location-wise Report,Podaci o seriji
Brand-wise,Prije bilo kakvog tijeka povratka
Breakdown,Prije povratka
Browse,Najbolji dan
Build Time:,Najbolji prodavač
Built with Frappe,Knjižite trošak ili depozit iz aktivne smjene.
Bundle,Izvješće o poslovnici/lokaciji
Buying Price,Markirano
Cache cleared successfully,Kvar
Cache Usage,Pregledaj
cache used,Vrijeme izrade:
Calculating...,Izgrađen s Frappeom
Camera Access Required,Svežanj
Camera access was aborted. Please try again.,Kupovna cijena
Camera constraints not supported by your device. Trying fallback settings...,Predmemorija je uspješno izbrisana
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Upotreba predmemorije
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,korištena predmemorija
Camera scanner is locked until the current error is acknowledged,Izračunavanje...
Camera started but the video stream did not load in time. Please try again.,Potreban pristup kameri
Cancel,Pristup kameri je prekinut.
Cancel cash movement {0}?,Molimo pokušajte ponovo.
Cancel Payment,Vaš uređaj ne podržava ograničenja kamere.
Cancel Sale,Pokušaj rezervnih postavki...
Cancel Sale ?,Kamera je zauzeta ili ju je blokirala druga aplikacija/kartica.
Cancelled,Zatvorite ostale aplikacije kamere i pokušajte ponovno.
Cannot add an item with zero or negative quantity.,Dopuštenje kamere odbijeno.
Cannot clear cache while offline,Omogućite pristup kameri u postavkama preglednika i osvježite stranicu.
