- Total Unallocated,- Total Unallocated
* Required,* الزامی است
{0} (Qty: {1}),{0} (تعداد: {1})
{0} actions,{0} اقدام
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} فقط {1} در انبار دارد.
{0} offline invoice{1} pending,شما {2} را درخواست کردید.
{0} offline invoice{1} saved as draft,مقدار را تنظیم کنید یا دوباره ذخیره کنید.
{0} offline invoice{1} synced,{0} فاکتور آفلاین{1} در انتظار
{0}: {1} {2},{0} فاکتور آفلاین{1} به عنوان پیش نویس ذخیره شد
{0}d ago,{0} فاکتور آفلاین{1} همگام‌سازی شد
{0}h ago,{0}: {1} {2}
{0}m ago,{0} روز پیش
A POS supervisor is required for this action.,{0}ساعت قبل
About,{0} دقیقه قبل
Access,برای این اقدام به یک ناظر POS نیاز است.
Account,درباره
Account is overdrawn,دسترسی داشته باشید
Acknowledge the error to resume scanning,حساب
Acknowledge the error to resume scanning.,حساب اضافه برداشت شده است
Across,برای از سرگیری اسکن، خطا را تأیید کنید
Action,برای از سرگیری اسکن، خطا را تأیید کنید.
Actions,در سراسر
Active sale,اقدام
add,اقدامات
Add items from the selector to start building this sale.,فروش فعال
Add more value to an existing gift card,اضافه کردن
Add New Address,برای شروع ساخت این فروش، موارد را از انتخابگر اضافه کنید.
Add new customer,ارزش بیشتری به کارت هدیه موجود اضافه کنید
Add on New Line,اضافه کردن آدرس جدید
Add Payment,مشتری جدید اضافه کنید
Add payment to invoice,اضافه کردن در خط جدید
Add/Edit Coupon Conditions,پرداخت را اضافه کنید
Additional Discount,پرداخت را به فاکتور اضافه کنید
Additional Discount %,افزودن/ویرایش شرایط کوپن
Address Line 1,تخفیف اضافی
Address not found,% تخفیف اضافی
Adjust the quantity or enable negative stock to continue.,آدرس خط 1
Adjustment,آدرس پیدا نشد
After returns,مقدار را تنظیم کنید یا سهام منفی را فعال کنید تا ادامه یابد.
Against,تنظیم
Against Name,پس از بازگشت
Age Bracket,در مقابل
All,در مقابل نام
All Caught Up!,گروه سنی
All invoices are synchronized,همه
All pending invoices are up to date,همه گرفتار شدند!
All Profiles,تمام فاکتورها هماهنگ هستند
All Synchronized,تمام فاکتورهای معلق به روز هستند
All visible invoices are fully settled.,همه پروفایل ها
All Warehouses,همه همگام شده
Allowed UOM is {0},تمام فاکتورهای قابل مشاهده به طور کامل تسویه شده است.
Always fetch items from server (ignore local cache),کلیه انبارها
Amount,UOM مجاز {0} است
Amount already received,همیشه موارد را از سرور واکشی کنید (از کش محلی صرف نظر کنید)
Amount exceeds profile cash movement max amount.,مقدار
Amount must be greater than zero.,مبلغ قبلاً دریافت شده است
Amount received from customer,مقدار از حداکثر مقدار حرکت نقدی نمایه بیشتر است.
App information,مقدار باید بیشتر از صفر باشد.
Appearance and user-level preferences for the current session.,مبلغ دریافتی از مشتری
Applied,اطلاعات برنامه
Apply,تنظیمات ظاهری و سطح کاربر برای جلسه فعلی.
Apply Gift Card,اعمال شد
Apply Offer,درخواست کنید
Apply On,درخواست کارت هدیه
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,درخواست پیشنهاد
Apply Redemption,درخواست روشن
Applying,فقط مبلغی را که می خواهید بازخرید کنید در این فاکتور اعمال کنید.
Apps,باقی مانده موجودی روی کارت باقی می ماند.
Are you sure you want to close? All entered data will be lost.,Redemption را اعمال کنید
Attributes (Size/Color),اعمال کردن
Auto Allocate Payment Amount,برنامه ها
Auto Reconcile,آیا مطمئن هستید که می خواهید ببندید؟
Auto reconciliation completed after payment submit.,تمام داده های وارد شده از بین خواهند رفت.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ویژگی ها (اندازه/رنگ)
Available Actions,تخصیص خودکار مبلغ پرداخت
Available QTY,آشتی خودکار
Available:,تطبیق خودکار پس از ارسال پرداخت تکمیل شد.
Average Basket,تطبیق خودکار تکمیل شد.
Average Bill,اختصاص داده شده: {0}{1}.
Average Ticket,برجسته باقی مانده است: {0}{2}.
Avg Bill,اقدامات موجود
Avg Invoice,QTY موجود است
Avg Invoice Profit,موجود:
Avg Invoice Value,میانگین سبد
Avg Purchase Frequency,صورت حساب متوسط
Awesome,بلیط متوسط
Awesome Dashboard,میانگین بیل
Awesome Dashboard is disabled for the selected POS Profile.,میانگین فاکتور
Awesome Dashboard is unavailable for the selected scope.,میانگین سود فاکتور
Awesome Dashboard is visible only to POS supervisors.,میانگین ارزش فاکتور
Back,میانگین فرکانس خرید
Back Office Cash Account,عالیه
Back Office Cash Account (Optional Override),داشبورد عالی
Back office cash account is required.,داشبورد عالی برای نمایه POS انتخاب شده غیرفعال است.
Back to {0},داشبورد عالی برای محدوده انتخابی در دسترس نیست.
Background processing did not finish in time.,داشبورد عالی فقط برای سرپرستان POS قابل مشاهده است.
Background processing failed for Invoice {0}: {1},برگشت
Background Submission Failed,حساب بک آفیس نقدی
Background sync interval (seconds),حساب بک آفیس نقدی (نسخ اختیاری)
Balance,حساب بک آفیس نقدی مورد نیاز است.
Balance will be updated when connection is restored,بازگشت به {0}
Balances still pending,پردازش پس‌زمینه به موقع تمام نشد.
Barcode,پردازش پس‌زمینه برای فاکتور {0} ناموفق بود: {1}
Barcode / QR Ready,ارسال پس‌زمینه انجام نشد
Barcode Label Printing,فاصله همگام سازی پس زمینه (ثانیه)
Base Paid:,تعادل
Base Recv:,با بازیابی اتصال، موجودی به‌روزرسانی می‌شود
Base:,مانده ها هنوز معلق است
Basic Information,بارکد
Batch,بارکد / QR آماده است
Batch Information,چاپ لیبل بارکد
Before any return workflow,پایه پرداختی:
Before returns,رکورد پایه:
Best Day,پایه:
Best Seller,اطلاعات پایه
Book expense or deposit from active shift.,دسته ای
Branch / Location-wise Report,اطلاعات دسته ای
Brand-wise,قبل از هر گردش کار بازگشت
Breakdown,قبل از بازگشت
Browse,بهترین روز
Build Time:,پرفروش ترین
Built with Frappe,هزینه کتاب یا واریز از شیفت فعال.
