- Total Unallocated,- Total Unallocated
* Required,*Obligatoire
{0} (Qty: {1}),{0} (Quantité : {1})
{0} actions,{0} actions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} n'a que {1} en stock.
{0} offline invoice{1} pending,Vous avez demandé {2}.
{0} offline invoice{1} saved as draft,Ajustez la quantité ou réapprovisionnez-vous.
{0} offline invoice{1} synced,{0}facture hors ligne{1} en attente
{0}: {1} {2},{0}facture hors ligne{1} enregistrée en tant que brouillon
{0}d ago,{0}facture hors ligne{1} synchronisée
{0}h ago,{0} : {1} {2}
{0}m ago,il y a {0}j
A POS supervisor is required for this action.,il y a {0}h
About,il y a {0} mois
Access,Un superviseur POS est requis pour cette action.
Account,À propos
Account is overdrawn,Accès
Acknowledge the error to resume scanning,Compte
Acknowledge the error to resume scanning.,Le compte est à découvert
Across,Reconnaître l'erreur pour reprendre la numérisation
Action,Reconnaissez l’erreur pour reprendre la numérisation.
Actions,À travers
Active sale,Action
add,Actions
Add items from the selector to start building this sale.,Vente active
Add more value to an existing gift card,ajouter
Add New Address,Ajoutez des articles du sélecteur pour commencer à créer cette vente.
Add new customer,Ajoutez plus de valeur à une carte-cadeau existante
Add on New Line,Ajouter une nouvelle adresse
Add Payment,Ajouter un nouveau client
Add payment to invoice,Ajouter une nouvelle ligne
Add/Edit Coupon Conditions,Ajouter un paiement
Additional Discount,Ajouter le paiement à la facture
Additional Discount %,Ajouter/Modifier les conditions du coupon
Address Line 1,Remise supplémentaire
Address not found,% de remise supplémentaire
Adjust the quantity or enable negative stock to continue.,Ligne d'adresse 1
Adjustment,Adresse introuvable
After returns,Ajustez la quantité ou activez le stock négatif pour continuer.
Against,Ajustement
Against Name,Après les retours
Age Bracket,Contre
All,Contre le nom
All Caught Up!,Tranche d'âge
All invoices are synchronized,Tout
All pending invoices are up to date,Tous rattrapés !
All Profiles,Toutes les factures sont synchronisées
All Synchronized,Toutes les factures en attente sont à jour
All visible invoices are fully settled.,Tous les profils
All Warehouses,Tout synchronisé
Allowed UOM is {0},Toutes les factures visibles sont entièrement réglées.
Always fetch items from server (ignore local cache),Tous les entrepôts
Amount,L'UdM autorisée est {0}
Amount already received,Récupérez toujours les éléments du serveur (ignorez le cache local)
Amount exceeds profile cash movement max amount.,Montant
Amount must be greater than zero.,Montant déjà reçu
Amount received from customer,Le montant dépasse le montant maximum du mouvement de trésorerie du profil.
App information,Le montant doit être supérieur à zéro.
Appearance and user-level preferences for the current session.,Montant reçu du client
Applied,Informations sur l'application
Apply,Apparence et préférences au niveau de l'utilisateur pour la session en cours.
Apply Gift Card,Appliqué
Apply Offer,Postuler
Apply On,Appliquer une carte-cadeau
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Appliquer l'offre
Apply Redemption,Postuler le
Applying,Appliquez uniquement le montant que vous souhaitez échanger sur cette facture.
Apps,Le solde restant reste sur la carte.
Are you sure you want to close? All entered data will be lost.,Appliquer le rachat
Attributes (Size/Color),Candidature
Auto Allocate Payment Amount,Applications
Auto Reconcile,Êtes-vous sûr de vouloir fermer ?
Auto reconciliation completed after payment submit.,Toutes les données saisies seront perdues.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Attributs (taille/couleur)
Available Actions,Montant du paiement attribué automatiquement
Available QTY,Réconciliation automatique
Available:,Rapprochement automatique terminé après la soumission du paiement.
Average Basket,Rapprochement automatique terminé.
Average Bill,Alloué : {0}{1}.
Average Ticket,Restant en suspens : {0}{2}.
Avg Bill,Actions disponibles
Avg Invoice,QTÉ disponible
Avg Invoice Profit,Disponible :
Avg Invoice Value,Panier moyen
Avg Purchase Frequency,Facture moyenne
Awesome,Billet moyen
Awesome Dashboard,Facture moyenne
Awesome Dashboard is disabled for the selected POS Profile.,Facture moyenne
Awesome Dashboard is unavailable for the selected scope.,Bénéfice moyen sur facture
Awesome Dashboard is visible only to POS supervisors.,Valeur moyenne de la facture
Back,Fréquence d'achat moyenne
Back Office Cash Account,Génial
Back Office Cash Account (Optional Override),Tableau de bord génial
Back office cash account is required.,Awesome Dashboard est désactivé pour le profil POS sélectionné.
Back to {0},Awesome Dashboard n’est pas disponible pour la portée sélectionnée.
Background processing did not finish in time.,Awesome Dashboard n’est visible que par les superviseurs du point de vente.
Background processing failed for Invoice {0}: {1},Retour
Background Submission Failed,Compte espèces back-office
Background sync interval (seconds),Compte espèces du back-office (remplacement facultatif)
Balance,Un compte de trésorerie back-office est requis.
Balance will be updated when connection is restored,Retour à {0}
Balances still pending,Le traitement en arrière-plan ne s'est pas terminé à temps.
Barcode,Échec du traitement en arrière-plan pour la facture {0} : {1}
Barcode / QR Ready,Échec de la soumission de l'arrière-plan
Barcode Label Printing,Intervalle de synchronisation en arrière-plan (secondes)
Base Paid:,Solde
Base Recv:,Le solde sera mis à jour lorsque la connexion sera rétablie
Base:,Soldes toujours en attente
Basic Information,Code à barres
Batch,Code à barres / QR prêt
Batch Information,Impression d'étiquettes de codes à barres
Before any return workflow,Base payée :
Before returns,Récupération de base :
Best Day,Piètement :
Best Seller,Informations de base
Book expense or deposit from active shift.,Lot
Branch / Location-wise Report,Informations sur le lot
Brand-wise,Avant tout workflow de retour
Breakdown,Avant les retours
Browse,Meilleur jour
Build Time:,Meilleur vendeur
Built with Frappe,Réservez les dépenses ou le dépôt du quart de travail actif.
Bundle,Rapport par succursale/emplacement
Buying Price,Au niveau de la marque
Cache cleared successfully,Répartition
Cache Usage,Parcourir
cache used,Temps de construction :
Calculating...,Construit avec Frappe
Camera Access Required,Forfait
Camera access was aborted. Please try again.,Prix d'achat
Camera constraints not supported by your device. Trying fallback settings...,Cache vidé avec succès
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Utilisation du cache
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,cache utilisé
Camera scanner is locked until the current error is acknowledged,Calcul...
Camera started but the video stream did not load in time. Please try again.,Accès à la caméra requis
Cancel,L'accès à la caméra a été interrompu.
Cancel cash movement {0}?,Veuillez réessayer.
Cancel Payment,Contraintes de caméra non prises en charge par votre appareil.
Cancel Sale,Essayer les paramètres de secours...
Cancel Sale ?,La caméra est occupée ou bloquée par une autre application/un autre onglet.
Cancelled,Fermez les autres applications de l'appareil photo et réessayez.
Cannot add an item with zero or negative quantity.,Autorisation de la caméra refusée.
Cannot clear cache while offline,Veuillez autoriser l'accès à la caméra dans les paramètres de votre navigateur et actualiser la page.
Cannot redeem customer credit more than invoice total,Le scanner de l'appareil photo est verrouillé jusqu'à ce que l'erreur actuelle soit reconnue
Cannot redeem gift cards more than invoice total,La caméra a démarré mais le flux vidéo ne s'est pas chargé à temps.
Cannot Save Offline Invoice:,Veuillez réessayer.
Cannot Save Offline Payment:,Annuler
Card,Annuler le mouvement de trésorerie {0} ?
Card / Online,Annuler le paiement
Card health after the last live lookup,Annuler la vente
Cards,Annuler la vente ?
Cart,Annulé
Cash,Impossible d'ajouter un article avec une quantité nulle ou négative.
Cash back to customers,Impossible de vider le cache en mode hors connexion
Cash Collections,Impossible d'utiliser un crédit client supérieur au total de la facture
Cash Deposit is disabled for this POS Profile.,Impossible d'utiliser des cartes cadeaux plus que le total de la facture
Cash Drawer Snapshot,Impossible d'enregistrer la facture hors ligne :
Cash In Hand,Impossible d'enregistrer le paiement hors ligne :
Cash Movement,Carte
Cash movement cancelled,Carte / En ligne
Cash movement deduction applied,État de santé de la carte après la dernière recherche en direct
Cash movement deleted,Cartes
Cash movement is disabled for this POS Profile.,Panier
Cash Movement is disabled in current POS Profile.,Espèces
Cash movement saved offline,Remise en argent aux clients
Cash movement submitted,Encaissements en espèces
Cash Movements,Le dépôt en espèces est désactivé pour ce profil POS.
Cash payment cannot be less than invoice total when partial payment is not allowed,Aperçu du tiroir-caisse
Cash returned after payment,Trésorerie en main
Cashier,Mouvement de trésorerie
Cashier Access,Mouvement de trésorerie annulé
Cashier identity and appearance preferences.,Déduction pour mouvements de trésorerie appliquée
Cashier PIN,Mouvement de trésorerie supprimé
Cashier PIN saved successfully.,Les mouvements de fonds sont désactivés pour ce profil POS.
Cashiers,Les mouvements de fonds sont désactivés dans le profil POS actuel.
Cashier-wise,Mouvements de trésorerie enregistrés hors ligne
