- Total Unallocated,- Total Unallocated
* Required,* Задължително
{0} (Qty: {1}),{0} (Брой: {1})
{0} actions,{0} действия
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} има само {1} на склад.
{0} offline invoice{1} pending,Вие поискахте {2}.
{0} offline invoice{1} saved as draft,Коригирайте количеството или презапасете.
{0} offline invoice{1} synced,{0} офлайн фактура{1} чака
{0}: {1} {2},{0} офлайн фактура{1} запазена като чернова
{0}d ago,{0} офлайн фактура{1} е синхронизирана
{0}h ago,{0}: {1} {2}
{0}m ago,преди {0} дни
A POS supervisor is required for this action.,преди {0} ч
About,преди {0} мин
Access,За това действие е необходим POS супервайзер.
Account,За
Account is overdrawn,Достъп
Acknowledge the error to resume scanning,акаунт
Acknowledge the error to resume scanning.,Сметката е овърдрафт
Across,"Потвърдете грешката, за да продължите сканирането"
Action,"Потвърдете грешката, за да продължите сканирането."
Actions,Напречно
Active sale,Действие
add,Действия
Add items from the selector to start building this sale.,Активна продажба
Add more value to an existing gift card,добавете
Add New Address,"Добавете елементи от селектора, за да започнете да изграждате тази продажба."
Add new customer,Добавете повече стойност към съществуваща карта за подарък
Add on New Line,Добавете нов адрес
Add Payment,Добавете нов клиент
Add payment to invoice,Добавяне на нов ред
Add/Edit Coupon Conditions,Добавяне на плащане
Additional Discount,Добавете плащане към фактурата
Additional Discount %,Добавяне/редактиране на условия за купони
Address Line 1,Допълнителна отстъпка
Address not found,Допълнителна отстъпка %
Adjust the quantity or enable negative stock to continue.,"Адрес, ред 1"
Adjustment,Адресът не е намерен
After returns,"Коригирайте количеството или активирайте отрицателния запас, за да продължите."
Against,Корекция
Against Name,След връщане
Age Bracket,Против
All,Срещу името
All Caught Up!,Възрастова група
All invoices are synchronized,Всички
All pending invoices are up to date,Всички хванахте!
All Profiles,Всички фактури са синхронизирани
All Synchronized,Всички чакащи фактури са актуални
All visible invoices are fully settled.,Всички профили
All Warehouses,Всички синхронизирани
Allowed UOM is {0},Всички видими фактури са напълно уредени.
Always fetch items from server (ignore local cache),Всички складове
Amount,Разрешеният UOM е {0}
Amount already received,Винаги извличайте елементи от сървъра (игнорирайте локалния кеш)
Amount exceeds profile cash movement max amount.,Сума
Amount must be greater than zero.,Вече получена сума
Amount received from customer,Сумата надвишава максималната сума за движение на парични средства в профила.
App information,Сумата трябва да е по-голяма от нула.
Appearance and user-level preferences for the current session.,Получена сума от клиента
Applied,Информация за приложението
Apply,Облик и предпочитания на потребителско ниво за текущата сесия.
Apply Gift Card,Приложено
Apply Offer,Кандидатствайте
Apply On,Приложете карта за подарък
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Приложете оферта
Apply Redemption,Прилагане на
Applying,"Приложете само сумата, която искате да осребрите върху тази фактура."
Apps,Оставащият баланс остава на картата.
Are you sure you want to close? All entered data will be lost.,Прилагане на Redemption
Attributes (Size/Color),Кандидатстване
Auto Allocate Payment Amount,Приложения
Auto Reconcile,"Сигурни ли сте, че искате да затворите?"
Auto reconciliation completed after payment submit.,Всички въведени данни ще бъдат загубени.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Атрибути (размер/цвят)
Available Actions,Автоматично разпределяне на сумата за плащане
Available QTY,Автоматично съгласуване
Available:,Автоматичното съгласуване приключи след изпращане на плащането.
Average Basket,Автоматичното съгласуване завърши.
Average Bill,Разпределено: {0}{1}.
Average Ticket,Оставащи неуредени: {0}{2}.
Avg Bill,Налични действия
Avg Invoice,Налични БР
Avg Invoice Profit,Налични:
Avg Invoice Value,Средна кошница
Avg Purchase Frequency,Средна сметка
Awesome,Среден билет
Awesome Dashboard,Средна сметка
Awesome Dashboard is disabled for the selected POS Profile.,Средна фактура
Awesome Dashboard is unavailable for the selected scope.,Средна печалба от фактура
Awesome Dashboard is visible only to POS supervisors.,Средна стойност на фактурата
Back,Средна честота на покупки
Back Office Cash Account,страхотно
Back Office Cash Account (Optional Override),Страхотно табло за управление
Back office cash account is required.,Awesome Dashboard е деактивирано за избрания POS профил.
Back to {0},Awesome Dashboard не е достъпно за избрания обхват.
Background processing did not finish in time.,Awesome Dashboard се вижда само от POS супервайзорите.
Background processing failed for Invoice {0}: {1},Назад
Background Submission Failed,Парична сметка в Back Office
Background sync interval (seconds),Сметка в брой в бек офис (замяна по избор)
Balance,Изисква се касова сметка в бек офиса.
Balance will be updated when connection is restored,Назад към {0}
Balances still pending,Обработката на заден план не завърши навреме.
Barcode,Неуспешна обработка на заден план за фактура {0}: {1}
Barcode / QR Ready,Неуспешно изпращане на заден план
Barcode Label Printing,Интервал на фоново синхронизиране (секунди)
Base Paid:,Баланс
Base Recv:,"Балансът ще бъде актуализиран, когато връзката бъде възстановена"
Base:,Салда все още чакат
Basic Information,Баркод
Batch,Готов за баркод / QR
Batch Information,Печат на баркод етикети
Before any return workflow,Основно платено:
Before returns,Базово приемане:
Best Day,Основа:
Best Seller,Основна информация
Book expense or deposit from active shift.,Партида
Branch / Location-wise Report,Информация за партидата
Brand-wise,Преди всеки работен процес за връщане
Breakdown,Преди завръщания
Browse,Най-добър ден
Build Time:,Бестселър
Built with Frappe,Запишете разход или депозит от активна смяна.
Bundle,Отчет за клон / местоположение
Buying Price,Марково
Cache cleared successfully,Разбивка
Cache Usage,Прегледайте
cache used,Време за изграждане:
Calculating...,Създаден с Frappe
Camera Access Required,Пакет
Camera access was aborted. Please try again.,Покупна цена
Camera constraints not supported by your device. Trying fallback settings...,Кешът е изчистен успешно
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Използване на кеша
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,използван кеш
Camera scanner is locked until the current error is acknowledged,Изчислява се...
Camera started but the video stream did not load in time. Please try again.,Изисква се достъп до камерата
Cancel,Достъпът до камерата беше прекратен.
Cancel cash movement {0}?,"Моля, опитайте отново."
Cancel Payment,Ограниченията на камерата не се поддържат от вашето устройство.
Cancel Sale,Опит за резервни настройки...
Cancel Sale ?,Камерата е заета или блокирана от друго приложение/раздел.
Cancelled,Затворете другите приложения на камерата и опитайте отново.
Cannot add an item with zero or negative quantity.,Разрешението за камерата е отказано.
Cannot clear cache while offline,"Моля, разрешете достъп до камерата в настройките на браузъра си и опреснете страницата."
Cannot redeem customer credit more than invoice total,"Скенерът на камерата е заключен, докато текущата грешка не бъде потвърдена"
Cannot redeem gift cards more than invoice total,"Камерата стартира, но видеопотокът не се зареди навреме."
Cannot Save Offline Invoice:,"Моля, опитайте отново."
Cannot Save Offline Payment:,Отказ
Card,Да отмените движението на пари в брой {0}?
Card / Online,Отказ от плащането
Card health after the last live lookup,Отказ от продажба
Cards,Отмяна на продажбата?
Cart,Отменено
Cash,Не може да се добави артикул с нулево или отрицателно количество.
Cash back to customers,"Не може да се изчисти кеша, докато сте офлайн"
Cash Collections,Не може да се осребри клиентски кредит повече от общата сума по фактурата
Cash Deposit is disabled for this POS Profile.,Не могат да се осребряват карти за подарък повече от общата сума по фактурата
Cash Drawer Snapshot,Не може да се запази офлайн фактура:
Cash In Hand,Не може да се запази офлайн плащане:
Cash Movement,карта
Cash movement cancelled,Карта / Онлайн
Cash movement deduction applied,Здраве на картата след последното търсене на живо
Cash movement deleted,Карти
Cash movement is disabled for this POS Profile.,Количка
Cash Movement is disabled in current POS Profile.,Парични средства
Cash movement saved offline,Връщане на пари на клиентите
Cash movement submitted,Парични събирания
Cash Movements,Депозитът в брой е деактивиран за този POS профил.
Cash payment cannot be less than invoice total when partial payment is not allowed,Моментна снимка на чекмеджето за пари
Cash returned after payment,Пари в ръка
Cashier,Парично движение
Cashier Access,Движението на пари е отменено
Cashier identity and appearance preferences.,Прилага се приспадане при движение на пари в брой
Cashier PIN,Движението на пари в брой е изтрито
Cashier PIN saved successfully.,Движението на пари в брой е деактивирано за този POS профил.
Cashiers,Движението на пари е деактивирано в текущия POS профил.
Cashier-wise,Паричните движения са запазени офлайн
Categories,Подадено движение на пари в брой
Category,Парични движения
Category / Brand / Variant Report,"Плащането в брой не може да бъде по-малко от общата сума по фактурата, когато не е разрешено частично плащане"
Category-wise,Пари се връщат след плащане
Category-wise Margin,Касиер
Certificate,Достъп до каса
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Идентичност на касата и предпочитания за външен вид.
Certificate is trusted. Silent QZ printing is active.,ПИН на касата
Change,ПИН кодът на касата е запазен успешно.
Change allocation repaired,Касиерите
Change interface language,Касиерски
Change Language,Категории
Change Price,Категория
Change Return,Доклад за категория / марка / вариант
Change Returned,Категорично
Change terminal cashier,Марж по категория
Charge Heads,Сертификат
Charges,Сертификатът липсва или не е надежден.
Charges not found,QZ може да покаже диалогови прозорци за потвърждение.
Check Balance,Сертификатът е надежден.
Check balance for any card. Supervisors can issue and top up cards here.,Безшумният QZ печат е активен.
Check balance only,промяна
Check for new commits,Промяната на разпределението е коригирана
Check for Updates,Промяна на езика на интерфейса
Check live balance before applying redemption,Промяна на езика
Check live balance before redemption,Промяна на цената
Checking...,Промяна Връщане
Cheque/Reference Date,Промяната е върната
Cheque/Reference No,Сменете касата на терминала
Choose the cashier currently operating this terminal.,Глави за зареждане
Choose your preferred language for the POS interface,Такси
City,Таксите не са намерени
Clear,Проверка на баланса
Clear All,Проверете баланса за всяка карта.
Clear all barcode items,Супервайзорите могат да издават и зареждат карти тук.
Clear all purchase order items,Проверете само баланса
Clear Cache,Проверете за нови ангажименти
Clear Search,Проверете за актуализации
Clearing local cache...,"Проверете баланса на живо, преди да приложите обратно изкупуване"
Click to refresh,Проверете баланса на живо преди осребряване
Client CPU Lag:,Проверка...
Client Memory Usage:,Чек/референтна дата
Client Metrics,Чек/референтен номер
Close,"Изберете касиера, който в момента управлява този терминал."
Close about dialog,Изберете предпочитания от вас език за POS интерфейса
Close cashier switcher,град
Close closing shift dialog,ясно
Close column selector,Изчистване на всички
Close Dialog,Изчистете всички елементи с баркод
Close drafts dialog,Изчистете всички елементи от поръчката за покупка
Close invoice details dialog,Изчистване на кеша
Close invoice management,Изчистване на търсенето
Close offline invoices dialog,Изчистване на локалния кеш...
Close packing list dialog,"Кликнете, за да опресните"
Close returns dialog,Забавяне на процесора на клиента:
Close sales orders dialog,Използване на паметта на клиента:
Close Scanner,Клиентски показатели
Close scanner dialog,затвори
Close Settings,Затваряне на диалоговия прозорец относно
Close Shift,Затворете превключвателя на касата
Closing Amount,Затваряне на диалоговия прозорец за затваряне на смени
Closing POS Shift,Затворете селектора на колони
Closing Snapshot Available,Затваряне на диалоговия прозорец
Code,Затваряне на диалоговия прозорец с чернови
Code scanned successfully,Затваряне на диалоговия прозорец с подробности за фактурата
COGS,Затворете управлението на фактурите
Collapse item details,Затваряне на диалоговия прозорец за офлайн фактури
Collected,Затваряне на диалоговия прозорец на опаковъчния списък
Cols,Затворете диалоговия прозорец за връщане
Columns,Затворете диалоговия прозорец за поръчки за продажба
commits,Затваряне на скенера
Completed and active sales in this range,Затваряне на диалоговия прозорец на скенера
Completed returns will appear here.,Затворете настройките
Confirm,Затворете Shift
Confirm Close,Крайна сума
Confirm Mobile Number,Затваряне на POS Shift
Confirm PIN,Налична е моментна снимка при затваряне
Connect,Код
Connect printer and manage certificate,Кодът е сканиран успешно
Connecting to QZ Tray...,COGS
Connection problem while submitting invoice,Свиване на подробностите за елемента
Connections:,Събрани
Connectivity and cached prerequisite status were rechecked.,Cols
Continue Editing,Колони
Could not fetch latest balance from server,ангажира
Count,Завършени и активни продажби в този асортимент
Country,Завършените връщания ще се показват тук.
Coupon,Потвърдете
Coupons,Потвърдете затваряне
Cover,Потвърдете мобилен номер
CPU Cores:,Потвърдете PIN
Create,Свържете се
Create and load a new prepaid card,Свържете принтера и управлявайте сертификата
Create and preload a new gift card,Свързване към QZ Tray...
Create Bill,Проблем с връзката при изпращане на фактура
Create Customer,Връзки:
Create New Item,Свързването и състоянието на кешираните предпоставки бяха проверени отново.
Create or change your PIN,Продължете с редактирането
Create PIN,Не може да се извлече последното салдо от сървъра
Create POS Opening Shift,Брой
Create Purchase Order,държава
Create Return,Купон
Create return from invoice,Купони
Create Supplier,Капак
Credit and Output,CPU ядра:
Credit Note,Създавайте
Credit Outstanding,Създайте и заредете нова предплатена карта
Credit sales remaining to be collected,Създайте и заредете предварително нова карта за подарък
Critical,Създайте Бил
Currency,Създаване на клиент
Current,Създаване на нов елемент
Current Event Loop Lag:,Създайте или променете вашия ПИН
Current Month,Създайте ПИН
Current PIN,Създайте смяна на отваряне на POS
Current Profile,Създаване на поръчка за покупка
Current redeemable value on the gift card,Създаване на връщане
Current User,Създайте връщане от фактура
Custom,Създаване на доставчик
Custom Due Days,Кредит и изход
Custom items per page,Кредитна бележка
Customer,Неизплатен кредит
Customer already selected,Продажбите на кредит остават за събиране
Customer Balance,Критичен
Customer balance unavailable offline,Валута
Customer created successfully.,Текущ
Customer creation failed.,Текущо забавяне на цикъла на събитията:
Customer Details,Текущ месец
Customer display channel is missing,Актуален ПИН
Customer display was blocked. Please allow pop-ups for this site.,Текущ профил
Customer group is required,Текуща стойност за осребряване на картата за подарък
Customer is required to add payment,Текущ потребител
Customer Name is required,По поръчка
Customer not selected,Персонализирани дни на падеж
Customer Report,Персонализирани елементи на страница
Customer saved offline,Клиент
Customer Screen,Клиентът вече е избран
Customer territory is required,Клиентски баланс
Customer updated successfully.,Клиентският баланс не е наличен офлайн
Customer-facing tools and printer setup.,Клиентът е създаден успешно.
Customers,Създаването на клиент е неуспешно.
Customers not found,Данни за клиента
Daily cashier actions without scrolling.,Липсва клиентски канал за показване
Daily Sales,Дисплеят на клиента беше блокиран.
Daily Sales Summary,"Моля, разрешете изскачащи прозорци за този сайт."
Dark Mode,Необходима е клиентска група
Data loaded in form. Review and submit.,От клиента се изисква да добави плащане
Database Health,Необходимо е име на клиента
Database health affects overall system speed and reliability.,Клиентът не е избран
Database Info,Доклад на клиента
Date,Клиентът е запазен офлайн
Day Δ,Екран на клиента
days,Необходима е клиентска територия
Day-wise (MTD),Клиентът е актуализиран успешно.
Day-wise Movement,Инструменти за обслужване на клиента и настройка на принтера.
Dead Stock,Клиенти
Dead Stock Items,Клиенти не са намерени
Decrease quantity,Ежедневни касиерски действия без превъртане.
Default,Ежедневни продажби
Default:,Резюме на ежедневните продажби
Delete,Тъмен режим
Delete cancelled cash movement {0}?,"Данни, заредени във формуляр."
Delete Draft,Прегледайте и изпратете.
Delete draft invoice,Здраве на базата данни
Delete draft invoice {0}?,Здравето на базата данни влияе върху цялостната скорост и надеждност на системата.
Delete Invoice,Информация за база данни
Delete offline invoice,Дата
Delivered,Ден Δ
Delivery Charges,дни
Delivery Information,Дневно (MTD)
Delivery Note {0} created,Движение през деня
Delivery note created,Мъртъв запас
Deployed Bundle:,Неизползвани артикули
Deposit,Намаляване на количеството
Description,По подразбиране
Detailed Supplier Breakdown,По подразбиране:
Detecting formats:,Изтриване
Device Memory:,Да се изтрие ли отменено движение на пари {0}?
Difference,Изтриване на черновата
Difference (In Company Currency),Изтриване на чернова на фактура
Disable offline mode first to recheck live connectivity.,Изтриване на чернова на фактура {0}?
Disconnect,Изтриване на фактура
discount,Изтриване на офлайн фактура
Discount %,Доставено
Discount / Void / Return Report,Такси за доставка
Discount Amount,Информация за доставка
Discount limited by POS Profile,Бележката за доставка {0} е създадена
Discounted Invoices,Създадена е бележката за доставка
Discounts,Разположен пакет:
Dismiss,Депозит
Download Certificate,Описание
Draft,Подробна разбивка на доставчика
Draft invoice deleted,Откриване на формати:
Draft source,Памет на устройството:
Drafts,Разлика
Due {0},Разлика (във фирмена валута)
Due Date,"Първо деактивирайте офлайн режима, за да проверите отново връзката на живо."
Duplicate,Прекъснете връзката
Edit customer,отстъпка
Edit discount amount,% отстъпка
Edit discount percentage,Отстъпка/Анулиран/Доклад за връщане
Edit Gift Application,Сума на отстъпката
Edit item name,Отстъпката е ограничена от ПОС профил
Edit quantity,Фактури с отстъпка
Edit rate,Отстъпки
Edit unit of measure,Отхвърляне
Edited,Изтегляне на сертификат
Employee,Чернова
Enable background sync,Проектофактурата е изтрита
Enable Customer Display in POS Profile first.,Източник на чернова
End current session,Чернови
Enter a PIN.,Краен срок: {0}
Enter a valid grams value,Краен срок
Enter new price list rate,Дубликат
Enter Quantity,Редактиране на клиента
Enter the cashier PIN to continue.,Редактиране на размера на отстъпката
Enter the current PIN first.,Редактиране на процента на отстъпката
"Enter the current PIN, then choose a new one.",Редактиране на заявление за подарък
Enter valid grams for scale barcode,Редактиране на името на елемента
Entries,Редактиране на количеството
Error accessing camera:,Редактиране на процент
Error calculating prices,Редактиране на мерната единица
Error fetching customer balance,Редактирано
Error in change calculations!,Служител
Error Loading Data,Активирайте фоновото синхронизиране
Error loading invoice details,Първо активирайте показването на клиента в POS профил.
Error processing invoice,Край на текущата сесия
Error processing payment,Въведете ПИН.
Error searching invoices,Въведете валидна стойност в грамове
Error submitting invoice:,Въведете нова ценова листа
Error submitting invoice: {0},Въведете количество
Error submitting invoice: No response from server,"Въведете ПИН кода на касата, за да продължите."
Error updating currency,Първо въведете текущия ПИН.
Error updating item details,"Въведете текущия ПИН, след което изберете нов."
Est. Purchase,Въведете валидни грамове за баркод на везната
Est. Value,Вписвания
Event-loop lag measures how busy your browser is. Lower is better.,Грешка при достъпа до камерата:
Every,Грешка при изчисляване на цените
Exchange Rate,Грешка при извличане на клиентския баланс
Expand item details,Грешка в изчисленията на промените!
Expected Amount (In Company Currency),Грешка при зареждане на данни
Expected Cash,Грешка при зареждането на данните за фактурата
Expected cash on hand grouped by currency,Грешка при обработката на фактурата
Expected vs Actual,Грешка при обработката на плащането
Expense,Грешка при търсене на фактури
Expense Account (Optional Override),Грешка при изпращане на фактура:
Expense account is required.,Грешка при изпращане на фактура: {0}
Expenses and deposits posted during this shift,Грешка при изпращане на фактура: Няма отговор от сървъра
Expired,Грешка при актуализиране на валутата
Failed to auto reconcile payments.,Грешка при актуализирането на подробностите за артикула
Failed to cancel cash movement,Прогн.
Failed to clear cache,Покупка
Failed to create item,Прогн.
Failed to create supplier,Стойност
Failed to delete cash movement,Забавянето на цикъла на събития измерва колко натоварен е вашият браузър.
Failed to generate scale barcode. Using item barcode only.,По-ниско е по-добре.
Failed to load cash movement context.,Всеки
Failed to load dashboard data.,Обменен курс
Failed to reload invoice from server,Разгънете подробностите за елемента
Failed to submit cash movement,Очаквана сума (във фирмена валута)
Failed to sync offline cash movements,Очаквани пари в брой
Fast cashier actions for active shifts.,"Очаквани пари в брой, групирани по валута"
Fast Moving Items,Очаквано срещу действително
Fees,Разход
Fetch the latest offline prerequisite updates,Разходна сметка (замяна по избор)
Find a sales order quickly and load it into the current sale.,Необходима е разходна сметка.
Fixing payment amounts for return invoice...,"Разходи и депозити, осчетоводени по време на тази смяна"
Flash Off,Изтекъл
Flash On,Неуспешно автоматично съгласуване на плащанията.
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",Неуспешно анулиране на движението на пари в брой
Free,Неуспешно изчистване на кеша
Free Qty,Неуспешно създаване на елемент
Frequency,Неуспешно създаване на доставчик
from,Неуспешно изтриване на движение на пари в брой
From Date,Неуспешно генериране на баркод на везната.
Fulfillment Details,Използва се само баркод на артикул.
Full Name,Неуспешно зареждане на контекста на движение на пари в брой.
Gain,Неуспешно зареждане на данните от таблото.
Generate a fresh prepaid card and start it with an opening balance.,Неуспешно презареждане на фактура от сървъра
Generate and install the certificate to allow fully silent printing without trust prompts.,Неуспешно изпращане на движение на пари в брой
Generate Certificate,Неуспешно синхронизиране на офлайн парични движения
Generated scale barcode: {0},Бързи касиерски действия за активни смени.
Get Payments,Бързо движещи се предмети
Gift Card,Такси
Gift card amount must be greater than zero.,Изтеглете най-новите предпоставки за офлайн актуализации
Gift Card Code,Намерете бързо поръчка за продажба и я заредете в текущата продажба.
Gift card code is required for redemption,Фиксиране на суми за плащане за фактура за връщане...
Gift card code is required.,Светкавица изключена
Gift card issued successfully.,Светкавицата е включена
Gift card loaded successfully.,"За артикули „Пакет продукти“, склад, сериен номер и партиден номер ще бъдат взети под внимание от таблицата „Опаковъчен списък“."
Gift Card Management,"Ако складът и номерът на партида са едни и същи за всички опаковъчни артикули за всеки артикул от „Пакет продукти“, тези стойности могат да бъдат въведени в главната таблица с артикули;"
Gift card payment,стойностите ще бъдат копирани в таблицата „Опаковъчен списък“.
Gift card redemption requires an online connection,безплатно
Gift card topped up successfully.,Безплатно кол
Gift Cards,Честота
Go Offline,от
Go Online,От дата
Go to Frappe Desk,Подробности за изпълнение
Grand Total,Пълно име
Gross Margin,печалба
Gross Profit,Генерирайте нова предплатена карта и я стартирайте с начален баланс.
Gross Sales,"Генерирайте и инсталирайте сертификата, за да позволите напълно безшумен печат без подкани за доверие."
Group not found,Генериране на сертификат
"Grouped controls for terminal, UI, and session settings.",Генериран баркод на везната: {0}
Grouped totals for each payment method and currency,Получавайте плащания
Hide,Подаръчна карта
Hide Gift Card,Сумата на подаръчната карта трябва да е по-голяма от нула.
Hide Non Essential Fields,Код на подаръчна карта
Hide quantity decimals,Кодът на картата за подарък е необходим за осребряване
Hide search tools,Изисква се код на подаръчна карта.
Hide zero rated items,Картата за подарък е издадена успешно.
High,Картата за подарък е заредена успешно.
History,Управление на подаръчни карти
Hourly (Today),Плащане с подаръчна карта
How this section works,Осребряването на карта за подарък изисква онлайн връзка
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",Картата за подарък е заредена успешно.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",Подаръчни карти
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Преминете офлайн
In,Отидете онлайн
In stock: {0},Отидете до бюрото Frappe
Include Batch / Serial,Обща сума
Include Price,Брутен марж
Increase quantity,Брутна печалба
IndexedDB,Брутни продажби
Initial Amount,Групата не е намерена
Initialize your shift with opening balances,"Групирани контроли за терминал, потребителски интерфейс и настройки на сесията."
Initializing application...,Приложението се инициализира...
"Inspect cache, sync, and prerequisite status","Проверете състоянието на кеша, синхронизирането и предпоставките"
Installed Applications,Инсталирани приложения
Insufficient stock:\n{0},Недостатъчни наличности:\n{0}
Invalid rate,Невалидна ставка
Inventory Status Report,Доклад за състоянието на инвентара
Invoice,Фактура
Invoice {0} is Submitted,Фактура {0} е изпратена
Invoice {0} processed successfully,Фактура {0} е обработена успешно
Invoice {0} submission failed,Неуспешно изпращане на фактура {0}
Invoice {0} was already submitted,Фактура {0} вече беше изпратена
Invoice Adjustments,Корекции на фактури
Invoice Change,Промяна на фактура
Invoice Details,Данни за фактурата
Invoice is still in draft after background submission.,Фактурата все още е чернова след изпращане на фона.
Invoice Items,Фактурни артикули
Invoice Management,Управление на фактури
Invoice Mgmt,Управление на фактури
Invoice saved offline,Фактурата е запазена офлайн
Invoice submission failed,Неуспешно изпращане на фактура
Invoice Submitted,Фактурата е изпратена
"Invoice value settled by loyalty points, not cash collection","Стойността на фактурата се урежда чрез точки за лоялност, а не събиране на пари в брой"
Invoices,Фактури
Invoices already past due date,Фактурите вече са с просрочен срок
Invoices saved as POS Invoices,"Фактури, запазени като POS фактури"
Invoices still carrying balances,Фактурите все още носят салда
Issue Mode,Режим на издаване
Issue New Card,Издаване на нова карта
Issue Workflow,Издаване на работен процес
"Issue, top up, and check","Издайте, заредете и проверете"
Item,Артикул
Item / Product Sales Report,Отчет за продажби на артикул / продукт
Item {0} added to invoice,Артикул {0} е добавен към фактурата
Item '{0}' has no barcode,Артикул „{0}“ няма баркод
Item Code,Код на артикул
Item created successfully,Елементът е създаден успешно
Item is out of stock,Артикулът е изчерпан
Item Name,Име на елемент
Item not found,Артикулът не е намерен
Item order updated,Редът на артикулите е актуализиран
Item Selector Settings,Настройки за избор на елемент
Items,Предмети
Items added in POS will appear here automatically.,"Артикулите, добавени в POS, ще се появят тук автоматично."
Items added to invoice,"Артикули, добавени към фактурата"
Items per page,Елементи на страница
Items Sold,Продадени артикули
Items/Invoice,Артикули/фактура
Item-wise Profitability,Рентабилност по артикули
Journal Entry,Вписване в дневник
json,json
Just now,Току-що
Keep offline prerequisites healthy and recover stale data safely.,Поддържайте офлайн предпоставките здрави и възстановявайте остарели данни безопасно.
Labels,Етикети
Language,език
Language will be changed to,Езикът ще бъде променен на
"Language, theme, terminal tools, and session controls.","Език, тема, терминални инструменти и контроли за сесии."
Last,Последно
Last 14 Days (Paid vs Pending),Последните 14 дни (платени срещу чакащи)
Last 14 Days Activity,Активност за последните 14 дни
Last 14 Days Gross Profit,Брутна печалба за последните 14 дни
