- Total Unallocated,- Total Unallocated
* Required,* প্রয়োজনীয়
{0} (Qty: {1}),{0} (পরিমাণ: {1})
{0} actions,{0}টি কাজ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} স্টকে শুধুমাত্র {1}টি আছে৷
{0} offline invoice{1} pending,আপনি অনুরোধ করেছেন {2}
{0} offline invoice{1} saved as draft,পরিমাণ বা রিস্টক সামঞ্জস্য করুন।
{0} offline invoice{1} synced,{0} অফলাইন চালান{1} মুলতুবি৷
{0}: {1} {2},{0} অফলাইন চালান{1} খসড়া হিসাবে সংরক্ষিত৷
{0}d ago,{0} অফলাইন চালান{1} সিঙ্ক হয়েছে৷
{0}h ago,{0}: {1} {2}
{0}m ago,{0}দিন আগে
A POS supervisor is required for this action.,{0}ঘণ্টা আগে
About,{0}মি আগে
Access,এই কর্মের জন্য একজন POS সুপারভাইজার প্রয়োজন।
Account,সম্পর্কে
Account is overdrawn,অ্যাক্সেস
Acknowledge the error to resume scanning,হিসাব
Acknowledge the error to resume scanning.,অ্যাকাউন্ট ওভারড্র করা হয়েছে
Across,স্ক্যানিং পুনরায় শুরু করতে ত্রুটি স্বীকার করুন
Action,স্ক্যানিং পুনরায় শুরু করতে ত্রুটি স্বীকার করুন।
Actions,জুড়ে
Active sale,অ্যাকশন
add,কর্ম
Add items from the selector to start building this sale.,সক্রিয় বিক্রয়
Add more value to an existing gift card,যোগ করুন
Add New Address,এই বিক্রয় নির্মাণ শুরু করতে নির্বাচক থেকে আইটেম যোগ করুন.
Add new customer,একটি বিদ্যমান উপহার কার্ডে আরও মূল্য যোগ করুন
Add on New Line,নতুন ঠিকানা যোগ করুন
Add Payment,নতুন গ্রাহক যোগ করুন
Add payment to invoice,নতুন লাইনে যোগ করুন
Add/Edit Coupon Conditions,পেমেন্ট যোগ করুন
Additional Discount,চালানে অর্থপ্রদান যোগ করুন
Additional Discount %,কুপন শর্তাবলী যোগ/সম্পাদনা করুন
Address Line 1,অতিরিক্ত ডিসকাউন্ট
Address not found,অতিরিক্ত ডিসকাউন্ট %
Adjust the quantity or enable negative stock to continue.,ঠিকানা লাইন 1
Adjustment,ঠিকানা পাওয়া যায়নি
After returns,পরিমাণ সামঞ্জস্য করুন বা চালিয়ে যেতে নেতিবাচক স্টক সক্ষম করুন।
Against,সামঞ্জস্য
Against Name,ফেরার পর
Age Bracket,বিরুদ্ধে
All,নামের বিরুদ্ধে
All Caught Up!,বয়স বন্ধনী
All invoices are synchronized,সব
All pending invoices are up to date,সব ধরা পড়েছে!
All Profiles,সমস্ত চালান সিঙ্ক্রোনাইজ করা হয়
All Synchronized,সমস্ত মুলতুবি থাকা চালানগুলি আপ টু ডেট৷
All visible invoices are fully settled.,সমস্ত প্রোফাইল
All Warehouses,সব সিঙ্ক্রোনাইজড
