- Total Unallocated,- Total Unallocated
* Required,* ያስፈልጋል
{0} (Qty: {1}),{0} (ካቲ፡ {1})
{0} actions,{0} ድርጊቶች
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} በክምችት ውስጥ ያለው {1} ብቻ ነው።
{0} offline invoice{1} pending,እርስዎ {2}ን ጠይቀዋል።
{0} offline invoice{1} saved as draft,መጠኑን ያስተካክሉ ወይም እንደገና ያስቀምጡ.
{0} offline invoice{1} synced,{0} ከመስመር ውጭ ደረሰኝ{1} በመጠባበቅ ላይ
{0}: {1} {2},{0} ከመስመር ውጭ ደረሰኝ{1} እንደ ረቂቅ ተቀምጧል
{0}d ago,{0} ከመስመር ውጭ ደረሰኝ{1} ተመሳስሏል።
{0}h ago,{0}፡ {1} {2}
{0}m ago,ከ{0}ቀ በፊት
A POS supervisor is required for this action.,ከ{0}ሰ በፊት
About,ከ{0}ደቂቃ በፊት
Access,ለዚህ እርምጃ የPOS ተቆጣጣሪ ያስፈልጋል።
Account,ስለ
Account is overdrawn,መዳረሻ
Acknowledge the error to resume scanning,መለያ
Acknowledge the error to resume scanning.,መለያ ከመጠን በላይ ተበላሽቷል።
Across,መቃኘትን ለመቀጠል ስህተቱን ይቀበሉ
Action,መቃኘትን ለመቀጠል ስህተቱን ይቀበሉ።
Actions,ማዶ
Active sale,ድርጊት
add,ድርጊቶች
Add items from the selector to start building this sale.,ንቁ ሽያጭ
Add more value to an existing gift card,ጨምር
Add New Address,ይህንን ሽያጭ መገንባት ለመጀመር ከመራጩ ላይ እቃዎችን ያክሉ።
Add new customer,አሁን ባለው የስጦታ ካርድ ላይ ተጨማሪ እሴት ያክሉ
Add on New Line,አዲስ አድራሻ ጨምር
Add Payment,አዲስ ደንበኛ ያክሉ
Add payment to invoice,በአዲስ መስመር ላይ ያክሉ
Add/Edit Coupon Conditions,ክፍያ ጨምር
Additional Discount,ክፍያ ወደ ደረሰኝ ያክሉ
Additional Discount %,የኩፖን ሁኔታዎችን ያክሉ/ያርትዑ
Address Line 1,ተጨማሪ ቅናሽ
Address not found,ተጨማሪ ቅናሽ %
Adjust the quantity or enable negative stock to continue.,አድራሻ መስመር 1
Adjustment,አድራሻ አልተገኘም።
After returns,መጠኑን ያስተካክሉ ወይም ለመቀጠል አሉታዊ አክሲዮን ያንቁ።
Against,ማስተካከል
Against Name,ከተመለሰ በኋላ
Age Bracket,በመቃወም
All,በስም ላይ
All Caught Up!,የዕድሜ ቅንፍ
All invoices are synchronized,ሁሉም
All pending invoices are up to date,ሁሉም ተያዘ!
All Profiles,ሁሉም ደረሰኞች ተመሳስለዋል።
All Synchronized,ሁሉም በመጠባበቅ ላይ ያሉ ደረሰኞች ወቅታዊ ናቸው።
All visible invoices are fully settled.,ሁሉም መገለጫዎች
All Warehouses,ሁሉም የተመሳሰለ
Allowed UOM is {0},ሁሉም የሚታዩ ደረሰኞች ሙሉ በሙሉ ተረጋግጠዋል።
Always fetch items from server (ignore local cache),ሁሉም መጋዘኖች
Amount,የተፈቀደው UOM {0} ነው
Amount already received,ሁልጊዜ ንጥሎችን ከአገልጋይ ያውጡ (አካባቢያዊ መሸጎጫውን ችላ ይበሉ)
Amount exceeds profile cash movement max amount.,መጠን
Amount must be greater than zero.,አስቀድሞ የተቀበለው መጠን
Amount received from customer,መጠን የመገለጫ የገንዘብ እንቅስቃሴ ከፍተኛ መጠን ይበልጣል።
App information,መጠኑ ከዜሮ በላይ መሆን አለበት።
Appearance and user-level preferences for the current session.,ከደንበኛው የተቀበለው መጠን
Applied,የመተግበሪያ መረጃ
Apply,ለአሁኑ ክፍለ ጊዜ የእይታ እና የተጠቃሚ ደረጃ ምርጫዎች።
Apply Gift Card,ተተግብሯል
Apply Offer,ያመልክቱ
Apply On,የስጦታ ካርድ ተግብር
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ቅናሽ ያመልክቱ
Apply Redemption,በርቷል ያመልክቱ
Applying,በዚህ ደረሰኝ ላይ ማስመለስ የሚፈልጉትን መጠን ብቻ ያመልክቱ።
Apps,ቀሪው ቀሪ ሂሳብ በካርዱ ላይ ይቆያል.
Are you sure you want to close? All entered data will be lost.,ቤዛን ተግብር
Attributes (Size/Color),በማመልከት ላይ
Auto Allocate Payment Amount,መተግበሪያዎች
Auto Reconcile,እርግጠኛ ነህ መዝጋት ትፈልጋለህ?
Auto reconciliation completed after payment submit.,ሁሉም የገባው ውሂብ ይጠፋል።
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ባህሪያት (መጠን/ቀለም)
Available Actions,የክፍያ መጠን በራስ-ሰር ይመድቡ
Available QTY,ራስ-ሰር ማስታረቅ
Available:,ክፍያ ከገባ በኋላ በራስ-ሰር ማስታረቅ ተጠናቀቀ።
Average Basket,ራስ-ሰር ማስታረቅ ተጠናቀቀ።
Average Bill,የተመደበው፡ {0}{1}
Average Ticket,የሚቀረው፡ {0}{2}።
Avg Bill,የሚገኙ ድርጊቶች
Avg Invoice,QTY ይገኛል።
Avg Invoice Profit,ይገኛል፡
Avg Invoice Value,አማካይ ቅርጫት
Avg Purchase Frequency,አማካይ ሂሳብ
Awesome,አማካኝ ቲኬት
Awesome Dashboard,አማካኝ ቢል
Awesome Dashboard is disabled for the selected POS Profile.,አማካኝ ደረሰኝ
Awesome Dashboard is unavailable for the selected scope.,አማካኝ የክፍያ መጠየቂያ ትርፍ
Awesome Dashboard is visible only to POS supervisors.,አማካይ የክፍያ መጠየቂያ ዋጋ
Back,አማካይ የግዢ ድግግሞሽ
Back Office Cash Account,ግሩም
Back Office Cash Account (Optional Override),ግሩም ዳሽቦርድ
Back office cash account is required.,ለተመረጠው የPOS መገለጫ ግሩም ዳሽቦርድ ተሰናክሏል።
Back to {0},ግሩም ዳሽቦርድ ለተመረጠው ወሰን የለም።
Background processing did not finish in time.,ግሩም ዳሽቦርድ የሚታየው ለPOS ተቆጣጣሪዎች ብቻ ነው።
Background processing failed for Invoice {0}: {1},ተመለስ
Background Submission Failed,የኋላ የቢሮ ጥሬ ገንዘብ ሂሳብ
Background sync interval (seconds),የኋላ ኦፊስ የገንዘብ ሂሳብ (አማራጭ መሻር)
Balance,የኋላ ቢሮ የገንዘብ ሂሳብ ያስፈልጋል።
Balance will be updated when connection is restored,ወደ {0} ተመለስ
Balances still pending,የበስተጀርባ ማቀነባበር በጊዜ አልተጠናቀቀም.
Barcode,ለክፍያ መጠየቂያ {0}፡ {1} የበስተጀርባ ሂደት አልተሳካም
Barcode / QR Ready,ዳራ ማስገባት አልተሳካም።
Barcode Label Printing,የበስተጀርባ ማመሳሰል ክፍተት (ሰከንዶች)
Base Paid:,ሚዛን
Base Recv:,ግንኙነቱ ወደነበረበት ሲመለስ ቀሪ ሒሳብ ይዘምናል።
Base:,ቀሪ ሂሳቦች አሁንም በመጠባበቅ ላይ ናቸው።
Basic Information,የአሞሌ ኮድ
Batch,ባርኮድ/QR ዝግጁ
Batch Information,የአሞሌ መለያ ማተም
Before any return workflow,የሚከፈልበት መሰረት፡
Before returns,የመሠረት ማጣቀሻ፡
Best Day,መሰረት፡
Best Seller,መሰረታዊ መረጃ
Book expense or deposit from active shift.,ባች
Branch / Location-wise Report,ባች መረጃ
Brand-wise,ከማንኛውም የመመለሻ የስራ ሂደት በፊት
Breakdown,ከመመለሱ በፊት
Browse,ምርጥ ቀን
Build Time:,ምርጥ ሻጭ
Built with Frappe,ከገቢር ፈረቃ የመዝገብ ወጪ ወይም ተቀማጭ ገንዘብ።
Bundle,ቅርንጫፍ / አካባቢ-ጥበብ ሪፖርት
Buying Price,ብራንድ-ጥበብ
Cache cleared successfully,መከፋፈል
Cache Usage,አስስ
cache used,የግንባታ ጊዜ፡-
Calculating...,በ Frappe የተሰራ
Camera Access Required,ጥቅል
Camera access was aborted. Please try again.,የግዢ ዋጋ
Camera constraints not supported by your device. Trying fallback settings...,መሸጎጫ በተሳካ ሁኔታ ጸድቷል።
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,የመሸጎጫ አጠቃቀም
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ጥቅም ላይ የዋለው መሸጎጫ
Camera scanner is locked until the current error is acknowledged,በማስላት ላይ...
Camera started but the video stream did not load in time. Please try again.,የካሜራ መዳረሻ ያስፈልጋል
Cancel,የካሜራ መዳረሻ ተቋርጧል።
Cancel cash movement {0}?,እባክዎ እንደገና ይሞክሩ።
Cancel Payment,የካሜራ ገደቦች በመሣሪያዎ አይደገፉም።
Cancel Sale,የተመለስ ቅንብሮችን በመሞከር ላይ...
Cancel Sale ?,ካሜራ ስራ በዝቶበታል ወይም በሌላ መተግበሪያ/ትር ታግዷል።
Cancelled,ሌሎች የካሜራ መተግበሪያዎችን ዝጋ እና እንደገና ሞክር።
Cannot add an item with zero or negative quantity.,የካሜራ ፍቃድ ተከልክሏል።
Cannot clear cache while offline,እባክህ የካሜራ መዳረሻ በአሳሽህ ቅንብሮች ውስጥ ፍቀድ እና ገጹን አድስ።
Cannot redeem customer credit more than invoice total,የአሁኑ ስህተት እውቅና እስኪያገኝ ድረስ የካሜራ ስካነር ተቆልፏል
Cannot redeem gift cards more than invoice total,ካሜራ ተጀምሯል ግን የቪዲዮ ዥረቱ በጊዜ አልተጫነም።
Cannot Save Offline Invoice:,እባክዎ እንደገና ይሞክሩ።
Cannot Save Offline Payment:,ሰርዝ
Card,የገንዘብ እንቅስቃሴ ይሰረዝ {0}?
Card / Online,ክፍያ ሰርዝ
Card health after the last live lookup,ሽያጩን ሰርዝ
Cards,ሽያጭ ይሰረዝ?
Cart,ተሰርዟል።
Cash,ዜሮ ወይም አሉታዊ መጠን ያለው ንጥል ነገር ማከል አይቻልም።
Cash back to customers,ከመስመር ውጭ ሆኖ መሸጎጫውን ማጽዳት አይቻልም
Cash Collections,ከጠቅላላ ደረሰኝ በላይ የደንበኛ ክሬዲት ማስመለስ አይቻልም
Cash Deposit is disabled for this POS Profile.,የስጦታ ካርዶችን ከክፍያ መጠየቂያ ጠቅላላ በላይ ማስመለስ አይቻልም
Cash Drawer Snapshot,ከመስመር ውጭ ደረሰኝ ማስቀመጥ አይቻልም፡-
Cash In Hand,ከመስመር ውጭ ክፍያ መቆጠብ አይቻልም፡-
Cash Movement,ካርድ
Cash movement cancelled,ካርድ / መስመር ላይ
Cash movement deduction applied,ከመጨረሻው የቀጥታ ፍለጋ በኋላ የካርድ ጤና
Cash movement deleted,ካርዶች
Cash movement is disabled for this POS Profile.,ጋሪ
Cash Movement is disabled in current POS Profile.,ጥሬ ገንዘብ
Cash movement saved offline,ገንዘብ ለደንበኞች ይመለሱ
Cash movement submitted,የገንዘብ ስብስቦች
Cash Movements,ለዚህ የPOS መገለጫ የጥሬ ገንዘብ ማስቀመጫ ተሰናክሏል።
Cash payment cannot be less than invoice total when partial payment is not allowed,የጥሬ ገንዘብ መሳቢያ ቅጽበተ ፎቶ
Cash returned after payment,ጥሬ ገንዘብ በእጅ
Cashier,የገንዘብ እንቅስቃሴ
Cashier Access,የገንዘብ እንቅስቃሴ ተሰርዟል።
Cashier identity and appearance preferences.,የገንዘብ እንቅስቃሴ ቅነሳ ተተግብሯል።
Cashier PIN,የገንዘብ እንቅስቃሴ ተሰርዟል።
Cashier PIN saved successfully.,ለዚህ የPOS መገለጫ የገንዘብ እንቅስቃሴ ተሰናክሏል።
Cashiers,የገንዘብ እንቅስቃሴ በአሁኑ የPOS መገለጫ ላይ ተሰናክሏል።
Cashier-wise,የገንዘብ እንቅስቃሴ ከመስመር ውጭ ተቀምጧል
Categories,የገንዘብ እንቅስቃሴ ገብቷል።
Category,የገንዘብ እንቅስቃሴዎች
Category / Brand / Variant Report,በከፊል ክፍያ በማይፈቀድበት ጊዜ የጥሬ ገንዘብ ክፍያ ከጠቅላላ ደረሰኝ ያነሰ ሊሆን አይችልም።
Category-wise,ገንዘብ ከተከፈለ በኋላ ተመልሷል
Category-wise Margin,ገንዘብ ተቀባይ
Certificate,ገንዘብ ተቀባይ መዳረሻ
Certificate is missing or not trusted. QZ may show confirmation dialogs.,ገንዘብ ተቀባይ ማንነት እና መልክ ምርጫዎች።
Certificate is trusted. Silent QZ printing is active.,ገንዘብ ተቀባይ ፒን
Change,ገንዘብ ተቀባይ ፒን በተሳካ ሁኔታ ተቀምጧል።
Change allocation repaired,ገንዘብ ተቀባዮች
Change interface language,ገንዘብ ተቀባይ-ጥበበኛ
Change Language,ምድቦች
Change Price,ምድብ
Change Return,ምድብ / የምርት ስም / ተለዋጭ ሪፖርት
Change Returned,ምድብ-ጥበብ
Change terminal cashier,ምድብ-ጥበብ ህዳግ
Charge Heads,የምስክር ወረቀት
Charges,የምስክር ወረቀት ጠፍቷል ወይም አይታመንም።
Charges not found,QZ የማረጋገጫ መገናኛዎችን ሊያሳይ ይችላል።
Check Balance,የምስክር ወረቀት የታመነ ነው።
Check balance for any card. Supervisors can issue and top up cards here.,ጸጥ ያለ QZ ማተም ገቢር ነው።
Check balance only,ለውጥ
Check for new commits,ምደባ ተስተካክሏል።
Check for Updates,የበይነገጽ ቋንቋ ቀይር
Check live balance before applying redemption,ቋንቋ ቀይር
Check live balance before redemption,ዋጋ ቀይር
Checking...,መመለሻን ቀይር
Cheque/Reference Date,ለውጥ ተመልሷል
Cheque/Reference No,ተርሚናል ገንዘብ ተቀባይ ለውጥ
Choose the cashier currently operating this terminal.,ኃላፊዎች ክፍያ
Choose your preferred language for the POS interface,ክፍያዎች
City,ክፍያዎች አልተገኙም።
Clear,ቀሪ ሂሳብን ያረጋግጡ
Clear All,ለማንኛውም ካርድ ቀሪ ሂሳብን ያረጋግጡ።
Clear all barcode items,ተቆጣጣሪዎች እዚህ ካርዶችን ማውጣት እና መሙላት ይችላሉ.
Clear all purchase order items,ቀሪ ሂሳብን ብቻ ያረጋግጡ
Clear Cache,አዲስ ቁርጠኝነትን ያረጋግጡ
Clear Search,ዝማኔዎችን ይመልከቱ
Clearing local cache...,ማስመለስን ከመተግበሩ በፊት የቀጥታ ቀሪ ሒሳብን ያረጋግጡ
Click to refresh,ከመቤዠት በፊት የቀጥታ ቀሪ ሒሳብን ያረጋግጡ
Client CPU Lag:,በማጣራት ላይ...
Client Memory Usage:,ቼክ/የማጣቀሻ ቀን
Client Metrics,ቼክ/ማጣቀሻ ቁጥር
Close,በአሁኑ ጊዜ ይህንን ተርሚናል የሚሠራውን ገንዘብ ተቀባይ ይምረጡ።
Close about dialog,ለPOS በይነገጽ የመረጡትን ቋንቋ ይምረጡ
Close cashier switcher,ከተማ
Close closing shift dialog,ግልጽ
Close column selector,ሁሉንም አጽዳ
Close Dialog,ሁሉንም የአሞሌ ኮድ ንጥሎችን ያጽዱ
Close drafts dialog,ሁሉንም የግዢ ማዘዣ ዕቃዎች ያጽዱ
Close invoice details dialog,መሸጎጫ አጽዳ
Close invoice management,ፍለጋን አጽዳ
Close offline invoices dialog,የአካባቢ መሸጎጫ በማጽዳት ላይ...
Close packing list dialog,ለማደስ ጠቅ ያድርጉ
Close returns dialog,የደንበኛ ሲፒዩ መዘግየት፡
Close sales orders dialog,የደንበኛ ማህደረ ትውስታ አጠቃቀም፡-
Close Scanner,የደንበኛ መለኪያዎች
Close scanner dialog,ዝጋ
Close Settings,ስለ ንግግር ዝጋ
Close Shift,ገንዘብ ተቀባይ መቀየሪያን ዝጋ
Closing Amount,የመዝጊያ ፈረቃ ንግግርን ዝጋ
Closing POS Shift,የአምድ መራጭን ዝጋ
Closing Snapshot Available,መገናኛን ዝጋ
Code,የረቂቆች መገናኛን ዝጋ
Code scanned successfully,የክፍያ መጠየቂያ ዝርዝሮች መገናኛን ዝጋ
COGS,የክፍያ መጠየቂያ አስተዳደርን ዝጋ
Collapse item details,ከመስመር ውጭ የክፍያ መጠየቂያዎች መገናኛን ዝጋ
Collected,የማሸጊያ ዝርዝር መገናኛን ዝጋ
Cols,የመመለሻ ንግግርን ዝጋ
Columns,የሽያጭ ትዕዛዞች መገናኛን ዝጋ
commits,ስካነርን ዝጋ
Completed and active sales in this range,የስካነር መገናኛን ዝጋ
Completed returns will appear here.,ቅንብሮችን ዝጋ
Confirm,Shift ዝጋ
Confirm Close,የመዝጊያ መጠን
Confirm Mobile Number,የ POS Shift መዝጋት
Confirm PIN,የመዝጊያ ቅጽበታዊ ገጽ እይታ ይገኛል።
Connect,ኮድ
Connect printer and manage certificate,ኮድ በተሳካ ሁኔታ ተቃኝቷል።
Connecting to QZ Tray...,COGS
Connection problem while submitting invoice,የንጥል ዝርዝሮችን ሰብስብ
Connections:,ተሰብስቧል
Connectivity and cached prerequisite status were rechecked.,ቆላስይስ
Continue Editing,አምዶች
Could not fetch latest balance from server,ያደርጋል
Count,በዚህ ክልል ውስጥ የተጠናቀቁ እና ንቁ ሽያጮች
Country,የተጠናቀቁ ተመላሾች እዚህ ይታያሉ።
Coupon,አረጋግጥ
Coupons,መዝጋትን ያረጋግጡ
Cover,የተንቀሳቃሽ ስልክ ቁጥር ያረጋግጡ
CPU Cores:,ፒን ያረጋግጡ
Create,ተገናኝ
Create and load a new prepaid card,አታሚ ያገናኙ እና የምስክር ወረቀት ያቀናብሩ
Create and preload a new gift card,ከQZ Tray ጋር በመገናኘት ላይ...
Create Bill,ደረሰኝ በሚያስገቡበት ጊዜ የግንኙነት ችግር
Create Customer,ግንኙነቶች፡
Create New Item,ግንኙነት እና የተሸጎጠ ቅድመ ሁኔታ ሁኔታ እንደገና ተረጋግጧል።
Create or change your PIN,ማረምዎን ይቀጥሉ
Create PIN,የቅርብ ጊዜ ቀሪ ሂሳብ ከአገልጋይ ማምጣት አልተቻለም
Create POS Opening Shift,መቁጠር
Create Purchase Order,ሀገር
Create Return,ኩፖን
Create return from invoice,ኩፖኖች
Create Supplier,ሽፋን
Credit and Output,ሲፒዩ ኮርሶች፡-
Credit Note,ፍጠር
Credit Outstanding,አዲስ የቅድመ ክፍያ ካርድ ይፍጠሩ እና ይጫኑ
Credit sales remaining to be collected,አዲስ የስጦታ ካርድ ይፍጠሩ እና አስቀድመው ይጫኑ
Critical,ቢል ፍጠር
Currency,ደንበኛ ይፍጠሩ
Current,አዲስ ንጥል ይፍጠሩ
Current Event Loop Lag:,የእርስዎን ፒን ይፍጠሩ ወይም ይቀይሩ
Current Month,ፒን ይፍጠሩ
Current PIN,የPOS መክፈቻ Shift ይፍጠሩ
Current Profile,የግዢ ትዕዛዝ ይፍጠሩ
Current redeemable value on the gift card,ተመላሽ ፍጠር
Current User,ከክፍያ መጠየቂያ ተመላሽ ይፍጠሩ
Custom,አቅራቢ ይፍጠሩ
Custom Due Days,ብድር እና ውጤት
Custom items per page,የብድር ማስታወሻ
Customer,ክሬዲት የላቀ
Customer already selected,የክሬዲት ሽያጮች ለመሰብሰብ ይቀራሉ
Customer Balance,ወሳኝ
Customer balance unavailable offline,ምንዛሪ
Customer created successfully.,የአሁኑ
Customer creation failed.,የአሁኑ ክስተት መዘግየት፡-
Customer Details,የአሁኑ ወር
Customer display channel is missing,የአሁኑ ፒን
Customer display was blocked. Please allow pop-ups for this site.,የአሁኑ መገለጫ
Customer group is required,በስጦታ ካርዱ ላይ አሁን ሊመለስ የሚችል ዋጋ
Customer is required to add payment,የአሁኑ ተጠቃሚ
Customer Name is required,ብጁ
Customer not selected,ብጁ የፍጻሜ ቀናት
Customer Report,ብጁ እቃዎች በገጽ
Customer saved offline,ደንበኛ
Customer Screen,ደንበኛ አስቀድሞ ተመርጧል
Customer territory is required,የደንበኛ ሚዛን
Customer updated successfully.,የደንበኛ ሒሳብ ከመስመር ውጭ አይገኝም
Customer-facing tools and printer setup.,ደንበኛ በተሳካ ሁኔታ ተፈጥሯል።
Customers,ደንበኛ መፍጠር አልተሳካም።
Customers not found,የደንበኛ ዝርዝሮች
Daily cashier actions without scrolling.,የደንበኛ ማሳያ ቻናል ጠፍቷል
Daily Sales,የደንበኛ ማሳያ ታግዷል።
Daily Sales Summary,እባክዎ ለዚህ ጣቢያ ብቅ-ባዮችን ይፍቀዱ።
Dark Mode,የደንበኛ ቡድን ያስፈልጋል
Data loaded in form. Review and submit.,ደንበኛው ክፍያ ለመጨመር ይጠየቃል።
Database Health,የደንበኛ ስም ያስፈልጋል
Database health affects overall system speed and reliability.,ደንበኛ አልተመረጠም።
Database Info,የደንበኛ ሪፖርት
Date,ደንበኛ ከመስመር ውጭ ተቀምጧል
Day Δ,የደንበኛ ማያ ገጽ
days,የደንበኛ ክልል ያስፈልጋል
Day-wise (MTD),ደንበኛ በተሳካ ሁኔታ ዘምኗል።
Day-wise Movement,ደንበኛን የሚመለከቱ መሳሪያዎች እና የአታሚ ማዋቀር።
Dead Stock,ደንበኞች
Dead Stock Items,ደንበኞች አልተገኙም።
Decrease quantity,ያለማሸብለል ዕለታዊ ገንዘብ ተቀባይ እርምጃዎች።
Default,ዕለታዊ ሽያጭ
Default:,ዕለታዊ የሽያጭ ማጠቃለያ
Delete,ጨለማ ሁነታ
Delete cancelled cash movement {0}?,በቅጹ ላይ የተጫነ ውሂብ.
Delete Draft,ይገምግሙ እና ያስገቡ።
Delete draft invoice,የውሂብ ጎታ ጤና
Delete draft invoice {0}?,የውሂብ ጎታ ጤና አጠቃላይ የስርዓት ፍጥነት እና አስተማማኝነት ላይ ተጽዕኖ ያሳድራል።
Delete Invoice,የውሂብ ጎታ መረጃ
Delete offline invoice,ቀን
Delivered,ቀን Δ
Delivery Charges,ቀናት
Delivery Information,ቀን-ጥበብ (MTD)
Delivery Note {0} created,የቀን-ጥበብ እንቅስቃሴ
Delivery note created,የሞተ ክምችት
Deployed Bundle:,የሞቱ እቃዎች
Deposit,መጠን ቀንስ
Description,ነባሪ
Detailed Supplier Breakdown,ነባሪ፡
Detecting formats:,ሰርዝ
Device Memory:,የተሰረዘ የገንዘብ እንቅስቃሴ {0} ይሰረዝ?
Difference,ረቂቅ ሰርዝ
Difference (In Company Currency),ረቂቅ ደረሰኝ ሰርዝ
Disable offline mode first to recheck live connectivity.,ረቂቅ ደረሰኝ ይሰረዝ {0}?
Disconnect,ደረሰኝ ሰርዝ
discount,ከመስመር ውጭ ደረሰኝ ሰርዝ
Discount %,ደረሰ
Discount / Void / Return Report,የመላኪያ ክፍያዎች
Discount Amount,የመላኪያ መረጃ
Discount limited by POS Profile,የማድረሻ ማስታወሻ {0} ተፈጥሯል።
Discounted Invoices,የማስረከቢያ ማስታወሻ ተፈጥሯል።
Discounts,የተዘረጋ ቅርቅብ፡
Dismiss,ተቀማጭ ገንዘብ
Download Certificate,መግለጫ
Draft,ዝርዝር የአቅራቢዎች ዝርዝር መግለጫ
Draft invoice deleted,ቅርጸቶችን በማግኘት ላይ፡
Draft source,የመሣሪያ ማህደረ ትውስታ፡
Drafts,ልዩነት
Due {0},ልዩነት (በኩባንያው ምንዛሪ)
Due Date,የቀጥታ ግንኙነትን ለመፈተሽ መጀመሪያ ከመስመር ውጭ ሁነታን ያሰናክሉ።
Duplicate,ግንኙነት አቋርጥ
Edit customer,ቅናሽ
Edit discount amount,ቅናሽ %
Edit discount percentage,ቅናሽ / ባዶነት / የመመለሻ ሪፖርት
Edit Gift Application,የቅናሽ መጠን
Edit item name,ቅናሽ በPOS መገለጫ የተገደበ
Edit quantity,ቅናሽ ደረሰኞች
Edit rate,ቅናሾች
Edit unit of measure,አሰናብት
Edited,የምስክር ወረቀት አውርድ
Employee,ረቂቅ
Enable background sync,ረቂቅ ደረሰኝ ተሰርዟል።
Enable Customer Display in POS Profile first.,ረቂቅ ምንጭ
End current session,ረቂቆች
Enter a PIN.,የሚያበቃው {0}
Enter a valid grams value,የማለቂያ ቀን
Enter new price list rate,ማባዛት።
Enter Quantity,ደንበኛን ያርትዑ
Enter the cashier PIN to continue.,የቅናሽ መጠንን ያርትዑ
Enter the current PIN first.,የቅናሽ መቶኛን ያርትዑ
"Enter the current PIN, then choose a new one.",የስጦታ መተግበሪያን ያርትዑ
Enter valid grams for scale barcode,የንጥል ስም ያርትዑ
Entries,ብዛትን ያርትዑ
Error accessing camera:,መጠንን ያርትዑ
Error calculating prices,የመለኪያ ክፍልን ያርትዑ
Error fetching customer balance,ተስተካክሏል።
