- Total Unallocated,- Total Unallocated
* Required,* Obligatori
{0} (Qty: {1}),{0} (Quantitat: {1})
{0} actions,{0} accions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} només té {1} en estoc.
{0} offline invoice{1} pending,Heu sol·licitat {2}.
{0} offline invoice{1} saved as draft,Ajustar la quantitat o reposar.
{0} offline invoice{1} synced,{0}factura fora de línia{1} pendent
{0}: {1} {2},La {0} factura fora de línia{1} s'ha desat com a esborrany
{0}d ago,{0} factura fora de línia{1} sincronitzada
{0}h ago,{0}: {1} {2}
{0}m ago,fa {0} dies
A POS supervisor is required for this action.,fa {0}h
About,fa {0}m
Access,Es requereix un supervisor de TPV per a aquesta acció.
Account,Sobre
Account is overdrawn,Accés
Acknowledge the error to resume scanning,Compte
Acknowledge the error to resume scanning.,El compte està en excés
Across,Confirmeu l'error per reprendre l'escaneig
Action,Confirmeu l'error per reprendre l'escaneig.
Actions,A través
Active sale,Acció
add,Accions
Add items from the selector to start building this sale.,Venda activa
Add more value to an existing gift card,afegir
Add New Address,Afegiu articles del selector per començar a crear aquesta venda.
Add new customer,Afegiu més valor a una targeta regal existent
Add on New Line,Afegeix una adreça nova
Add Payment,Afegeix un client nou
Add payment to invoice,Afegeix a New Line
Add/Edit Coupon Conditions,Afegeix el pagament
Additional Discount,Afegiu el pagament a la factura
Additional Discount %,Afegeix/Edita les condicions del cupó
Address Line 1,Descompte addicional
Address not found,% de descompte addicional
Adjust the quantity or enable negative stock to continue.,Línia d'adreça 1
Adjustment,No s'ha trobat l'adreça
After returns,Ajusteu la quantitat o activeu l'estoc negatiu per continuar.
Against,Ajust
Against Name,Després de les tornades
Age Bracket,En contra
All,Contra Nom
All Caught Up!,Tranxa d'edat
All invoices are synchronized,Tots
All pending invoices are up to date,Tots atrapats!
All Profiles,Totes les factures estan sincronitzades
All Synchronized,Totes les factures pendents estan actualitzades
All visible invoices are fully settled.,Tots els perfils
All Warehouses,Tot sincronitzat
Allowed UOM is {0},Totes les factures visibles estan totalment liquidades.
Always fetch items from server (ignore local cache),Tots els Magatzems
Amount,UOM permesa és {0}
Amount already received,Obteniu sempre els elements del servidor (ignoreu la memòria cau local)
Amount exceeds profile cash movement max amount.,Import
Amount must be greater than zero.,Import ja rebut
Amount received from customer,L'import supera l'import màxim del moviment d'efectiu del perfil.
App information,La quantitat ha de ser superior a zero.
Appearance and user-level preferences for the current session.,Import rebut del client
Applied,Informació de l'aplicació
Apply,Aparença i preferències a nivell d'usuari per a la sessió actual.
Apply Gift Card,Aplicat
Apply Offer,Aplicar
Apply On,Aplica la Targeta Regal
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplica l'oferta
Apply Redemption,Aplicar activat
Applying,Apliqueu només l'import que voleu bescanviar en aquesta factura.
Apps,El saldo restant es manté a la targeta.
Are you sure you want to close? All entered data will be lost.,Aplica la redempció
Attributes (Size/Color),Aplicant
Auto Allocate Payment Amount,Aplicacions
Auto Reconcile,Esteu segur que voleu tancar?
Auto reconciliation completed after payment submit.,Es perdran totes les dades introduïdes.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributs (mida/color)
Available Actions,Assigna automàticament l'import del pagament
Available QTY,Reconciliació automàtica
Available:,La conciliació automàtica s'ha completat després de l'enviament del pagament.
Average Basket,S'ha completat la reconciliació automàtica.
Average Bill,Assignat: {0}{1}.
Average Ticket,Restant pendents: {0}{2}.
Avg Bill,Accions disponibles
Avg Invoice,QTY disponible
Avg Invoice Profit,Disponible:
Avg Invoice Value,Cistella mitjana
Avg Purchase Frequency,Factura mitjana
Awesome,Bitllet mitjà
Awesome Dashboard,Factura mitjana
Awesome Dashboard is disabled for the selected POS Profile.,Factura mitjana
Awesome Dashboard is unavailable for the selected scope.,Benefici mitjà de la factura
