- Total Unallocated,- Total Unallocated
* Required,* 必須
{0} (Qty: {1}),{0} (数量: {1})
{0} actions,{0} 個のアクション
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} の在庫は {1} のみです。
{0} offline invoice{1} pending,{2} をリクエストしました。
{0} offline invoice{1} saved as draft,数量を調整したり、補充したりします。
{0} offline invoice{1} synced,{0}オフライン請求書{1}は保留中です
{0}: {1} {2},{0}オフライン請求書{1}は下書きとして保存されました
{0}d ago,{0}オフライン請求書{1}が同期されました
{0}h ago,{0}: {1} {2}
{0}m ago,{0}日前
A POS supervisor is required for this action.,{0}時間前
About,{0}分前
Access,このアクションには POS スーパーバイザが必要です。
Account,について
Account is overdrawn,アクセス
Acknowledge the error to resume scanning,アカウント
Acknowledge the error to resume scanning.,口座が超過引き落とされている
Across,エラーを確認してスキャンを再開します
Action,エラーを認識してスキャンを再開します。
Actions,アクロス
Active sale,アクション
add,アクション
Add items from the selector to start building this sale.,積極的な販売
Add more value to an existing gift card,追加する
Add New Address,このセールの構築を開始するには、セレクターからアイテムを追加します。
Add new customer,既存のギフトカードにさらに価値を加える
Add on New Line,新しいアドレスを追加
Add Payment,新しい顧客を追加する
Add payment to invoice,新しい行に追加
Add/Edit Coupon Conditions,支払いの追加
Additional Discount,請求書に支払いを追加する
Additional Discount %,クーポン条件の追加/編集
Address Line 1,追加割引
Address not found,追加割引率
Adjust the quantity or enable negative stock to continue.,住所 1 行目
Adjustment,住所が見つかりません
After returns,数量を調整するか、マイナス在庫を継続できるようにしてください。
Against,調整
Against Name,返品後
Age Bracket,反対
All,名前に対して
All Caught Up!,年齢区分
All invoices are synchronized,すべて
All pending invoices are up to date,全部追いついた！
All Profiles,すべての請求書は同期されます
All Synchronized,保留中の請求書はすべて最新のものです
All visible invoices are fully settled.,すべてのプロファイル
All Warehouses,すべて同期
Allowed UOM is {0},表示されているすべての請求書は完全に決済されています。
Always fetch items from server (ignore local cache),すべての倉庫
Amount,許可される単位は {0} です
Amount already received,常にサーバーからアイテムをフェッチします (ローカル キャッシュを無視します)
Amount exceeds profile cash movement max amount.,金額
Amount must be greater than zero.,すでに受け取った金額
Amount received from customer,金額がプロファイルの現金移動の最大金額を超えています。
App information,金額はゼロより大きくなければなりません。
Appearance and user-level preferences for the current session.,お客様からいただいた金額
Applied,アプリ情報
Apply,現在のセッションの外観とユーザーレベルの設定。
Apply Gift Card,適用済み
Apply Offer,申し込む
Apply On,ギフトカードを適用する
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,オファーを適用する
Apply Redemption,適用する
Applying,この請求書には、引き換えたい金額のみを適用してください。
Apps,残りの残高はカードに残ります。
Are you sure you want to close? All entered data will be lost.,引き換えを適用する
