- Total Unallocated,- Total Unallocated
* Required,* Kötelező
{0} (Qty: {1}),{0} (mennyiség: {1})
{0} actions,{0} művelet
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,A(z) {0} terméknél csak {1} van raktáron.
{0} offline invoice{1} pending,Ön ezt kérte: {2}.
{0} offline invoice{1} saved as draft,Állítsa be a mennyiséget vagy töltse fel a készletet.
{0} offline invoice{1} synced,{0} offline számla{1} függőben
{0}: {1} {2},{0} offline számla{1} vázlatként mentve
{0}d ago,{0} offline számla{1} szinkronizálva
{0}h ago,{0}: {1} {2}
{0}m ago,{0} napja
A POS supervisor is required for this action.,{0} órája
About,{0} perce
Access,Ehhez a művelethez POS-felügyelő szükséges.
Account,Körülbelül
Account is overdrawn,Hozzáférés
Acknowledge the error to resume scanning,fiók
Acknowledge the error to resume scanning.,A számla túlterhelt
Across,A vizsgálat folytatásához nyugtázza a hibát
Action,A vizsgálat folytatásához nyugtázza a hibát.
Actions,Keresztül
Active sale,Akció
add,Akciók
Add items from the selector to start building this sale.,Aktív értékesítés
Add more value to an existing gift card,add hozzá
Add New Address,"Adjon hozzá elemeket a választóból, hogy elkezdhesse ezt az akciót."
Add new customer,Adjon hozzá több értéket egy meglévő ajándékutalványhoz
Add on New Line,Új cím hozzáadása
Add Payment,Új ügyfél hozzáadása
Add payment to invoice,Új sor hozzáadása
Add/Edit Coupon Conditions,Fizetés hozzáadása
Additional Discount,Fizetés hozzáadása a számlához
Additional Discount %,Kuponfeltételek hozzáadása/szerkesztése
Address Line 1,További kedvezmény
Address not found,További kedvezmény %
Adjust the quantity or enable negative stock to continue.,Cím 1. sora
Adjustment,A cím nem található
After returns,"Módosítsa a mennyiséget, vagy engedélyezze a negatív készlet folytatását."
Against,Beállítás
Against Name,Visszatérés után
Age Bracket,Ellen
All,Név ellen
All Caught Up!,Korhatár
All invoices are synchronized,Mind
All pending invoices are up to date,Minden felkapott!
All Profiles,Minden számla szinkronizálva van
All Synchronized,Minden függőben lévő számla naprakész
All visible invoices are fully settled.,Minden profil
All Warehouses,Minden szinkronizált
Allowed UOM is {0},Minden látható számla teljesen kiegyenlített.
Always fetch items from server (ignore local cache),Minden raktár
Amount,Az engedélyezett UOM: {0}
Amount already received,Mindig töltsön le elemeket a szerverről (a helyi gyorsítótár figyelmen kívül hagyása)
Amount exceeds profile cash movement max amount.,Összeg
Amount must be greater than zero.,Már beérkezett összeg
Amount received from customer,Az összeg meghaladja a profil készpénzmozgásának maximális összegét.
App information,Az összegnek nagyobbnak kell lennie nullánál.
Appearance and user-level preferences for the current session.,Az ügyféltől kapott összeg
Applied,Alkalmazásinformációk
Apply,Megjelenés és felhasználói szintű beállítások az aktuális munkamenethez.
Apply Gift Card,Alkalmazva
Apply Offer,Alkalmazni
Apply On,Ajándékkártya alkalmazása
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Ajánlat alkalmazása
Apply Redemption,Alkalmazás bekapcsolva
Applying,Csak a beváltani kívánt összeget alkalmazza erre a számlára.
Apps,A fennmaradó egyenleg a kártyán marad.
Are you sure you want to close? All entered data will be lost.,Alkalmazza a Megváltást
Attributes (Size/Color),Jelentkezés
Auto Allocate Payment Amount,Alkalmazások elemre
Auto Reconcile,Biztosan bezárja?
Auto reconciliation completed after payment submit.,Minden megadott adat elvész.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Tulajdonságok (méret/szín)
Available Actions,Fizetési összeg automatikus kiosztása
Available QTY,Automatikus egyeztetés
Available:,Az automatikus egyeztetés a fizetés elküldése után befejeződött.
Average Basket,Az automatikus egyeztetés befejeződött.
Average Bill,Kiosztva: {0}{1}.
Average Ticket,Fennmaradó: {0}{2}.
Avg Bill,Rendelkezésre álló műveletek
Avg Invoice,Elérhető darabszám
Avg Invoice Profit,Elérhető:
Avg Invoice Value,Átlagos kosár
Avg Purchase Frequency,Átlagos Bill
Awesome,Átlagos jegy
Awesome Dashboard,Átl. Bill
Awesome Dashboard is disabled for the selected POS Profile.,Átl. számla
Awesome Dashboard is unavailable for the selected scope.,Átl. számla nyereség
Awesome Dashboard is visible only to POS supervisors.,Átl. számlaérték
Back,Átl. vásárlási gyakoriság
Back Office Cash Account,Félelmetes
Back Office Cash Account (Optional Override),Félelmetes irányítópult
Back office cash account is required.,Az Awesome Dashboard le van tiltva a kiválasztott POS-profilnál.
Back to {0},Az Awesome Dashboard nem érhető el a kiválasztott hatókörhöz.
Background processing did not finish in time.,Az Awesome Dashboard csak a POS-felügyelők számára látható.
Background processing failed for Invoice {0}: {1},Vissza
Background Submission Failed,Back Office készpénzszámla
Background sync interval (seconds),Back Office készpénzszámla (opcionális felülírás)
Balance,Back office készpénzszámla szükséges.
Balance will be updated when connection is restored,Vissza ide: {0}
Balances still pending,A háttérfeldolgozás nem fejeződött be időben.
Barcode,A(z) {0} számla háttérfeldolgozása meghiúsult: {1}
Barcode / QR Ready,A háttérbeküldés sikertelen
Barcode Label Printing,Szinkronizálási időköz a háttérben (másodperc)
Base Paid:,Egyenleg
Base Recv:,Az egyenleg a kapcsolat helyreállásakor frissül
Base:,Az egyenlegek még függőben vannak
Basic Information,Vonalkód
Batch,Vonalkód / QR kész
Batch Information,Vonalkód címke nyomtatás
Before any return workflow,Fizetett alap:
