- Total Unallocated,- Total Unallocated
* Required,* Vyžadováno
{0} (Qty: {1}),{0} (množství: {1})
{0} actions,{0} akcí
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} má na skladě pouze {1}.
{0} offline invoice{1} pending,Požádali jste o {2}.
{0} offline invoice{1} saved as draft,Upravte množství nebo doplňte zásoby.
{0} offline invoice{1} synced,{0} faktura offline{1} čeká na vyřízení
{0}: {1} {2},{0}offline faktura{1} uložena jako koncept
{0}d ago,{0} offline faktura{1} byla synchronizována
{0}h ago,{0}: {1} {2}
{0}m ago,před {0} d
A POS supervisor is required for this action.,před {0}h
About,před {0} m
Access,Pro tuto akci je nutný supervizor POS.
Account,O
Account is overdrawn,Přístup
Acknowledge the error to resume scanning,účet
Acknowledge the error to resume scanning.,Účet je přečerpaný
Across,Potvrďte chybu a pokračujte ve skenování
Action,Potvrďte chybu a pokračujte ve skenování.
Actions,Napříč
Active sale,Akce
add,Akce
Add items from the selector to start building this sale.,Aktivní prodej
Add more value to an existing gift card,přidat
Add New Address,Přidejte položky ze selektoru a začněte vytvářet tento výprodej.
Add new customer,Přidejte další hodnotu ke stávající dárkové kartě
Add on New Line,Přidat novou adresu
Add Payment,Přidat nového zákazníka
Add payment to invoice,Přidat na nový řádek
Add/Edit Coupon Conditions,Přidat platbu
Additional Discount,Přidejte platbu na fakturu
Additional Discount %,Přidat/upravit podmínky kupónu
Address Line 1,Dodatečná sleva
Address not found,Dodatečná sleva %
Adjust the quantity or enable negative stock to continue.,Řádek adresy 1
Adjustment,Adresa nenalezena
After returns,"Upravte množství nebo povolte negativní zásoby, abyste mohli pokračovat."
Against,Úprava
Against Name,Po návratech
Age Bracket,Proti
All,Proti Jménu
All Caught Up!,Věková závorka
All invoices are synchronized,všechny
All pending invoices are up to date,Vše zachyceno!
All Profiles,Všechny faktury jsou synchronizovány
All Synchronized,Všechny nevyřízené faktury jsou aktuální
All visible invoices are fully settled.,Všechny profily
All Warehouses,Vše synchronizováno
Allowed UOM is {0},Všechny viditelné faktury jsou plně uhrazeny.
Always fetch items from server (ignore local cache),Všechny sklady
Amount,Povolená UOM je {0}
Amount already received,Vždy načítat položky ze serveru (ignorovat místní mezipaměť)
Amount exceeds profile cash movement max amount.,Částka
Amount must be greater than zero.,Částka již přijata
Amount received from customer,Částka přesahuje maximální částku pohybu hotovosti profilu.
App information,Částka musí být větší než nula.
Appearance and user-level preferences for the current session.,Částka přijatá od zákazníka
Applied,Informace o aplikaci
Apply,Předvolby vzhledu a uživatelské úrovně pro aktuální relaci.
Apply Gift Card,Aplikováno
Apply Offer,Použít
Apply On,Použít dárkovou kartu
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Použít nabídku
Apply Redemption,Použít na
Applying,"Na této faktuře použijte pouze částku, kterou chcete proplatit."
Apps,Zbývající zůstatek zůstává na kartě.
Are you sure you want to close? All entered data will be lost.,Použít vyplacení
Attributes (Size/Color),Uplatňuje se
Auto Allocate Payment Amount,Aplikace
Auto Reconcile,Opravdu chcete zavřít?
Auto reconciliation completed after payment submit.,Všechna zadaná data budou ztracena.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributy (velikost/barva)
Available Actions,Automaticky přidělit částku platby
Available QTY,Automatické sladění
Available:,Automatické odsouhlasení bylo dokončeno po odeslání platby.
Average Basket,Automatické odsouhlasení dokončeno.
Average Bill,Přiděleno: {0}{1}.
Average Ticket,Zbývající nevyřízené: {0}{2}.
Avg Bill,Dostupné akce
Avg Invoice,Dostupné množství
