- Total Unallocated,- Total Unallocated
* Required,* དགོས་མཁོ།
{0} (Qty: {1}),{0} (གྲངས་འབོར་: {1})
{0} actions,{0} བྱ་སྤྱོད།
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ལ་ {1} ལས་མེད།
{0} offline invoice{1} pending,ཁྱེད་ཀྱིས་ {2} རེ་སྐུལ་བྱས།
{0} offline invoice{1} saved as draft,གྲངས་ཚད་སྙོམ་སྒྲིག་བྱེད་པའམ་ཡང་ན་བསྐྱར་དུ་མཛོད་ཁང་།
{0} offline invoice{1} synced,{0} དྲ་རྒྱའི་ཕྱི་རོལ་གྱི་བྱུང་འཛིན་{1} སྒུག་བཞིན་ཡོད།
{0}: {1} {2},{0} དྲ་རྒྱའི་ཕྱི་རོལ་གྱི་བྱུང་འཛིན་{1} ཟིན་བྲིས་ལྟར་ཉར་ཚགས་བྱས།
{0}d ago,{0}དྲ་རྒྱའི་ཕྱི་རོལ་གྱི་བྱུང་འཛིན་{1}མཉམ་སྒྲིག་བྱས།
{0}h ago,{0}: {1} {2}
{0}m ago,{0}ཉིན་སྔོན་ལ།
A POS supervisor is required for this action.,{0}ཆུ་ཚོད་སྔོན་ལ།
About,{0}m སྔོན་ལ།
Access,བྱ་སྤྱོད་འདི་ལ་POSལྟ་རྟོག་པ་དགོས།
Account,སྐོར།
Account is overdrawn,ཐོབ་ཐང་།
Acknowledge the error to resume scanning,རྩིས་ཁྲ།
Acknowledge the error to resume scanning.,རྱིས་ཁྲ་ལས་བརྒལ་བའྱི་ཐད།
Across,བཤེར་བཤེར་སླར་གསོ་བྱེད་པར་ནོར་འཁྲུལ་ངོས་ལེན་བྱེད་པ།
Action,པར་བཤུས་བསྐྱར་དུ་འགོ་འཛུགས་པའི་ནོར་འཁྲུལ་ངོས་ལེན་བྱེད་དགོས།
Actions,ཕར་བརྒལ་ནས།
Active sale,བྱ་སྤྱོད།
add,བྱ་སྤྱོད།
Add items from the selector to start building this sale.,ཧུར་བརྩོན་གྱིས་ཚོང་འགྲེམས།
Add more value to an existing gift card,ཁ་སྣོན།
Add New Address,ཚོང་དོན་འདི་བཟོ་འགོ་ཚུགས་ཆེད་འདེམས་སྒྲུག་བྱེད་མཁན་ནས་ཅ་ལག་ཁ་སྣོན་བྱེད་དགོས།
Add new customer,ད་ཡོད་ཀྱི་ལག་རྟགས་ལ་རིན་ཐང་མང་བ་སྣོན་དགོས།
Add on New Line,ཁ་བྱང་གསར་པ་ཁ་སྣོན།
Add Payment,ཚོང་ཤག་གསར་པ་ཁ་སྣོན།
Add payment to invoice,ཐིག་གསར་པའི་ཐོག་ཁ་སྣོན་བྱེད་པ།
Add/Edit Coupon Conditions,སྤྲོད་དངུལ་ཁ་སྣོན་བྱེད་པ།
Additional Discount,བྱུང་འཛིན་ལ་དངུལ་ཁ་སྣོན་བྱེད་པ།
Additional Discount %,ཁུག་མ་ཆ་རྐྱེན་ཁ་སྣོན/རྩོམ་སྒྲིག
Address Line 1,ཁ་སྣོན་ཆག་ཡང་།
Address not found,ཁ་སྣོན་ཆག་ཡང་%
Adjust the quantity or enable negative stock to continue.,ཁ་བྱང་གྲལ་ཐིག་དང་པོ།
Adjustment,ཁ་བྱང་རྙེད་མ་སོང་།
After returns,གྲངས་ཚད་སྙོམ་སྒྲིག་བྱེད་པའམ་ཡང་ན་ལོག་པའི་རྒྱུ་ནོར་མུ་མཐུད་དུ་བྱེད་ཐུབ།
Against,སྙོམ་སྒྲིག་བྱེད་པ།
Against Name,ཕྱིར་ལོག་རྗེས།
Age Bracket,ངོ་རྒོལ།
All,མིང་ལ་ངོ་རྒོལ།
All Caught Up!,ལོ་ཚད།
All invoices are synchronized,ཚང་མ།
All pending invoices are up to date,ཚང་མ་འཛིན་བཟུང་བྱས།
All Profiles,བྱུང་འཛིན་ཚང་མ་དུས་མཉམ་དུ་བཟོས་ཡོད།
All Synchronized,བསྒུག་ཟིན་པའི་བྱུང་འཛིན་ཚང་མ་དུས་བསྟུན་ཡིན།
All visible invoices are fully settled.,ངོ་སྤྲོད་ཚང་མ།
All Warehouses,ཚང་མ་མཉམ་སྒྲིག་བྱས།
Allowed UOM is {0},མཐོང་ཐུབ་པའི་བྱུང་འཛིན་ཚང་མ་ཆ་ཚང་རྩིས་སྤྲོད་བྱས་ཟིན།
Always fetch items from server (ignore local cache),མཛོད་ཁང་ཚང་མ།
Amount,ཆོག་པའི་UOMནི་{0}ཡིན།
Amount already received,ག་དུས་ཡིན་ཡང་སར་བར་ནས་ཅ་ལག་འཁྱེར་ཤོག (ས་གནས་ཀྱི་མཛོད་ཁང་ལ་ཁ་ཡ་མི་བྱེད།)
Amount exceeds profile cash movement max amount.,དངུལ་འབོར།
Amount must be greater than zero.,ཐོབ་ཟིན་པའི་དངུལ་འབོར།
Amount received from customer,དངུལ་འབོར་དེ་དངུལ་འབབ་ཀྱི་ཆེས་མཐོའི་དངུལ་འབོར་ལས་བརྒལ་ཡོད།
App information,གྲངས་འབོར་ཀླད་ཀོར་ལས་ཆེ་བ་དགོས།
Appearance and user-level preferences for the current session.,ཚོང་ཤག་ནས་ཐོབ་པའི་དངུལ་འབོར།
Applied,མཉེན་ཆས་ཀྱི་ཆ་འཕྲིན།
Apply,མིག་སྔའི་ཚོགས་ཐུན་གྱི་ཕྱི་ཚུལ་དང་སྤྱོད་མཁན་རིམ་པའི་དགའ་མོས།
Apply Gift Card,བཀོལ་སྤྱོད་བྱས།
Apply Offer,འཇུག་པ།
Apply On,ལག་རྟགས་སྤྱོད་པ།
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,འབུལ་བ་འཇུག་པ།
Apply Redemption,ཞུ་གཏུག་བྱེད་པ།
Applying,ཁྱོད་ཀྱིས་བྱུང་འཛིན་འདིའི་སྟེང་དུ་བསྐྱར་ལེན་བྱེད་འདོད་པའི་དངུལ་འབོར་ཁོ་ན་བཀོལ་སྤྱོད་བྱེད་དགོས།
Apps,ལྷག་མ་དེ་ཤོག་བྱང་སྟེང་དུ་བསྡད་ཡོད།
Are you sure you want to close? All entered data will be lost.,བླུ་ཐབས་སྤྱོད་པ།
Attributes (Size/Color),ཞུ་གཏུག་བྱེད་པ།
Auto Allocate Payment Amount,མཉེན་ཆས།
Auto Reconcile,ཁྱེད་རང་ཁ་རྒྱག་འདོད་ཡོད་པ་ངེས་བརྟན་ཡིན་ནམ།
Auto reconciliation completed after payment submit.,ནང་འཇུག་བྱས་པའི་གཞི་གྲངས་ཚང་མ་བརླག་འགྲོ་གི་རེད།
