- Total Unallocated,- Total Unallocated
* Required,* Requerido
{0} (Qty: {1}),{0} (Cantidad: {1})
{0} actions,{0} acciones
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} solo tiene {1} en stock.
{0} offline invoice{1} pending,Solicitaste {2}.
{0} offline invoice{1} saved as draft,Ajustar cantidad o reabastecer.
{0} offline invoice{1} synced,{0} factura fuera de línea{1} pendiente
{0}: {1} {2},{0} factura sin conexión{1} guardada como borrador
{0}d ago,{0} factura sin conexión{1} sincronizada
{0}h ago,{0}: {1} {2}
{0}m ago,Hace {0} días
A POS supervisor is required for this action.,Hace {0}h
About,Hace {0}m
Access,Se requiere un supervisor de POS para esta acción.
Account,Acerca de
Account is overdrawn,Acceso
Acknowledge the error to resume scanning,cuenta
Acknowledge the error to resume scanning.,La cuenta está sobregirada
Across,Reconozca el error para reanudar el escaneo
Action,Reconozca el error para reanudar el escaneo.
Actions,al otro lado
Active sale,acción
add,Acciones
Add items from the selector to start building this sale.,Venta activa
Add more value to an existing gift card,agregar
Add New Address,Agregue artículos del selector para comenzar a construir esta venta.
Add new customer,Agregue más valor a una tarjeta de regalo existente
Add on New Line,Agregar nueva dirección
Add Payment,Agregar nuevo cliente
Add payment to invoice,Agregar en nueva línea
Add/Edit Coupon Conditions,Agregar pago
Additional Discount,Agregar pago a la factura
Additional Discount %,Agregar/editar condiciones de cupón
Address Line 1,Descuento adicional
Address not found,% de descuento adicional
Adjust the quantity or enable negative stock to continue.,Línea de dirección 1
Adjustment,Dirección no encontrada
After returns,Ajustar la cantidad o permitir que continúe el stock negativo.
Against,Ajuste
Against Name,Después de las devoluciones
Age Bracket,en contra
All,Contra nombre
All Caught Up!,Grupo de edad
All invoices are synchronized,Todos
All pending invoices are up to date,¡Todos atrapados!
All Profiles,Todas las facturas están sincronizadas.
All Synchronized,Todas las facturas pendientes están al día.
All visible invoices are fully settled.,Todos los perfiles
All Warehouses,Todo sincronizado
Allowed UOM is {0},Todas las facturas visibles están totalmente liquidadas.
Always fetch items from server (ignore local cache),Todos los almacenes
Amount,La UOM permitida es {0}
Amount already received,Obtener siempre elementos del servidor (ignorar el caché local)
Amount exceeds profile cash movement max amount.,Cantidad
Amount must be greater than zero.,Cantidad ya recibida
Amount received from customer,El monto excede el monto máximo de movimiento de efectivo del perfil.
App information,El importe debe ser mayor que cero.
Appearance and user-level preferences for the current session.,Cantidad recibida del cliente
Applied,Información de la aplicación
Apply,Preferencias de apariencia y nivel de usuario para la sesión actual.
Apply Gift Card,Aplicado
Apply Offer,Aplicar
Apply On,Aplicar tarjeta de regalo
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplicar oferta
Apply Redemption,Aplicar en
Applying,Aplica solo el monto que deseas canjear en esta factura.
Apps,El saldo restante permanece en la tarjeta.
Are you sure you want to close? All entered data will be lost.,Aplicar canje
Attributes (Size/Color),Aplicando
Auto Allocate Payment Amount,Aplicaciones
Auto Reconcile,¿Estás seguro de que quieres cerrar?
Auto reconciliation completed after payment submit.,Todos los datos ingresados ​​se perderán.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributos (Tamaño/Color)
Available Actions,Asignar automáticamente el importe del pago
Available QTY,Conciliación automática
Available:,La conciliación automática se completa después de enviar el pago.
Average Basket,Conciliación automática completada.
Average Bill,Asignado: {0}{1}.
Average Ticket,Pendientes pendientes: {0}{2}.
Avg Bill,Acciones disponibles
Avg Invoice,Cantidad disponible
Avg Invoice Profit,Disponible:
Avg Invoice Value,Canasta promedio
Avg Purchase Frequency,Factura promedio
Awesome,Boleto promedio
Awesome Dashboard,Factura promedio
Awesome Dashboard is disabled for the selected POS Profile.,Factura promedio
Awesome Dashboard is unavailable for the selected scope.,Beneficio promedio de la factura
Awesome Dashboard is visible only to POS supervisors.,Valor promedio de la factura
Back,Frecuencia de compra promedio
Back Office Cash Account,impresionante
Back Office Cash Account (Optional Override),Panel impresionante
Back office cash account is required.,Awesome Dashboard está deshabilitado para el perfil de POS seleccionado.
Back to {0},Awesome Dashboard no está disponible para el alcance seleccionado.
Background processing did not finish in time.,Awesome Dashboard es visible solo para los supervisores de POS.
Background processing failed for Invoice {0}: {1},Atrás
Background Submission Failed,Cuenta de efectivo en la oficina administrativa
Background sync interval (seconds),Cuenta de efectivo del back office (anulación opcional)
Balance,Se requiere una cuenta de efectivo en el back office.
Balance will be updated when connection is restored,Volver a {0}
Balances still pending,El procesamiento en segundo plano no finalizó a tiempo.
Barcode,Error en el procesamiento en segundo plano para la factura {0}: {1}
Barcode / QR Ready,Error en el envío de antecedentes
Barcode Label Printing,Intervalo de sincronización en segundo plano (segundos)
Base Paid:,Saldo
