- Total Unallocated,- Total Unallocated
* Required,*आवश्यक
{0} (Qty: {1}),{0} (मात्रा: {1})
{0} actions,{0} क्रियाएं
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} के पास स्टॉक में केवल {1} है।
{0} offline invoice{1} pending,आपने अनुरोध किया है {2}.
{0} offline invoice{1} saved as draft,मात्रा समायोजित करें या पुनः स्टॉक करें।
{0} offline invoice{1} synced,{0}ऑफ़लाइन चालान{1}लंबित है
{0}: {1} {2},{0}ऑफ़लाइन चालान{1} ड्राफ्ट के रूप में सहेजा गया
{0}d ago,{0} ऑफ़लाइन चालान{1} समन्वयित किया गया
{0}h ago,{0}: {1} {2}
{0}m ago,{0}दिन पहले
A POS supervisor is required for this action.,{0}घंटे पहले
About,{0}मी पहले
Access,इस कार्रवाई के लिए एक पीओएस पर्यवेक्षक की आवश्यकता है।
Account,के बारे में
Account is overdrawn,पहुंच
Acknowledge the error to resume scanning,खाता
Acknowledge the error to resume scanning.,खाता ओवरड्राउन हो गया है
Across,स्कैनिंग फिर से शुरू करने के लिए त्रुटि स्वीकार करें
Action,स्कैनिंग फिर से शुरू करने के लिए त्रुटि स्वीकार करें।
Actions,पार
Active sale,कार्रवाई
add,क्रियाएँ
Add items from the selector to start building this sale.,सक्रिय बिक्री
Add more value to an existing gift card,जोड़ें
Add New Address,इस बिक्री का निर्माण शुरू करने के लिए चयनकर्ता से आइटम जोड़ें।
Add new customer,मौजूदा उपहार कार्ड में अधिक मूल्य जोड़ें
Add on New Line,नया पता जोड़ें
Add Payment,नया ग्राहक जोड़ें
Add payment to invoice,नई लाइन पर जोड़ें
Add/Edit Coupon Conditions,भुगतान जोड़ें
Additional Discount,चालान में भुगतान जोड़ें
Additional Discount %,कूपन शर्तें जोड़ें/संपादित करें
Address Line 1,अतिरिक्त छूट
Address not found,अतिरिक्त छूट %
Adjust the quantity or enable negative stock to continue.,पता पंक्ति 1
Adjustment,पता नहीं मिला
After returns,मात्रा समायोजित करें या नकारात्मक स्टॉक को जारी रखने में सक्षम करें।
Against,समायोजन
Against Name,वापसी के बाद
Age Bracket,विरुद्ध
All,नाम के विरुद्ध
All Caught Up!,आयु वर्ग
All invoices are synchronized,सब
All pending invoices are up to date,सब पकड़े गए!
All Profiles,सभी चालान सिंक्रनाइज़ हैं
All Synchronized,सभी लंबित चालान अद्यतन हैं
All visible invoices are fully settled.,सभी प्रोफाइल
All Warehouses,सभी सिंक्रनाइज़
Allowed UOM is {0},सभी दृश्यमान चालान पूरी तरह से निपटाए गए हैं।
Always fetch items from server (ignore local cache),सभी गोदाम
Amount,अनुमत यूओएम {0} है
Amount already received,आइटम हमेशा सर्वर से प्राप्त करें (स्थानीय कैश पर ध्यान न दें)
Amount exceeds profile cash movement max amount.,रकम
Amount must be greater than zero.,राशि मिल चुकी है
Amount received from customer,राशि प्रोफ़ाइल नकदी संचलन की अधिकतम राशि से अधिक है।
App information,राशि शून्य से अधिक होनी चाहिए.
Appearance and user-level preferences for the current session.,ग्राहक से प्राप्त राशि
Applied,ऐप की जानकारी
Apply,वर्तमान सत्र के लिए उपस्थिति और उपयोगकर्ता-स्तरीय प्राथमिकताएँ।
Apply Gift Card,लागू
Apply Offer,आवेदन करें
Apply On,उपहार कार्ड लागू करें
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ऑफर लागू करें
Apply Redemption,पर आवेदन करें
Applying,इस चालान पर केवल वही राशि लागू करें जिसे आप भुनाना चाहते हैं।
Apps,शेष राशि कार्ड पर रहती है.
Are you sure you want to close? All entered data will be lost.,मोचन लागू करें
Attributes (Size/Color),आवेदन करना
Auto Allocate Payment Amount,ऐप्स
Auto Reconcile,क्या आप वाकई बंद करना चाहते हैं?
Auto reconciliation completed after payment submit.,दर्ज किया गया सारा डेटा नष्ट हो जाएगा.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,गुण (आकार/रंग)
Available Actions,भुगतान राशि स्वतः आवंटित करें
Available QTY,स्वतः समाधान
Available:,भुगतान जमा होने के बाद स्वत: समाधान पूरा हो गया।
Average Basket,स्वतः समाधान पूर्ण हुआ.
Average Bill,आवंटित: {0}{1}.
Average Ticket,शेष बकाया: {0}{2}.
Avg Bill,उपलब्ध क्रियाएँ
Avg Invoice,उपलब्ध मात्रा
Avg Invoice Profit,उपलब्ध:
Avg Invoice Value,औसत टोकरी
Avg Purchase Frequency,औसत बिल
Awesome,औसत टिकट
Awesome Dashboard,औसत बिल
Awesome Dashboard is disabled for the selected POS Profile.,औसत चालान
Awesome Dashboard is unavailable for the selected scope.,औसत चालान लाभ
Awesome Dashboard is visible only to POS supervisors.,औसत चालान मूल्य
Back,औसत खरीद आवृत्ति
Back Office Cash Account,बहुत बढ़िया
Back Office Cash Account (Optional Override),बहुत बढ़िया डैशबोर्ड
Back office cash account is required.,चयनित पीओएस प्रोफ़ाइल के लिए विस्मयकारी डैशबोर्ड अक्षम है।
Back to {0},चयनित दायरे के लिए विस्मयकारी डैशबोर्ड अनुपलब्ध है।
Background processing did not finish in time.,विस्मयकारी डैशबोर्ड केवल पीओएस पर्यवेक्षकों को दिखाई देता है।
Background processing failed for Invoice {0}: {1},वापस
Background Submission Failed,बैक ऑफिस कैश खाता
Background sync interval (seconds),बैक ऑफिस कैश अकाउंट (वैकल्पिक ओवरराइड)
Balance,बैक ऑफिस कैश खाता आवश्यक है.
Balance will be updated when connection is restored,{0} पर वापस जाएँ
Balances still pending,पृष्ठभूमि प्रसंस्करण समय पर समाप्त नहीं हुआ.
Barcode,चालान {0} के लिए पृष्ठभूमि प्रसंस्करण विफल: {1}
Barcode / QR Ready,पृष्ठभूमि सबमिशन विफल
Barcode Label Printing,पृष्ठभूमि सिंक अंतराल (सेकंड)
Base Paid:,संतुलन
Base Recv:,कनेक्शन बहाल होने पर शेष राशि अपडेट कर दी जाएगी
Base:,शेष अभी भी लंबित हैं
Basic Information,बारकोड
Batch,बारकोड/क्यूआर तैयार
