- Total Unallocated,- Total Unallocated
* Required,* ទាមទារ
{0} (Qty: {1}),{0} (ចំនួន៖ {1})
{0} actions,សកម្មភាព {0}
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} មាន​តែ {1} ក្នុង​ស្តុក។ អ្នកបានស្នើសុំ {2}។ កែតម្រូវបរិមាណ ឬស្តុកទុកឡើងវិញ។
{0} offline invoice{1} pending,{0} វិក័យប័ត្រក្រៅបណ្តាញ{1} កំពុងរង់ចាំ
{0} offline invoice{1} saved as draft,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានរក្សាទុកជាសេចក្តីព្រាង
{0} offline invoice{1} synced,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានធ្វើសមកាលកម្ម
{0}: {1} {2},{0}៖ {1} {2}
{0}d ago,{0}ថ្ងៃមុន។
{0}h ago,{0}ម៉ោងមុន។
{0}m ago,{0}នាទីមុន។
A POS supervisor is required for this action.,អ្នកត្រួតពិនិត្យម៉ាស៊ីនឆូតកាតត្រូវបានទាមទារសម្រាប់សកម្មភាពនេះ។
About,អំពី
Access,ការចូលប្រើ
Account,គណនី
Account is overdrawn,គណនីត្រូវបានដកចេញ
Acknowledge the error to resume scanning,ទទួលស្គាល់កំហុសដើម្បីបន្តការស្កេនឡើងវិញ
Acknowledge the error to resume scanning.,ទទួលស្គាល់កំហុសដើម្បីបន្តការស្កេនឡើងវិញ។
Across,ឆ្លង
Action,សកម្មភាព
Actions,សកម្មភាព
Active sale,ការលក់សកម្ម
add,បន្ថែម
Add items from the selector to start building this sale.,បន្ថែមធាតុពីឧបករណ៍ជ្រើសរើសដើម្បីចាប់ផ្តើមបង្កើតការលក់នេះ។
Add more value to an existing gift card,បន្ថែមតម្លៃបន្ថែមទៅកាតអំណោយដែលមានស្រាប់
Add New Address,បន្ថែមអាសយដ្ឋានថ្មី។
Add new customer,បន្ថែមអតិថិជនថ្មី។
Add on New Line,បន្ថែមលើបន្ទាត់ថ្មី។
Add Payment,បន្ថែមការទូទាត់
Add payment to invoice,បន្ថែមការទូទាត់ទៅវិក្កយបត្រ
Add/Edit Coupon Conditions,បន្ថែម/កែសម្រួលលក្ខខណ្ឌប័ណ្ណ
Additional Discount,ការបញ្ចុះតម្លៃបន្ថែម
Additional Discount %,ការបញ្ចុះតម្លៃបន្ថែម %
Address Line 1,ខ្សែអាស័យដ្ឋាន 1
Address not found,រកមិនឃើញអាសយដ្ឋាន
Adjust the quantity or enable negative stock to continue.,កែតម្រូវបរិមាណ ឬបើកភាគហ៊ុនអវិជ្ជមានដើម្បីបន្ត។
Adjustment,ការកែតម្រូវ
After returns,បន្ទាប់ពីត្រឡប់មកវិញ
Against,ប្រឆាំង
Against Name,ប្រឆាំងនឹងឈ្មោះ
Age Bracket,តង្កៀបអាយុ
All,ទាំងអស់។
All Caught Up!,ចាប់បានទាំងអស់!
All invoices are synchronized,វិក្កយបត្រទាំងអស់ត្រូវបានធ្វើសមកាលកម្ម
All pending invoices are up to date,វិក្កយបត្រដែលមិនទាន់សម្រេចទាំងអស់គឺទាន់សម័យ
All Profiles,ប្រវត្តិរូបទាំងអស់។
All Synchronized,ធ្វើសមកាលកម្មទាំងអស់។
All visible invoices are fully settled.,វិក្កយបត្រដែលមើលឃើញទាំងអស់ត្រូវបានទូទាត់យ៉ាងពេញលេញ។
All Warehouses,ឃ្លាំងទាំងអស់។
Allowed UOM is {0},បានអនុញ្ញាត UOM គឺ {0}
Always fetch items from server (ignore local cache),តែងតែទៅយកធាតុពីម៉ាស៊ីនមេ (មិនអើពើឃ្លាំងសម្ងាត់មូលដ្ឋាន)
Amount,ចំនួនទឹកប្រាក់
Amount already received,ចំនួនទឹកប្រាក់ដែលបានទទួលរួចហើយ
Amount exceeds profile cash movement max amount.,ចំនួនទឹកប្រាក់លើសពីចំនួនអតិបរមានៃចលនាសាច់ប្រាក់កម្រងព័ត៌មាន។
Amount must be greater than zero.,ចំនួនទឹកប្រាក់ត្រូវតែធំជាងសូន្យ។
Amount received from customer,ចំនួនទឹកប្រាក់ដែលទទួលបានពីអតិថិជន
App information,ព័ត៌មានកម្មវិធី
Appearance and user-level preferences for the current session.,រូបរាង និងចំណូលចិត្តកម្រិតអ្នកប្រើប្រាស់សម្រាប់វគ្គបច្ចុប្បន្ន។
Applied,បានអនុវត្ត
Apply,អនុវត្ត
Apply Gift Card,អនុវត្តកាតអំណោយ
Apply Offer,អនុវត្តការផ្តល់ជូន
Apply On,អនុវត្តលើ
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,អនុវត្តតែចំនួនទឹកប្រាក់ដែលអ្នកចង់ប្ដូរនៅលើវិក្កយបត្រនេះប៉ុណ្ណោះ។ សមតុល្យដែលនៅសល់គឺស្ថិតនៅក្នុងកាត។
Apply Redemption,អនុវត្តការប្រោសលោះ
Applying,កំពុងដាក់ពាក្យ
Apps,កម្មវិធី
Are you sure you want to close? All entered data will be lost.,តើអ្នកប្រាកដថាចង់បិទទេ? ទិន្នន័យដែលបានបញ្ចូលទាំងអស់នឹងត្រូវបាត់បង់។
Attributes (Size/Color),គុណលក្ខណៈ (ទំហំ/ពណ៌)
Auto Allocate Payment Amount,បែងចែកចំនួនទឹកប្រាក់ទូទាត់ដោយស្វ័យប្រវត្តិ
Auto Reconcile,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិ
Auto reconciliation completed after payment submit.,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិបានបញ្ចប់បន្ទាប់ពីការបញ្ជូនការទូទាត់។
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិបានបញ្ចប់។ បានបែងចែក៖ {0}{1}។ នៅសល់៖ {0}{2}។
Available Actions,សកម្មភាពដែលមាន
Available QTY,មាន QTY
Available:,មាន៖
Average Basket,កញ្ចប់មធ្យម
Average Bill,វិក័យប័ត្រមធ្យម
Average Ticket,សំបុត្រជាមធ្យម
Avg Bill,វិក័យប័ត្រជាមធ្យម
Avg Invoice,វិក្កយបត្រជាមធ្យម
Avg Invoice Profit,ប្រាក់ចំណេញវិក័យប័ត្រជាមធ្យម
Avg Invoice Value,តម្លៃវិក្កយបត្រជាមធ្យម
Avg Purchase Frequency,ភាពញឹកញាប់នៃការទិញជាមធ្យម
Awesome,អស្ចារ្យ
Awesome Dashboard,ផ្ទាំងគ្រប់គ្រងដ៏អស្ចារ្យ
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ត្រូវបានបិទសម្រាប់ POS Profile ដែលបានជ្រើសរើស។
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard គឺមិនមានសម្រាប់វិសាលភាពដែលបានជ្រើសរើសទេ។
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard អាចមើលឃើញតែចំពោះអ្នកត្រួតពិនិត្យម៉ាស៊ីនឆូតកាតប៉ុណ្ណោះ។
Back,ត្រឡប់មកវិញ
Back Office Cash Account,គណនីសាច់ប្រាក់ Back Office
Back Office Cash Account (Optional Override),គណនីសាច់ប្រាក់ Back Office (បដិសេធជាជម្រើស)
Back office cash account is required.,គណនីសាច់ប្រាក់ការិយាល័យខាងក្រោយត្រូវបានទាមទារ។
Back to {0},ត្រឡប់ទៅ {0}
Background processing did not finish in time.,ដំណើរការផ្ទៃខាងក្រោយមិនបានបញ្ចប់ទាន់ពេលទេ។
Background processing failed for Invoice {0}: {1},ដំណើរការផ្ទៃខាងក្រោយបានបរាជ័យសម្រាប់វិក្កយបត្រ {0}៖ {1}
Background Submission Failed,ការបញ្ជូនផ្ទៃខាងក្រោយបានបរាជ័យ
Background sync interval (seconds),ចន្លោះពេលធ្វើសមកាលកម្មផ្ទៃខាងក្រោយ (វិនាទី)
Balance,តុល្យភាព
Balance will be updated when connection is restored,សមតុល្យនឹងត្រូវបានអាប់ដេតនៅពេលដែលការតភ្ជាប់ត្រូវបានស្ដារឡើងវិញ
Balances still pending,សមតុល្យនៅតែរង់ចាំ
Barcode,បាកូដ
Barcode / QR Ready,បាកូដ / QR រួចរាល់
Barcode Label Printing,ការបោះពុម្ពស្លាកបាកូដ
Base Paid:,មូលដ្ឋានបង់ប្រាក់៖
Base Recv:,របាយការណ៍មូលដ្ឋាន៖
Base:,មូលដ្ឋាន៖
Basic Information,ព័ត៌មានមូលដ្ឋាន
Batch,បាច់
Batch Information,ព័ត៌មានបាច់
Before any return workflow,មុនពេលលំហូរការងារត្រឡប់មកវិញ
Before returns,មុនពេលត្រឡប់មកវិញ
Best Day,ថ្ងៃល្អបំផុត
Best Seller,អ្នកលក់ល្អបំផុត
Book expense or deposit from active shift.,ការចំណាយលើការកក់ ឬដាក់ប្រាក់ពីការផ្លាស់ប្តូរសកម្ម។
Branch / Location-wise Report,សាខា / របាយការណ៍ដោយប្រាជ្ញាទីតាំង
Brand-wise,ឈ្លាសវៃ
Breakdown,ការបំបែក
Browse,រុករក
Build Time:,ពេលវេលាសាងសង់៖
