- Total Unallocated,- Total Unallocated
* Required,* જરૂરી
{0} (Qty: {1}),{0} (માત્રા: {1})
{0} actions,{0} ક્રિયાઓ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} પાસે માત્ર {1} સ્ટોક છે.
{0} offline invoice{1} pending,તમે {2}ની વિનંતી કરી.
{0} offline invoice{1} saved as draft,જથ્થાને સમાયોજિત કરો અથવા રિસ્ટોક કરો.
{0} offline invoice{1} synced,{0} ઑફલાઇન ઇન્વૉઇસ{1} બાકી છે
{0}: {1} {2},{0} ઑફલાઇન ઇન્વૉઇસ{1} ડ્રાફ્ટ તરીકે સાચવ્યું
{0}d ago,{0} ઑફલાઇન ઇન્વૉઇસ{1} સમન્વયિત
{0}h ago,{0}: {1} {2}
{0}m ago,{0}દિવસ પહેલાં
A POS supervisor is required for this action.,{0}કલાક પહેલાં
About,{0}મિ. પહેલાં
Access,આ ક્રિયા માટે POS સુપરવાઈઝર જરૂરી છે.
Account,વિશે
Account is overdrawn,એક્સેસ
Acknowledge the error to resume scanning,એકાઉન્ટ
Acknowledge the error to resume scanning.,ખાતું ઓવરડ્રો થયું છે
Across,સ્કેનિંગ ફરી શરૂ કરવા માટે ભૂલને સ્વીકારો
Action,સ્કેનિંગ ફરી શરૂ કરવા માટે ભૂલને સ્વીકારો.
Actions,પાર
Active sale,ક્રિયા
add,ક્રિયાઓ
Add items from the selector to start building this sale.,સક્રિય વેચાણ
Add more value to an existing gift card,ઉમેરો
Add New Address,આ વેચાણનું નિર્માણ શરૂ કરવા માટે પસંદગીકર્તામાંથી આઇટમ ઉમેરો.
Add new customer,હાલના ભેટ કાર્ડમાં વધુ મૂલ્ય ઉમેરો
Add on New Line,નવું સરનામું ઉમેરો
Add Payment,નવા ગ્રાહક ઉમેરો
Add payment to invoice,નવી લાઇન પર ઉમેરો
Add/Edit Coupon Conditions,ચુકવણી ઉમેરો
Additional Discount,ઇન્વૉઇસમાં ચુકવણી ઉમેરો
Additional Discount %,કૂપન શરતો ઉમેરો/સંપાદિત કરો
Address Line 1,વધારાનું ડિસ્કાઉન્ટ
Address not found,વધારાનું ડિસ્કાઉન્ટ %
Adjust the quantity or enable negative stock to continue.,એડ્રેસ લાઇન 1
Adjustment,સરનામું મળ્યું નથી
After returns,જથ્થાને સમાયોજિત કરો અથવા ચાલુ રાખવા માટે નકારાત્મક સ્ટોકને સક્ષમ કરો.
Against,ગોઠવણ
Against Name,વળતર પછી
Age Bracket,સામે
All,નામ સામે
All Caught Up!,ઉંમર કૌંસ
All invoices are synchronized,બધા
All pending invoices are up to date,બધા પકડાયા!
All Profiles,બધા ઇન્વૉઇસેસ સિંક્રનાઇઝ થાય છે
All Synchronized,બધા બાકી ઇન્વૉઇસેસ અપ ટુ ડેટ છે
All visible invoices are fully settled.,બધી પ્રોફાઇલ્સ
All Warehouses,બધા સિંક્રનાઇઝ
Allowed UOM is {0},તમામ દૃશ્યમાન ઇન્વૉઇસેસ સંપૂર્ણ રીતે સેટલ થઈ ગયા છે.
Always fetch items from server (ignore local cache),બધા વેરહાઉસ
Amount,માન્ય UOM {0} છે
Amount already received,સર્વરમાંથી હંમેશા વસ્તુઓ મેળવો (સ્થાનિક કેશને અવગણો)
Amount exceeds profile cash movement max amount.,રકમ
Amount must be greater than zero.,પહેલેથી જ પ્રાપ્ત થયેલી રકમ
Amount received from customer,રકમ પ્રોફાઇલ રોકડ હિલચાલની મહત્તમ રકમ કરતાં વધી જાય છે.
App information,રકમ શૂન્ય કરતા વધારે હોવી જોઈએ.
Appearance and user-level preferences for the current session.,ગ્રાહક પાસેથી પ્રાપ્ત રકમ
Applied,એપ્લિકેશન માહિતી
Apply,વર્તમાન સત્ર માટે દેખાવ અને વપરાશકર્તા-સ્તરની પસંદગીઓ.
Apply Gift Card,લાગુ
Apply Offer,અરજી કરો
Apply On,ગિફ્ટ કાર્ડ લાગુ કરો
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ઓફર લાગુ કરો
Apply Redemption,પર અરજી કરો
Applying,આ ઇન્વૉઇસ પર તમે જે રકમ રિડીમ કરવા માંગો છો તે જ લાગુ કરો.
Apps,બાકીની રકમ કાર્ડ પર રહે છે.
Are you sure you want to close? All entered data will be lost.,રિડેમ્પશન લાગુ કરો
Attributes (Size/Color),અરજી કરી રહ્યા છે
Auto Allocate Payment Amount,એપ્સ
Auto Reconcile,શું તમે ખરેખર બંધ કરવા માંગો છો?
Auto reconciliation completed after payment submit.,દાખલ કરેલ તમામ ડેટા ખોવાઈ જશે.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,વિશેષતાઓ (કદ/રંગ)
Available Actions,આપોઆપ ચુકવણીની રકમ ફાળવો
Available QTY,સ્વતઃ સમાધાન
Available:,ચુકવણી સબમિટ કર્યા પછી સ્વતઃ સમાધાન પૂર્ણ.
Average Basket,સ્વતઃ સમાધાન પૂર્ણ થયું.
Average Bill,ફાળવેલ: {0}{1}.
Average Ticket,બાકી બાકી: {0}{2}.
Avg Bill,ઉપલબ્ધ ક્રિયાઓ
Avg Invoice,ઉપલબ્ધ QTY
Avg Invoice Profit,ઉપલબ્ધ:
Avg Invoice Value,સરેરાશ ટોપલી
Avg Purchase Frequency,સરેરાશ બિલ
Awesome,સરેરાશ ટિકિટ
Awesome Dashboard,સરેરાશ બિલ
Awesome Dashboard is disabled for the selected POS Profile.,સરેરાશ ઇન્વૉઇસ
Awesome Dashboard is unavailable for the selected scope.,સરેરાશ ઇન્વૉઇસ નફો
Awesome Dashboard is visible only to POS supervisors.,સરેરાશ ઇન્વૉઇસ મૂલ્ય
Back,સરેરાશ ખરીદી આવર્તન
Back Office Cash Account,અદ્ભુત
Back Office Cash Account (Optional Override),અદ્ભુત ડેશબોર્ડ
Back office cash account is required.,પસંદ કરેલ POS પ્રોફાઇલ માટે અદ્ભુત ડેશબોર્ડ અક્ષમ કરેલ છે.
Back to {0},પસંદ કરેલ સ્કોપ માટે અદ્ભુત ડેશબોર્ડ અનુપલબ્ધ છે.
Background processing did not finish in time.,અદ્ભુત ડેશબોર્ડ ફક્ત POS સુપરવાઇઝરને જ દૃશ્યક્ષમ છે.
Background processing failed for Invoice {0}: {1},પાછળ
Background Submission Failed,બેક ઓફિસ કેશ એકાઉન્ટ
Background sync interval (seconds),બેક ઓફિસ કેશ એકાઉન્ટ (વૈકલ્પિક ઓવરરાઇડ)
Balance,બેક ઓફિસ કેશ એકાઉન્ટ જરૂરી છે.
Balance will be updated when connection is restored,{0} પર પાછા
Balances still pending,પૃષ્ઠભૂમિ પ્રક્રિયા સમયસર પૂર્ણ થઈ નથી.
Barcode,ઇન્વોઇસ {0} માટે પૃષ્ઠભૂમિ પ્રક્રિયા નિષ્ફળ: {1}
Barcode / QR Ready,પૃષ્ઠભૂમિ સબમિશન નિષ્ફળ થયું
