- Total Unallocated,- Total Unallocated
* Required,* Nõutav
{0} (Qty: {1}),{0} (kogus: {1})
{0} actions,{0} toimingut
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} on laos ainult {1}.
{0} offline invoice{1} pending,Taotlesite {2}.
{0} offline invoice{1} saved as draft,Reguleerige kogust või lisage varusid.
{0} offline invoice{1} synced,{0} võrguühenduseta arve{1} on ootel
{0}: {1} {2},{0} võrguühenduseta arve{1} salvestati mustandina
{0}d ago,{0} võrguühenduseta arve{1} sünkroonitud
{0}h ago,{0}: {1} {2}
{0}m ago,{0} p tagasi
A POS supervisor is required for this action.,{0} h tagasi
About,{0} min tagasi
Access,Selle toimingu jaoks on vaja POS-i järelevaatajat.
Account,Umbes
Account is overdrawn,Juurdepääs
Acknowledge the error to resume scanning,konto
Acknowledge the error to resume scanning.,Konto on ülekoormatud
Across,Skannimise jätkamiseks kinnitage viga
Action,Skannimise jätkamiseks kinnitage viga.
Actions,Üle
Active sale,Tegevus
add,Tegevused
Add items from the selector to start building this sale.,Aktiivne müük
Add more value to an existing gift card,lisada
Add New Address,Selle müügi alustamiseks lisage valijast üksused.
Add new customer,Lisage olemasolevale kinkekaardile väärtust
Add on New Line,Lisa uus aadress
Add Payment,Lisa uus klient
Add payment to invoice,Lisage uus rida
Add/Edit Coupon Conditions,Lisa makse
Additional Discount,Lisa arvele makse
Additional Discount %,Lisa/redigeeri kupongi tingimusi
Address Line 1,Lisaallahindlus
Address not found,Lisaallahindlus %
Adjust the quantity or enable negative stock to continue.,1. aadressirida
Adjustment,Aadressi ei leitud
After returns,Reguleerige kogust või lubage negatiivse laoseisu jätkamine.
Against,Kohandamine
Against Name,Pärast tagastamist
Age Bracket,Vastu
All,Nime vastu
All Caught Up!,Vanuseklass
All invoices are synchronized,Kõik
All pending invoices are up to date,Kõik tabatud!
All Profiles,Kõik arved on sünkroonitud
All Synchronized,Kõik ootel arved on ajakohased
All visible invoices are fully settled.,Kõik profiilid
All Warehouses,Kõik sünkroonitud
Allowed UOM is {0},Kõik nähtavad arved on täielikult tasutud.
Always fetch items from server (ignore local cache),Kõik laod
Amount,Lubatud UOM on {0}
Amount already received,Too üksused alati serverist (eira kohalikku vahemälu)
Amount exceeds profile cash movement max amount.,Summa
Amount must be greater than zero.,Summa juba laekunud
Amount received from customer,Summa ületab profiili sularaha liikumise maksimaalset summat.
App information,Summa peab olema suurem kui null.
Appearance and user-level preferences for the current session.,Kliendilt saadud summa
Applied,Rakenduse teave
Apply,Praeguse seansi välimus ja kasutajataseme eelistused.
Apply Gift Card,Rakendatud
Apply Offer,Rakenda
Apply On,Rakenda kinkekaart
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Rakenda pakkumine
Apply Redemption,Rakenda sees
Applying,"Rakendage sellele arvele ainult summa, mille soovite lunastada."
Apps,Ülejäänud saldo jääb kaardile.
Are you sure you want to close? All entered data will be lost.,Rakenda lunastus
Attributes (Size/Color),Kandideerimine
Auto Allocate Payment Amount,Rakendused
Auto Reconcile,Kas soovite kindlasti sulgeda?
Auto reconciliation completed after payment submit.,Kõik sisestatud andmed lähevad kaotsi.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atribuudid (suurus/värv)
Available Actions,Maksesumma automaatne eraldamine
