- Total Unallocated,- Total Unallocated
* Required,* Diperlukan
{0} (Qty: {1}),{0} (Jumlah: {1})
{0} actions,{0} tindakan
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hanya memiliki stok {1}.
{0} offline invoice{1} pending,Anda meminta {2}.
{0} offline invoice{1} saved as draft,Sesuaikan kuantitas atau isi ulang.
{0} offline invoice{1} synced,{0} faktur offline{1} tertunda
{0}: {1} {2},{0} faktur offline{1} disimpan sebagai draf
{0}d ago,{0} faktur offline{1} disinkronkan
{0}h ago,{0}: {1} {2}
{0}m ago,{0}hari yang lalu
A POS supervisor is required for this action.,{0}jam yang lalu
About,{0}m yang lalu
Access,Seorang supervisor POS diperlukan untuk tindakan ini.
Account,Tentang
Account is overdrawn,Akses
Acknowledge the error to resume scanning,Akun
Acknowledge the error to resume scanning.,Akun ditarik berlebihan
Across,Akui kesalahan untuk melanjutkan pemindaian
Action,Akui kesalahan untuk melanjutkan pemindaian.
Actions,Di seberang
Active sale,Tindakan
add,Tindakan
Add items from the selector to start building this sale.,Penjualan aktif
Add more value to an existing gift card,tambahkan
Add New Address,Tambahkan item dari pemilih untuk mulai membangun penjualan ini.
Add new customer,Tambahkan nilai lebih pada kartu hadiah yang sudah ada
Add on New Line,Tambahkan Alamat Baru
Add Payment,Tambahkan pelanggan baru
Add payment to invoice,Tambahkan di Baris Baru
Add/Edit Coupon Conditions,Tambahkan Pembayaran
Additional Discount,Tambahkan pembayaran ke faktur
Additional Discount %,Tambahkan/Edit Ketentuan Kupon
Address Line 1,Diskon Tambahan
Address not found,Diskon Tambahan %
Adjust the quantity or enable negative stock to continue.,Jalur Alamat 1
Adjustment,Alamat tidak ditemukan
After returns,Sesuaikan kuantitas atau aktifkan stok negatif untuk melanjutkan.
Against,Penyesuaian
Against Name,Setelah kembali
Age Bracket,Melawan
All,Melawan Nama
All Caught Up!,Braket Usia
All invoices are synchronized,Semua
All pending invoices are up to date,Semua Tertangkap!
All Profiles,Semua faktur disinkronkan
All Synchronized,Semua faktur yang tertunda adalah yang terbaru
All visible invoices are fully settled.,Semua Profil
All Warehouses,Semua Tersinkronisasi
Allowed UOM is {0},Semua faktur yang terlihat telah diselesaikan sepenuhnya.
Always fetch items from server (ignore local cache),Semua Gudang
Amount,UOM yang diizinkan adalah {0}
Amount already received,Selalu ambil item dari server (abaikan cache lokal)
Amount exceeds profile cash movement max amount.,Jumlah
Amount must be greater than zero.,Jumlah sudah diterima
Amount received from customer,Jumlahnya melebihi jumlah maksimal pergerakan kas profil.
App information,Jumlahnya harus lebih besar dari nol.
Appearance and user-level preferences for the current session.,Jumlah yang diterima dari pelanggan
Applied,Informasi aplikasi
Apply,Penampilan dan preferensi tingkat pengguna untuk sesi saat ini.
Apply Gift Card,Diterapkan
Apply Offer,Terapkan
Apply On,Terapkan Kartu Hadiah
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Terapkan Penawaran
Apply Redemption,Terapkan Aktif
Applying,Terapkan hanya jumlah yang ingin Anda tukarkan pada invoice ini.
Apps,Sisa saldo tetap di kartu.
Are you sure you want to close? All entered data will be lost.,Terapkan Penebusan
Attributes (Size/Color),Melamar
Auto Allocate Payment Amount,Aplikasi
Auto Reconcile,Apakah Anda yakin ingin menutupnya?
Auto reconciliation completed after payment submit.,Semua data yang dimasukkan akan hilang.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atribut (Ukuran/Warna)
Available Actions,Alokasikan Jumlah Pembayaran Secara Otomatis
Available QTY,Rekonsiliasi Otomatis
Available:,Rekonsiliasi otomatis selesai setelah pembayaran dikirimkan.
Average Basket,Rekonsiliasi otomatis selesai.
Average Bill,Dialokasikan: {0}{1}.
Average Ticket,Sisa terutang: {0}{2}.
Avg Bill,Tindakan yang Tersedia
Avg Invoice,QTY yang tersedia
Avg Invoice Profit,Tersedia:
Avg Invoice Value,Keranjang Rata-Rata
Avg Purchase Frequency,Tagihan Rata-Rata
