- Total Unallocated,- Total Unallocated
* Required,* Kinakailangan
{0} (Qty: {1}),{0} (Bilang: {1})
{0} actions,{0} mga aksyon
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Ang {0} ay mayroon lamang {1} sa stock.
{0} offline invoice{1} pending,Humiling ka ng {2}.
{0} offline invoice{1} saved as draft,Ayusin ang dami o i-restock.
{0} offline invoice{1} synced,Nakabinbin ang {0} offline na invoice{1}.
{0}: {1} {2},{0} offline na invoice{1} ang na-save bilang draft
{0}d ago,Naka-sync ang {0} offline na invoice{1}.
{0}h ago,{0}: {1} {2}
{0}m ago,{0}d ang nakalipas
A POS supervisor is required for this action.,{0}h ang nakalipas
About,{0}m ang nakalipas
Access,Ang isang superbisor ng POS ay kinakailangan para sa pagkilos na ito.
Account,Tungkol sa
Account is overdrawn,Access
Acknowledge the error to resume scanning,Account
Acknowledge the error to resume scanning.,Na-overdrawn ang account
Across,Kilalanin ang error upang ipagpatuloy ang pag-scan
Action,Kilalanin ang error upang ipagpatuloy ang pag-scan.
Actions,Sa kabila
Active sale,Aksyon
add,Mga aksyon
Add items from the selector to start building this sale.,Aktibong pagbebenta
Add more value to an existing gift card,idagdag
Add New Address,Magdagdag ng mga item mula sa selector upang simulan ang pagbuo ng sale na ito.
Add new customer,Magdagdag ng higit na halaga sa isang kasalukuyang gift card
Add on New Line,Magdagdag ng Bagong Address
Add Payment,Magdagdag ng bagong customer
Add payment to invoice,Idagdag sa Bagong Linya
Add/Edit Coupon Conditions,Magdagdag ng Pagbabayad
Additional Discount,Magdagdag ng bayad sa invoice
Additional Discount %,Magdagdag/Mag-edit ng Mga Kundisyon ng Kupon
Address Line 1,Karagdagang Diskwento
Address not found,Karagdagang Diskwento %
Adjust the quantity or enable negative stock to continue.,Linya ng Address 1
Adjustment,Hindi nakita ang address
After returns,Ayusin ang dami o paganahin ang negatibong stock na magpatuloy.
Against,Pagsasaayos
Against Name,Pagkatapos ng mga pagbabalik
Age Bracket,Laban sa
All,Laban sa Pangalan
All Caught Up!,Bracket ng Edad
All invoices are synchronized,Lahat
All pending invoices are up to date,Lahat Nahuli!
All Profiles,Naka-synchronize ang lahat ng invoice
All Synchronized,Ang lahat ng mga nakabinbing invoice ay napapanahon
All visible invoices are fully settled.,Lahat ng Profile
All Warehouses,Naka-synchronize lahat
Allowed UOM is {0},Ang lahat ng nakikitang mga invoice ay ganap na naayos.
Always fetch items from server (ignore local cache),Lahat ng Warehouses
Amount,Ang pinapayagang UOM ay {0}
Amount already received,Palaging kumuha ng mga item mula sa server (balewala ang lokal na cache)
Amount exceeds profile cash movement max amount.,Halaga
Amount must be greater than zero.,Natanggap na ang halaga
Amount received from customer,Ang halaga ay lumampas sa max na halaga ng cash movement ng profile.
App information,Ang halaga ay dapat na mas malaki kaysa sa zero.
Appearance and user-level preferences for the current session.,Halaga na natanggap mula sa customer
Applied,Impormasyon ng app
Apply,Hitsura at mga kagustuhan sa antas ng user para sa kasalukuyang session.
Apply Gift Card,Inilapat
Apply Offer,Mag-apply
Apply On,Ilapat ang Gift Card
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Ilapat ang Alok
Apply Redemption,Mag-apply Sa
Applying,Ilapat lang ang halagang gusto mong i-redeem sa invoice na ito.
Apps,Ang natitirang balanse ay mananatili sa card.
Are you sure you want to close? All entered data will be lost.,Mag-apply ng Redemption
Attributes (Size/Color),Nag-aaplay
Auto Allocate Payment Amount,Mga app
Auto Reconcile,Sigurado ka bang gusto mong isara?
Auto reconciliation completed after payment submit.,Mawawala ang lahat ng ipinasok na data.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Mga Katangian (Laki/Kulay)
Available Actions,Awtomatikong Maglaan ng Halaga ng Pagbabayad
Available QTY,Auto Reconcile
Available:,Nakumpleto ang auto reconciliation pagkatapos isumite ang pagbabayad.
Average Basket,Nakumpleto ang auto reconciliation.
Average Bill,Inilaan: {0}{1}.
Average Ticket,Nananatiling natitirang: {0}{2}.
Avg Bill,Mga Magagamit na Pagkilos
Avg Invoice,Magagamit na QTY
Avg Invoice Profit,Available:
Avg Invoice Value,Karaniwang Basket
Avg Purchase Frequency,Average na Bill
Awesome,Average na Ticket
Awesome Dashboard,Avg Bill
Awesome Dashboard is disabled for the selected POS Profile.,Avg na Invoice
Awesome Dashboard is unavailable for the selected scope.,Avg na Kita ng Invoice
Awesome Dashboard is visible only to POS supervisors.,Avg na Halaga ng Invoice
Back,Avg na Dalas ng Pagbili
Back Office Cash Account,Kahanga-hanga
Back Office Cash Account (Optional Override),Kahanga-hangang Dashboard
Back office cash account is required.,Naka-disable ang Awesome Dashboard para sa napiling POS Profile.
Back to {0},Hindi available ang Kahanga-hangang Dashboard para sa napiling saklaw.
Background processing did not finish in time.,Ang Kahanga-hangang Dashboard ay makikita lamang ng mga superbisor ng POS.
Background processing failed for Invoice {0}: {1},Bumalik
Background Submission Failed,Back Office Cash Account
Background sync interval (seconds),Back Office Cash Account (Opsyonal na Pag-override)
Balance,Kinakailangan ang back office cash account.
Balance will be updated when connection is restored,Bumalik sa {0}
Balances still pending,Hindi natapos ang pagpoproseso sa background sa oras.
Barcode,Nabigo ang pagproseso sa background para sa Invoice {0}: {1}
Barcode / QR Ready,Nabigo ang Pagsusumite sa Background
Barcode Label Printing,Agwat ng pag-sync sa background (mga segundo)
Base Paid:,Balanse
Base Recv:,Maa-update ang balanse kapag naibalik ang koneksyon
Base:,Nakabinbin pa rin ang mga balanse
Basic Information,Barcode
Batch,Handa na ang Barcode / QR
Batch Information,Pag-print ng Barcode Label
Before any return workflow,Base Bayad:
Before returns,Base Recv:
Best Day,Base:
Best Seller,Pangunahing Impormasyon
Book expense or deposit from active shift.,Batch
Branch / Location-wise Report,Impormasyon sa Batch
Brand-wise,Bago ang anumang return workflow
Breakdown,Bago bumalik
Browse,Pinakamahusay na Araw
Build Time:,Pinakamabenta
Built with Frappe,Gastos sa libro o deposito mula sa aktibong shift.
Bundle,Ulat sa Sangay / Lokasyon
Buying Price,Brand-wise
Cache cleared successfully,Pagkasira
Cache Usage,Mag-browse
cache used,Oras ng Pagbuo:
Calculating...,Itinayo gamit ang Frappe
Camera Access Required,Bundle
Camera access was aborted. Please try again.,Presyo ng Pagbili
Camera constraints not supported by your device. Trying fallback settings...,Matagumpay na na-clear ang cache
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Paggamit ng Cache
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ginamit na cache
Camera scanner is locked until the current error is acknowledged,Kinakalkula...
Camera started but the video stream did not load in time. Please try again.,Kinakailangan ang Pag-access sa Camera
Cancel,Na-abort ang access sa camera.
Cancel cash movement {0}?,Pakisubukang muli.
Cancel Payment,Hindi sinusuportahan ng iyong device ang mga hadlang sa camera.
Cancel Sale,Sinusubukan ang mga setting ng fallback...
Cancel Sale ?,Ang camera ay abala o na-block ng isa pang app/tab.
Cancelled,Isara ang iba pang camera app at subukang muli.
Cannot add an item with zero or negative quantity.,Tinanggihan ang pahintulot sa camera.
Cannot clear cache while offline,Mangyaring payagan ang pag-access ng camera sa mga setting ng iyong browser at i-refresh ang pahina.
Cannot redeem customer credit more than invoice total,Ang camera scanner ay naka-lock hanggang sa ang kasalukuyang error ay kilalanin
Cannot redeem gift cards more than invoice total,Nagsimula ang camera ngunit hindi nag-load ang video stream sa oras.
Cannot Save Offline Invoice:,Pakisubukang muli.
Cannot Save Offline Payment:,Kanselahin
Card,Kanselahin ang paggalaw ng pera {0}?
Card / Online,Kanselahin ang Pagbabayad
Card health after the last live lookup,Kanselahin ang Sale
Cards,Kanselahin ang Sale ?
Cart,Kinansela
Cash,Hindi maaaring magdagdag ng item na may zero o negatibong dami.
