- Total Unallocated,- Total Unallocated
* Required,* Vereis
{0} (Qty: {1}),{0} (Aantal: {1})
{0} actions,{0} handelinge
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} het slegs {1} in voorraad.
{0} offline invoice{1} pending,Jy het {2} versoek.
{0} offline invoice{1} saved as draft,Pas hoeveelheid aan of hervoorraad.
{0} offline invoice{1} synced,{0} vanlyn faktuur{1} hangende
{0}: {1} {2},{0} vanlyn faktuur{1} is as konsep gestoor
{0}d ago,{0} vanlyn faktuur{1} gesinkroniseer
{0}h ago,{0}: {1} {2}
{0}m ago,{0}d gelede
A POS supervisor is required for this action.,{0}h gelede
About,{0}m gelede
Access,'n POS-toesighouer word benodig vir hierdie aksie.
Account,Oor
Account is overdrawn,Toegang
Acknowledge the error to resume scanning,Rekening
Acknowledge the error to resume scanning.,Rekening is oortrokke
Across,Erken die fout om skandering te hervat
Action,Erken die fout om skandering te hervat.
Actions,Oorkant
Active sale,Aksie
add,Aksies
Add items from the selector to start building this sale.,Aktiewe uitverkoping
Add more value to an existing gift card,byvoeg
Add New Address,Voeg items van die keurder by om hierdie uitverkoping te begin bou.
Add new customer,Voeg meer waarde by 'n bestaande geskenkbewys
Add on New Line,Voeg nuwe adres by
Add Payment,Voeg nuwe kliënt by
Add payment to invoice,Voeg by nuwe lyn
Add/Edit Coupon Conditions,Voeg betaling by
Additional Discount,Voeg betaling by faktuur
Additional Discount %,Voeg by/wysig koeponvoorwaardes
Address Line 1,Bykomende afslag
Address not found,Bykomende afslag %
Adjust the quantity or enable negative stock to continue.,Adresreël 1
Adjustment,Adres nie gevind nie
After returns,Pas die hoeveelheid aan of stel negatiewe voorraad in staat om voort te gaan.
Against,Aanpassing
Against Name,Na terugkeer
Age Bracket,Teen
All,Teen Naam
All Caught Up!,Ouderdomsgroep
All invoices are synchronized,Almal
All pending invoices are up to date,Almal vasgevang!
All Profiles,Alle fakture word gesinchroniseer
All Synchronized,Alle hangende fakture is op datum
All visible invoices are fully settled.,Alle profiele
All Warehouses,Alles gesinchroniseer
Allowed UOM is {0},Alle sigbare fakture is ten volle vereffen.
Always fetch items from server (ignore local cache),Alle pakhuise
Amount,Toegelate UOM is {0}
Amount already received,Haal altyd items van bediener af (ignoreer plaaslike kas)
Amount exceeds profile cash movement max amount.,Bedrag
Amount must be greater than zero.,Bedrag reeds ontvang
