- Total Unallocated,- Total Unallocated
* Required,*חובה
{0} (Qty: {1}),{0} (כמות: {1})
{0} actions,{0} פעולות
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,ל-{0} יש רק {1} במלאי.
{0} offline invoice{1} pending,ביקשת {2}.
{0} offline invoice{1} saved as draft,התאם כמות או מלאי מחדש.
{0} offline invoice{1} synced,{0} חשבונית לא מקוונת{1} בהמתנה
{0}: {1} {2},{0} חשבונית לא מקוונת{1} נשמרה כטיוטה
{0}d ago,{0} חשבונית לא מקוונת{1} מסונכרנת
{0}h ago,{0}: {1} {2}
{0}m ago,לפני {0} ימים
A POS supervisor is required for this action.,לפני {0} שעות
About,לפני {0}מ'
Access,נדרש מפקח קופה לפעולה זו.
Account,בערך
Account is overdrawn,גישה
Acknowledge the error to resume scanning,חשבון
Acknowledge the error to resume scanning.,יש משיכת יתר בחשבון
Across,אשר את השגיאה כדי לחדש את הסריקה
Action,אשר את השגיאה כדי לחדש את הסריקה.
Actions,ממול
Active sale,פעולה
add,פעולות
Add items from the selector to start building this sale.,מכירה פעילה
Add more value to an existing gift card,להוסיף
Add New Address,הוסף פריטים מהבורר כדי להתחיל לבנות את המכירה הזו.
Add new customer,הוסף ערך רב יותר לכרטיס מתנה קיים
Add on New Line,הוסף כתובת חדשה
Add Payment,הוסף לקוח חדש
Add payment to invoice,הוסף בשורה חדשה
Add/Edit Coupon Conditions,הוסף תשלום
Additional Discount,הוסף תשלום לחשבונית
Additional Discount %,הוסף/ערוך תנאי קופון
Address Line 1,הנחה נוספת
Address not found,% הנחה נוספת
Adjust the quantity or enable negative stock to continue.,שורת כתובת 1
Adjustment,הכתובת לא נמצאה
After returns,התאם את הכמות או אפשר את המשך המלאי השלילי.
Against,התאמה
Against Name,אחרי החזרות
Age Bracket,נגד
All,נגד השם
All Caught Up!,שכבת גיל
All invoices are synchronized,הכל
All pending invoices are up to date,הכל נתפס!
All Profiles,כל החשבוניות מסונכרנות
All Synchronized,כל החשבוניות הממתינות מעודכנות
All visible invoices are fully settled.,כל הפרופילים
All Warehouses,הכל מסונכרן
Allowed UOM is {0},כל החשבוניות הגלויות מסולקות במלואן.
Always fetch items from server (ignore local cache),כל המחסנים
Amount,UOM מותר הוא {0}
Amount already received,אחזר תמיד פריטים מהשרת (התעלם מהמטמון המקומי)
Amount exceeds profile cash movement max amount.,כמות
Amount must be greater than zero.,הסכום כבר התקבל
Amount received from customer,הסכום חורג מהסכום המקסימלי לתנועת מזומנים בפרופיל.
App information,הסכום חייב להיות גדול מאפס.
Appearance and user-level preferences for the current session.,סכום שהתקבל מהלקוח
Applied,מידע על האפליקציה
Apply,מראה והעדפות ברמת המשתמש עבור ההפעלה הנוכחית.
Apply Gift Card,הוחל
Apply Offer,החל
Apply On,החל כרטיס מתנה
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,החל את ההצעה
Apply Redemption,החל ב-
Applying,החל רק את הסכום שברצונך לפדות על חשבונית זו.
Apps,היתרה נשארת בכרטיס.
Are you sure you want to close? All entered data will be lost.,החל פדיון
Attributes (Size/Color),מגיש בקשה
Auto Allocate Payment Amount,אפליקציות
