- Total Unallocated,- Total Unallocated
* Required,* Pakollinen
{0} (Qty: {1}),{0} (määrä: {1})
{0} actions,{0} toimintoa
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} on vain {1} varastossa.
{0} offline invoice{1} pending,Pyysit {2}.
{0} offline invoice{1} saved as draft,Säädä määrää tai lisää varastoja.
{0} offline invoice{1} synced,{0} offline-lasku{1} odottaa
{0}: {1} {2},{0} offline-lasku{1} tallennettu luonnoksena
{0}d ago,{0} offline-lasku{1} synkronoitu
{0}h ago,{0}: {1} {2}
{0}m ago,{0} p sitten
A POS supervisor is required for this action.,{0} h sitten
About,{0} min sitten
Access,Tätä toimintoa varten tarvitaan POS-valvoja.
Account,Tietoja
Account is overdrawn,Pääsy
Acknowledge the error to resume scanning,Tili
Acknowledge the error to resume scanning.,Tili on ylitäytetty
Across,Jatka skannausta kuittaamalla virhe
Action,Jatka skannausta kuittaamalla virhe.
Actions,Poikki
Active sale,Toiminta
add,Toiminnot
Add items from the selector to start building this sale.,Aktiivinen myynti
Add more value to an existing gift card,lisää
Add New Address,Lisää kohteita valitsimesta aloittaaksesi tämän myynnin.
Add new customer,Lisää arvoa olemassa olevaan lahjakorttiin
Add on New Line,Lisää uusi osoite
Add Payment,Lisää uusi asiakas
Add payment to invoice,Lisää uuteen riviin
Add/Edit Coupon Conditions,Lisää maksu
Additional Discount,Lisää maksu laskuun
Additional Discount %,Lisää/muokkaa kuponkien ehtoja
Address Line 1,Lisäalennus
Address not found,Lisäalennus %
Adjust the quantity or enable negative stock to continue.,Osoiterivi 1
Adjustment,Osoitetta ei löydy
After returns,Säädä määrää tai salli negatiivinen varasto jatkaa.
Against,Säätö
Against Name,Palauksien jälkeen
Age Bracket,vastaan
All,Nimeä vastaan
All Caught Up!,Ikäraja
All invoices are synchronized,Kaikki
All pending invoices are up to date,Kaikki kiinni!
All Profiles,Kaikki laskut synkronoidaan
All Synchronized,Kaikki odottavat laskut ovat ajan tasalla
All visible invoices are fully settled.,Kaikki profiilit
All Warehouses,Kaikki synkronoitu
Allowed UOM is {0},Kaikki näkyvät laskut ovat täysin maksettuja.
Always fetch items from server (ignore local cache),Kaikki varastot
Amount,Sallittu UOM on {0}
Amount already received,Hae aina kohteet palvelimelta (ohita paikallinen välimuisti)
Amount exceeds profile cash movement max amount.,Summa
Amount must be greater than zero.,Summa jo saatu
Amount received from customer,Summa ylittää profiilin kassaliikkeen enimmäissumman.
App information,Summan on oltava suurempi kuin nolla.
