- Total Unallocated,- Total Unallocated
* Required,* Bezonata
{0} (Qty: {1}),{0} (Kvanto: {1})
{0} actions,{0} agoj
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} havas nur {1} en stoko.
{0} offline invoice{1} pending,Vi petis {2}.
{0} offline invoice{1} saved as draft,Alĝustigu kvanton aŭ reprovizi.
{0} offline invoice{1} synced,{0} eksterreta fakturo{1} pritraktata
{0}: {1} {2},{0} eksterreta fakturo{1} konservita kiel skizo
{0}d ago,{0} eksterreta fakturo{1} sinkronigita
{0}h ago,{0}: {1} {2}
{0}m ago,antaŭ {0}d
A POS supervisor is required for this action.,antaŭ {0}h
About,antaŭ {0}m
Access,Por ĉi tiu ago necesas POS-kontrolisto.
Account,Pri
Account is overdrawn,Aliro
Acknowledge the error to resume scanning,Konto
Acknowledge the error to resume scanning.,Konto estas trostreĉita
Across,Agnosku la eraron por rekomenci skanadon
Action,Agnosku la eraron por rekomenci skanadon.
Actions,Transe
Active sale,Ago
add,Agoj
Add items from the selector to start building this sale.,Aktiva vendo
Add more value to an existing gift card,aldoni
Add New Address,Aldonu erojn de la elektilo por komenci konstrui ĉi tiun vendon.
Add new customer,Aldonu pli da valoro al ekzistanta donackarto
Add on New Line,Aldonu Novan Adreson
Add Payment,Aldonu novan klienton
Add payment to invoice,Aldonu sur Nova Linio
Add/Edit Coupon Conditions,Aldonu Pagon
Additional Discount,Aldonu pagon al fakturo
Additional Discount %,Aldoni/Redakti Kuponajn Kondiĉojn
Address Line 1,Plia Rabato
Address not found,Plia Rabato%
Adjust the quantity or enable negative stock to continue.,Adreslinio 1
Adjustment,Adreso ne trovita
After returns,Alĝustigu la kvanton aŭ ebligu la negativan stokon daŭri.
Against,Alĝustigo
Against Name,Post revenoj
Age Bracket,Kontraŭ
All,Kontraŭ Nomo
All Caught Up!,Aĝa Krampo
All invoices are synchronized,Ĉiuj
All pending invoices are up to date,Ĉiuj Kaptitaj!
All Profiles,Ĉiuj fakturoj estas sinkronigitaj
All Synchronized,Ĉiuj pritraktataj fakturoj estas ĝisdatigitaj
All visible invoices are fully settled.,Ĉiuj Profiloj
All Warehouses,Ĉiuj Sinkronigitaj
Allowed UOM is {0},Ĉiuj videblaj fakturoj estas plene pagitaj.
Always fetch items from server (ignore local cache),Ĉiuj Stokejoj
Amount,Permesita UOM estas {0}
Amount already received,Ĉiam alportu erojn de servilo (ignoru lokan kaŝmemoron)
Amount exceeds profile cash movement max amount.,Kvanto
Amount must be greater than zero.,Sumo jam ricevita
Amount received from customer,Kvanto superas profilon kontantmovado maksimuma kvanto.
App information,Kvanto devas esti pli granda ol nulo.
Appearance and user-level preferences for the current session.,Kvanto ricevita de kliento
Applied,Informoj pri aplikaĵo
Apply,Aspekto kaj uzantnivelaj preferoj por la nuna sesio.
Apply Gift Card,Aplikita
Apply Offer,Apliki
Apply On,Apliki Donacan Karton
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Apliki Oferto
Apply Redemption,Apliki On
Applying,"Apliku nur la kvanton, kiun vi volas elaĉeti sur ĉi tiu fakturo."
Apps,La restanta saldo restas sur la karto.
Are you sure you want to close? All entered data will be lost.,Apliki Redemption
Attributes (Size/Color),Aplikante
Auto Allocate Payment Amount,Aplikoj
Auto Reconcile,"Ĉu vi certas, ke vi volas fermi?"
Auto reconciliation completed after payment submit.,Ĉiuj enigitaj datumoj estos perditaj.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributoj (Grandeco/Koloro)
Available Actions,Aŭtomate Asigni Pagan Kvanton
Available QTY,Aŭtomata Repaciĝo
Available:,Aŭtomata repaciĝo finiĝis post pago sendado.
Average Basket,Aŭtomata repaciĝo finiĝis.
Average Bill,Asignita: {0}{1}.
Average Ticket,Restantaj elstaraj: {0}{2}.
Avg Bill,Disponeblaj Agoj
Avg Invoice,Disponebla Kvanto
Avg Invoice Profit,Disponebla:
Avg Invoice Value,Meza Korbo
Avg Purchase Frequency,Averaĝa Bill
Awesome,Meza Bileto
Awesome Dashboard,Meze Bill
Awesome Dashboard is disabled for the selected POS Profile.,Meza Fakturo
Awesome Dashboard is unavailable for the selected scope.,Meza Faktura Profito
Awesome Dashboard is visible only to POS supervisors.,Mezvaloro de fakturo
Back,Meza Aĉeta Ofteco
Back Office Cash Account,Mirinda
Back Office Cash Account (Optional Override),Mirinda Instrumentpanelo
Back office cash account is required.,Awesome Dashboard estas malŝaltita por la elektita POS-Profilo.
Back to {0},Awesome Dashboard ne disponeblas por la elektita amplekso.
