- Total Unallocated,- Total Unallocated
* Required,* Nauðsynlegt
{0} (Qty: {1}),{0} (Magn: {1})
{0} actions,{0} aðgerðir
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} er aðeins með {1} á lager.
{0} offline invoice{1} pending,Þú baðst um {2}.
{0} offline invoice{1} saved as draft,Stilltu magn eða endurnýjaðu birgðir.
{0} offline invoice{1} synced,{0} ónettengdur reikningur{1} í bið
{0}: {1} {2},{0} ónettengdur reikningur{1} vistaður sem drög
{0}d ago,{0} ónettengdur reikningur{1} samstilltur
{0}h ago,{0}: {1} {2}
{0}m ago,fyrir {0}d
A POS supervisor is required for this action.,{0}klst. síðan
About,Fyrir {0}m. síðan
Access,Nauðsynlegt er að vera umsjónarmaður POS fyrir þessa aðgerð.
Account,Um
Account is overdrawn,Aðgangur
Acknowledge the error to resume scanning,Reikningur
Acknowledge the error to resume scanning.,Reikningur er yfirdreginn
Across,Viðurkenndu villuna til að halda áfram að skanna
Action,Viðurkenndu villuna til að halda áfram að skanna.
Actions,Þvert yfir
Active sale,Aðgerð
add,Aðgerðir
Add items from the selector to start building this sale.,Virk sala
Add more value to an existing gift card,bæta við
Add New Address,Bættu við hlutum úr veljaranum til að byrja að byggja upp þessa sölu.
Add new customer,Bættu meira gildi við núverandi gjafakort
Add on New Line,Bæta við nýju heimilisfangi
Add Payment,Bæta við nýjum viðskiptavinum
Add payment to invoice,Bæta við nýrri línu
Add/Edit Coupon Conditions,Bæta við greiðslu
Additional Discount,Bættu greiðslu við reikning
Additional Discount %,Bæta við/breyta afsláttarmiðaskilmálum
Address Line 1,Auka afsláttur
Address not found,Auka afsláttur %
Adjust the quantity or enable negative stock to continue.,Heimilisfangslína 1
Adjustment,Heimilisfang fannst ekki
After returns,Stilltu magnið eða gerðu neikvæða birgðir til að halda áfram.
Against,Aðlögun
Against Name,Eftir skil
Age Bracket,Á móti
All,Á móti nafni
All Caught Up!,Aldursflokkur
All invoices are synchronized,Allt
All pending invoices are up to date,Allt týnt!
All Profiles,Allir reikningar eru samstilltir
All Synchronized,Allir óafgreiddir reikningar eru uppfærðir
All visible invoices are fully settled.,Öll snið
All Warehouses,Allt samstillt
Allowed UOM is {0},Allir sýnilegir reikningar eru að fullu uppgerðir.
Always fetch items from server (ignore local cache),Öll vöruhús
Amount,Leyfilegt UOM er {0}
Amount already received,Sæktu alltaf hluti af þjóninum (hundsa staðbundið skyndiminni)
Amount exceeds profile cash movement max amount.,Upphæð
Amount must be greater than zero.,Upphæð þegar móttekin
Amount received from customer,Upphæð fer yfir hámarksupphæð peningahreyfingar prófíls.
App information,Upphæð verður að vera hærri en núll.
Appearance and user-level preferences for the current session.,Upphæð móttekin frá viðskiptavini
Applied,Upplýsingar um forrit
Apply,Útlit og kjörstillingar á notendastigi fyrir núverandi lotu.
Apply Gift Card,Beitt
Apply Offer,Sækja um
Apply On,Sækja um gjafakort
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Sækja tilboð
Apply Redemption,Sækja um á
Applying,Notaðu aðeins upphæðina sem þú vilt innleysa á þessum reikningi.
Apps,Eftirstöðvarnar verða áfram á kortinu.
Are you sure you want to close? All entered data will be lost.,Sækja um innlausn
Attributes (Size/Color),Að sækja um
Auto Allocate Payment Amount,Forrit
Auto Reconcile,Ertu viss um að þú viljir loka?
Auto reconciliation completed after payment submit.,Öll innslögð gögn glatast.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Eiginleikar (stærð/litur)
Available Actions,Úthluta sjálfkrafa greiðsluupphæð
Available QTY,Sjálfvirk afstemming
Available:,Sjálfvirk afstemming lokið eftir að greiðslu hefur verið skilað.
Average Basket,Sjálfvirk afstemmingu lokið.
Average Bill,Úthlutað: {0}{1}.
Average Ticket,Eftirstöðvar: {0}{2}.
Avg Bill,Tiltækar aðgerðir
Avg Invoice,Fáanlegt magn
Avg Invoice Profit,Í boði:
Avg Invoice Value,Meðalkarfa
Avg Purchase Frequency,Meðalreikningur
Awesome,Meðalmiði
Awesome Dashboard,Meðalreikningur
Awesome Dashboard is disabled for the selected POS Profile.,Meðalreikningur
Awesome Dashboard is unavailable for the selected scope.,Meðalhagnaður reiknings
Awesome Dashboard is visible only to POS supervisors.,Meðalverðmæti reiknings
Back,Meðalkaupatíðni
Back Office Cash Account,Æðislegt
Back Office Cash Account (Optional Override),Æðislegt mælaborð
Back office cash account is required.,Óvirkt mælaborð er óvirkt fyrir valinn POS prófíl.
Back to {0},Frábært mælaborð er ekki tiltækt fyrir valið umfang.
Background processing did not finish in time.,Æðislegt mælaborð er aðeins sýnilegt fyrir umsjónarmenn POS.
Background processing failed for Invoice {0}: {1},Til baka
Background Submission Failed,Back Office reiðufé reikningur
Background sync interval (seconds),Back Office reiðufé reikningur (valfrjáls hnekking)
Balance,Bankareikningur er nauðsynlegur.
Balance will be updated when connection is restored,Til baka í {0}
Balances still pending,Bakgrunnsvinnslu lauk ekki í tæka tíð.
Barcode,Bakgrunnsvinnsla mistókst fyrir reikning {0}: {1}
Barcode / QR Ready,Bakgrunnssending mistókst
Barcode Label Printing,Samstillingarbil í bakgrunni (sekúndur)
Base Paid:,Jafnvægi
Base Recv:,Staðan verður uppfærð þegar tenging er endurheimt
Base:,Eftirstöðvar enn í bið
Basic Information,Strikamerki
Batch,Strikamerki / QR tilbúið
Batch Information,Strikamerkisprentun
Before any return workflow,Grunngreitt:
Before returns,Base Recv:
Best Day,Grunnur:
Best Seller,Grunnupplýsingar
Book expense or deposit from active shift.,Hópur
Branch / Location-wise Report,Lotuupplýsingar
Brand-wise,Áður en verkflæði til baka kemur
Breakdown,Áður en skilar
Browse,Besti dagur
Build Time:,Best Seljandi
Built with Frappe,Bókaðu kostnað eða innborgun frá virkri vakt.
Bundle,Skýrsla greinar / staðsetningar
Buying Price,Vörumerkislega séð
Cache cleared successfully,Sundurliðun
Cache Usage,Skoðaðu
cache used,Byggingartími:
Calculating...,Byggt með Frappe
Camera Access Required,Knippi
Camera access was aborted. Please try again.,Kaupverð
Camera constraints not supported by your device. Trying fallback settings...,Skyndiminni var hreinsað
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Skyndiminni notkun
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,skyndiminni notað
Camera scanner is locked until the current error is acknowledged,Er að reikna...
Camera started but the video stream did not load in time. Please try again.,Aðgangur að myndavél áskilinn
Cancel,Aðgangi að myndavél var hætt.
