- Total Unallocated,- Total Unallocated
* Required,* Obavezno
{0} (Qty: {1}),{0} (Količina: {1})
{0} actions,{0} radnji
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ima samo {1} na zalihama.
{0} offline invoice{1} pending,Zatražili ste {2}.
{0} offline invoice{1} saved as draft,Podesite količinu ili popunite zalihe.
{0} offline invoice{1} synced,{0} vanmrežna faktura{1} na čekanju
{0}: {1} {2},{0} vanmrežna faktura{1} sačuvana kao nacrt
{0}d ago,{0} vanmrežna faktura{1} sinhronizirana
{0}h ago,{0}: {1} {2}
{0}m ago,prije {0}d
A POS supervisor is required for this action.,prije {0}h
About,prije {0}m
Access,Za ovu radnju potreban je POS supervizor.
Account,O
Account is overdrawn,Pristup
Acknowledge the error to resume scanning,Račun
Acknowledge the error to resume scanning.,Račun je prekoračen
Across,Potvrdite grešku da biste nastavili skeniranje
Action,Potvrdite grešku da biste nastavili skeniranje.
Actions,Preko puta
Active sale,Akcija
add,Akcije
Add items from the selector to start building this sale.,Aktivna prodaja
Add more value to an existing gift card,add
Add New Address,Dodajte stavke iz selektora da započnete graditi ovu rasprodaju.
Add new customer,Dodajte veću vrijednost postojećoj poklon kartici
Add on New Line,Dodaj novu adresu
Add Payment,Dodajte novog kupca
Add payment to invoice,Dodaj na novu liniju
Add/Edit Coupon Conditions,Dodaj plaćanje
Additional Discount,Dodajte uplatu na fakturu
Additional Discount %,Dodaj/uredi uslove kupona
Address Line 1,Dodatni popust
Address not found,Dodatni popust %
Adjust the quantity or enable negative stock to continue.,Adresni red 1
Adjustment,Adresa nije pronađena
After returns,Podesite količinu ili omogućite negativnu zalihu da se nastavi.
Against,Podešavanje
Against Name,Nakon povratka
Age Bracket,Protiv
All,Protiv imena
All Caught Up!,Age Bracket
All invoices are synchronized,Sve
All pending invoices are up to date,All Caught Up!
All Profiles,Sve fakture su sinhronizovane
All Synchronized,Sve fakture na čekanju su ažurirane
All visible invoices are fully settled.,Svi profili
All Warehouses,All Synchronized
Allowed UOM is {0},Svi vidljivi računi su u potpunosti izmireni.
Always fetch items from server (ignore local cache),Sva skladišta
Amount,Dozvoljeni UOM je {0}
Amount already received,Uvijek preuzimaj stavke sa servera (ignoriraj lokalnu predmemoriju)
Amount exceeds profile cash movement max amount.,Iznos
Amount must be greater than zero.,Iznos je već primljen
Amount received from customer,Iznos premašuje maksimalan iznos kretanja gotovine profila.
App information,Iznos mora biti veći od nule.
Appearance and user-level preferences for the current session.,Iznos primljen od kupca
Applied,Informacije o aplikaciji
Apply,Izgled i postavke na nivou korisnika za trenutnu sesiju.
Apply Gift Card,Primijenjeno
Apply Offer,Prijavite se
Apply On,Primijenite poklon karticu
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Primijeni ponudu
Apply Redemption,Apply On
Applying,Primijenite samo iznos koji želite unovčiti na ovoj fakturi.
Apps,Preostali iznos ostaje na kartici.
Are you sure you want to close? All entered data will be lost.,Primijeni otkup
Attributes (Size/Color),Primjena
Auto Allocate Payment Amount,Apps
Auto Reconcile,Jeste li sigurni da želite zatvoriti?
Auto reconciliation completed after payment submit.,Svi uneseni podaci će biti izgubljeni.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Atributi (veličina/boja)
Available Actions,Automatska dodjela iznosa plaćanja
Available QTY,Auto Reconcile
Available:,Automatsko usaglašavanje je završeno nakon uplate.
Average Basket,Automatsko pomirenje je završeno.
Average Bill,Dodijeljeno: {0}{1}.
Average Ticket,Preostalo neriješeno: {0}{2}.
Avg Bill,Dostupne radnje
Avg Invoice,Dostupan KOL
Avg Invoice Profit,Dostupan:
Avg Invoice Value,Prosječna košarica
Avg Purchase Frequency,Average Bill
Awesome,Average Ticket
Awesome Dashboard,Avg Bill
Awesome Dashboard is disabled for the selected POS Profile.,Avg Invoice
Awesome Dashboard is unavailable for the selected scope.,Prosj. profit na fakturi
Awesome Dashboard is visible only to POS supervisors.,Prosječna vrijednost fakture
Back,Prosječna učestalost kupovine
Back Office Cash Account,Sjajno
Back Office Cash Account (Optional Override),Awesome Dashboard
Back office cash account is required.,Awesome Dashboard je onemogućen za odabrani POS profil.
Back to {0},Awesome Dashboard nije dostupan za odabrani opseg.
Background processing did not finish in time.,Sjajna kontrolna tabla vidljiva je samo supervizorima POS-a.
Background processing failed for Invoice {0}: {1},Nazad
Background Submission Failed,Back Office gotovinski račun
Background sync interval (seconds),gotovinski račun za back Office (opciono zamjena)
Balance,Potreban je gotovinski račun za back office.
Balance will be updated when connection is restored,Natrag na {0}
Balances still pending,Pozadinska obrada nije završena na vrijeme.
Barcode,Pozadinska obrada nije uspjela za fakturu {0}: {1}
Barcode / QR Ready,Slanje u pozadini nije uspjelo
Barcode Label Printing,Interval sinhronizacije u pozadini (sekunde)
Base Paid:,Balans
Base Recv:,Stanje će biti ažurirano kada se veza uspostavi
Base:,Stanja još uvijek na čekanju
Basic Information,Barkod
Batch,Barkod / QR Ready
Batch Information,Štampanje barkod etiketa
Before any return workflow,Plaćeno osnovno:
Before returns,Base Recv:
Best Day,baza:
Best Seller,Osnovne informacije
Book expense or deposit from active shift.,Batch
Branch / Location-wise Report,Informacije o seriji
Brand-wise,Prije bilo kakvog povratnog toka posla
Breakdown,Prije povratka
Browse,Najbolji dan
Build Time:,Best Seller
Built with Frappe,Rezervirajte trošak ili depozit iz aktivne smjene.
Bundle,Izvještaj o podružnici / lokaciji
Buying Price,Brandwise
Cache cleared successfully,Breakdown
Cache Usage,Pregledaj
cache used,Vrijeme izrade:
Calculating...,Izgrađen sa Frappeom
Camera Access Required,Bundle
Camera access was aborted. Please try again.,Kupovna cijena
Camera constraints not supported by your device. Trying fallback settings...,Cache je uspješno obrisan
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Cache Usage
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,cache is used
Camera scanner is locked until the current error is acknowledged,Izračunavanje...
Camera started but the video stream did not load in time. Please try again.,Potreban je pristup kameri
Cancel,Pristup kameri je prekinut.
Cancel cash movement {0}?,Molimo pokušajte ponovo.
Cancel Payment,Vaš uređaj ne podržava ograničenja kamere.
Cancel Sale,Pokušavam rezervne postavke...
Cancel Sale ?,Kamera je zauzeta ili blokirana od strane druge aplikacije/kartice.
Cancelled,Zatvorite druge aplikacije kamere i pokušajte ponovo.
Cannot add an item with zero or negative quantity.,Dozvola za kameru je odbijena.
Cannot clear cache while offline,Dozvolite pristup kameri u postavkama vašeg pretraživača i osvježite stranicu.
Cannot redeem customer credit more than invoice total,Skener kamere je zaključan dok se trenutna greška ne potvrdi
Cannot redeem gift cards more than invoice total,"Kamera je pokrenuta, ali video stream se nije učitao na vrijeme."
