- Total Unallocated,- Total Unallocated
* Required,* Påkrævet
{0} (Qty: {1}),{0} (Antal: {1})
{0} actions,{0} handlinger
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} har kun {1} på lager.
{0} offline invoice{1} pending,Du anmodede om {2}.
{0} offline invoice{1} saved as draft,Juster mængden eller genopfyld.
{0} offline invoice{1} synced,{0} offlinefaktura{1} afventer
{0}: {1} {2},{0} offlinefaktura{1} blev gemt som kladde
{0}d ago,{0} offline faktura{1} synkroniseret
{0}h ago,{0}: {1} {2}
{0}m ago,{0}d siden
A POS supervisor is required for this action.,{0}t siden
About,{0}m siden
Access,Der kræves en POS-supervisor til denne handling.
Account,Om
Account is overdrawn,Adgang
Acknowledge the error to resume scanning,Konto
Acknowledge the error to resume scanning.,Kontoen er overtrukket
Across,Bekræft fejlen for at genoptage scanningen
Action,Bekræft fejlen for at genoptage scanningen.
Actions,På tværs
Active sale,Handling
add,Handlinger
Add items from the selector to start building this sale.,Aktivt salg
Add more value to an existing gift card,tilføje
Add New Address,Tilføj varer fra vælgeren for at begynde at opbygge dette salg.
Add new customer,Tilføj mere værdi til et eksisterende gavekort
Add on New Line,Tilføj ny adresse
Add Payment,Tilføj ny kunde
Add payment to invoice,Tilføj på ny linje
Add/Edit Coupon Conditions,Tilføj betaling
Additional Discount,Tilføj betaling til faktura
Additional Discount %,Tilføj/rediger kuponbetingelser
Address Line 1,Yderligere rabat
Address not found,Yderligere rabat %
Adjust the quantity or enable negative stock to continue.,Adresselinje 1
Adjustment,Adressen blev ikke fundet
After returns,"Juster mængden, eller aktivér negativ lager for at fortsætte."
Against,Justering
Against Name,Efter returnering
Age Bracket,Imod
All,Mod Navn
All Caught Up!,Aldersgruppe
All invoices are synchronized,Alle
All pending invoices are up to date,Alle indhentet!
All Profiles,Alle fakturaer synkroniseres
All Synchronized,Alle udestående fakturaer er ajourførte
All visible invoices are fully settled.,Alle profiler
All Warehouses,Alt synkroniseret
Allowed UOM is {0},Alle synlige fakturaer afregnes fuldt ud.
Always fetch items from server (ignore local cache),Alle varehuse
Amount,Tilladt UOM er {0}
Amount already received,Hent altid elementer fra serveren (ignorer lokal cache)
Amount exceeds profile cash movement max amount.,Beløb
Amount must be greater than zero.,Beløb allerede modtaget
Amount received from customer,Beløb overstiger profil kontantbevægelse maks. beløb.
App information,Beløbet skal være større end nul.
Appearance and user-level preferences for the current session.,Beløb modtaget fra kunde
Applied,App oplysninger
Apply,Udseende og præferencer på brugerniveau for den aktuelle session.
Apply Gift Card,Anvendt
Apply Offer,Ansøg
Apply On,Anvend gavekort
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Anvend tilbud
Apply Redemption,Anvend på
Applying,"Anvend kun det beløb, du ønsker at indløse på denne faktura."
Apps,Den resterende saldo forbliver på kortet.
Are you sure you want to close? All entered data will be lost.,Anvend indløsning
Attributes (Size/Color),Ansøger
Auto Allocate Payment Amount,Apps
Auto Reconcile,"Er du sikker på, at du vil lukke?"
Auto reconciliation completed after payment submit.,Alle indtastede data vil gå tabt.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Attributter (størrelse/farve)
Available Actions,Automatisk allokering af betalingsbeløb
Available QTY,Automatisk afstemning
Available:,Automatisk afstemning afsluttet efter indsendelse af betaling.
Average Basket,Automatisk afstemning afsluttet.
Average Bill,Tildelt: {0}{1}.
Average Ticket,Resterende udestående: {0}{2}.
Avg Bill,Tilgængelige handlinger
Avg Invoice,Tilgængelig mængde
Avg Invoice Profit,Tilgængelig:
Avg Invoice Value,Gennemsnitlig kurv
Avg Purchase Frequency,Gennemsnitlig regning
Awesome,Gennemsnitlig billet
Awesome Dashboard,Gennemsnitlig regning
Awesome Dashboard is disabled for the selected POS Profile.,Gns. faktura
Awesome Dashboard is unavailable for the selected scope.,Gns. fakturafortjeneste
Awesome Dashboard is visible only to POS supervisors.,Gns. fakturaværdi
Back,Gns. købsfrekvens
Back Office Cash Account,Fantastisk
Back Office Cash Account (Optional Override),Fantastisk Dashboard
Back office cash account is required.,Awesome Dashboard er deaktiveret for den valgte POS-profil.
Back to {0},Awesome Dashboard er ikke tilgængeligt for det valgte omfang.
Background processing did not finish in time.,Awesome Dashboard er kun synligt for POS-tilsynsførende.
Background processing failed for Invoice {0}: {1},Tilbage
Background Submission Failed,Back Office Kontantkonto
Background sync interval (seconds),Back Office Kontantkonto (valgfri tilsidesættelse)
Balance,Back office kontantkonto er påkrævet.
Balance will be updated when connection is restored,Tilbage til {0}
Balances still pending,Baggrundsbehandlingen blev ikke afsluttet i tide.
Barcode,Baggrundsbehandling mislykkedes for faktura {0}: {1}
