- Total Unallocated,- Total Unallocated
* Required,* Erforderlich
{0} (Qty: {1}),{0} (Menge: {1})
{0} actions,{0} Aktionen
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hat nur {1} auf Lager.
{0} offline invoice{1} pending,Sie haben {2} angefordert.
{0} offline invoice{1} saved as draft,Menge anpassen oder auffüllen.
{0} offline invoice{1} synced,{0}Offline-Rechnung{1} ausstehend
{0}: {1} {2},{0}Offline-Rechnung{1} als Entwurf gespeichert
{0}d ago,{0}Offline-Rechnung{1} synchronisiert
{0}h ago,{0}: {1} {2}
{0}m ago,Vor {0}Tagen
A POS supervisor is required for this action.,Vor {0}h
About,Vor {0}m
Access,Für diese Aktion ist ein POS-Supervisor erforderlich.
Account,Über
Account is overdrawn,Zugang
Acknowledge the error to resume scanning,Konto
Acknowledge the error to resume scanning.,Konto ist überzogen
Across,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen"
Action,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen."
Actions,Quer
Active sale,Aktion
add,Aktionen
Add items from the selector to start building this sale.,Aktiver Verkauf
Add more value to an existing gift card,hinzufügen
Add New Address,"Fügen Sie Artikel aus der Auswahl hinzu, um mit dem Aufbau dieses Verkaufs zu beginnen."
Add new customer,Fügen Sie einer bestehenden Geschenkkarte mehr Wert hinzu
Add on New Line,Neue Adresse hinzufügen
Add Payment,Neuen Kunden hinzufügen
Add payment to invoice,Neue Zeile hinzufügen
Add/Edit Coupon Conditions,Zahlung hinzufügen
Additional Discount,Zahlung zur Rechnung hinzufügen
Additional Discount %,Gutscheinbedingungen hinzufügen/bearbeiten
Address Line 1,Zusätzlicher Rabatt
Address not found,Zusätzlicher Rabatt %
Adjust the quantity or enable negative stock to continue.,Adresszeile 1
Adjustment,Adresse nicht gefunden
After returns,"Passen Sie die Menge an oder aktivieren Sie den negativen Bestand, um fortzufahren."
Against,Anpassung
Against Name,Nach Rückkehr
Age Bracket,Gegen
All,Gegen den Namen
All Caught Up!,Altersgruppe
All invoices are synchronized,Alle
All pending invoices are up to date,Alles eingeholt!
All Profiles,Alle Rechnungen werden synchronisiert
All Synchronized,Alle ausstehenden Rechnungen sind auf dem neuesten Stand
All visible invoices are fully settled.,Alle Profile
All Warehouses,Alles synchronisiert
Allowed UOM is {0},Alle sichtbaren Rechnungen sind vollständig beglichen.
Always fetch items from server (ignore local cache),Alle Lager
Amount,Zulässige Maßeinheit ist {0}
Amount already received,Elemente immer vom Server abrufen (lokalen Cache ignorieren)
Amount exceeds profile cash movement max amount.,Betrag
Amount must be greater than zero.,Betrag bereits erhalten
Amount received from customer,Der Betrag übersteigt den Maximalbetrag der Bargeldbewegung im Profil.
App information,Der Betrag muss größer als Null sein.
Appearance and user-level preferences for the current session.,Vom Kunden erhaltener Betrag
Applied,App-Informationen
Apply,Darstellung und Präferenzen auf Benutzerebene für die aktuelle Sitzung.
Apply Gift Card,Angewendet
Apply Offer,Bewerben
Apply On,Geschenkkarte anwenden
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Angebot anwenden
Apply Redemption,Bewerben Sie sich am
Applying,"Wenden Sie auf dieser Rechnung nur den Betrag an, den Sie einlösen möchten."
Apps,Der Restbetrag verbleibt auf der Karte.
Are you sure you want to close? All entered data will be lost.,Erlösung anwenden
Attributes (Size/Color),Bewerben
Auto Allocate Payment Amount,Apps
Auto Reconcile,Möchten Sie wirklich schließen?
Auto reconciliation completed after payment submit.,Alle eingegebenen Daten gehen verloren.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Attribute (Größe/Farbe)
Available Actions,Zahlungsbetrag automatisch zuweisen
Available QTY,Automatischer Abgleich
Available:,Der automatische Abgleich wurde nach dem Absenden der Zahlung abgeschlossen.
